datetime,cpu,mem,GPU_mem,cpu_clockspeed
Wed Nov 22 22:18:45 UTC 2023,18,186993,12.02 MB (68.06 KB is purgeable),1804800
Wed Nov 22 22:18:47 UTC 2023,18,195657,12.30 MB (8.25 MB is purgeable),1363200
Wed Nov 22 22:18:48 UTC 2023,18,177013,12.30 MB (8.25 MB is purgeable),1804800
Wed Nov 22 22:18:50 UTC 2023,18,173867,12.30 MB (8.25 MB is purgeable),1363200
Wed Nov 22 22:18:51 UTC 2023,18,171497,12.30 MB (8.25 MB is purgeable),1804800
Wed Nov 22 22:18:52 UTC 2023,18,171445,12.30 MB (8.25 MB is purgeable),1804800
Wed Nov 22 22:18:54 UTC 2023,18,176433,12.30 MB (8.25 MB is purgeable),1804800
Wed Nov 22 22:18:55 UTC 2023,18,175686,12.30 MB (8.25 MB is purgeable),1804800
Wed Nov 22 22:18:57 UTC 2023,18,179422,12.30 MB (8.25 MB is purgeable),1804800
Wed Nov 22 22:18:58 UTC 2023,18,179858,12.30 MB (8.25 MB is purgeable),1804800
Wed Nov 22 22:19:00 UTC 2023,18,172251,12.30 MB (8.25 MB is purgeable),1804800
Wed Nov 22 22:19:01 UTC 2023,18,173485,12.30 MB (8.25 MB is purgeable),1804800
Wed Nov 22 22:19:02 UTC 2023,18,176409,12.30 MB (8.25 MB is purgeable),1804800
Wed Nov 22 22:19:04 UTC 2023,18,173609,12.30 MB (8.25 MB is purgeable),1804800
Wed Nov 22 22:19:05 UTC 2023,18,174481,12.30 MB (8.25 MB is purgeable),1804800
Wed Nov 22 22:19:07 UTC 2023,18,176017,12.30 MB (8.25 MB is purgeable),1804800
Wed Nov 22 22:19:08 UTC 2023,18,175015,12.30 MB (8.25 MB is purgeable),1804800
Wed Nov 22 22:19:09 UTC 2023,18,174361,12.30 MB (8.25 MB is purgeable),1804800
Wed Nov 22 22:19:11 UTC 2023,18,177726,12.30 MB (8.25 MB is purgeable),1804800
Wed Nov 22 22:19:12 UTC 2023,18,177725,12.30 MB (8.25 MB is purgeable),1804800
Wed Nov 22 22:19:13 UTC 2023,18,177522,12.30 MB (8.25 MB is purgeable),1804800
Wed Nov 22 22:19:15 UTC 2023,18,177922,12.30 MB (8.25 MB is purgeable),1804800
Wed Nov 22 22:19:16 UTC 2023,18,177399,12.30 MB (8.25 MB is purgeable),1804800
