Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700691373761,10986,4445,5493,4169000,100
1700691373866,10986,4445,5493,4169000,100
1700691373975,10986,4445,5493,4169000,100
1700691374080,10986,4445,5493,4169000,100
1700691374187,10986,4445,5493,4169000,100
1700691374269,10986,4445,5493,4169000,100
1700691374292,10986,4445,5493,4169000,100
1700691374377,10986,4445,5493,4169000,100
1700691374397,10986,4445,5493,4169000,100
1700691374484,10986,4445,5493,4169000,100
1700691374504,10986,4445,5493,4169000,100
1700691374590,10986,4445,5493,4169000,100
1700691374611,10986,4445,5493,4169000,100
1700691374699,10986,4445,5493,4169000,100
1700691374719,10986,4445,5493,4169000,100
1700691374806,10986,4445,5493,4169000,100
1700691374826,10986,4445,5493,4169000,100
1700691374913,10986,4445,5493,4169000,100
1700691374931,10986,4445,5493,4169000,100
1700691375020,10986,4445,5493,4169000,100
1700691375038,10986,4445,5493,4169000,100
1700691375127,10986,4445,5493,4169000,100
1700691375146,10986,4445,5493,4169000,100
1700691375234,10986,4445,5493,4169000,100
1700691375251,10986,4445,5493,4169000,100
1700691375339,10986,4445,5493,4169000,100
1700691375358,10986,4445,5493,4169000,100
1700691375447,10986,4445,5493,4169000,100
1700691375466,10986,4445,5493,4169000,100
1700691375555,10986,4445,5493,4169000,100
1700691375572,10986,4445,5493,4169000,100
1700691375660,10986,4445,5493,4169000,100
1700691375685,10986,4445,5493,4169000,100
1700691375766,10986,4445,5493,4169000,100
1700691375792,10986,4445,5493,4169000,100
1700691375872,10986,4445,5493,4169000,100
1700691375899,10986,4445,5493,4169000,100
1700691375978,10986,4445,5493,4169000,100
1700691376007,10986,4445,5493,4169000,100
1700691376085,10986,4445,5493,4169000,100
1700691376113,10986,4445,5493,4169000,100
1700691376193,10986,4445,5493,4169000,100
1700691376218,10986,4445,5493,4169000,100
1700691376301,10986,4445,5493,4169000,100
1700691376325,10986,4445,5493,4169000,100
1700691376407,10986,4445,5493,4169000,100
1700691376431,10986,4445,5493,4169000,100
1700691376516,10986,4445,5493,4169000,100
1700691376537,10986,4445,5493,4169000,100
1700691376621,10986,4445,5493,4169000,100
1700691376642,10986,4445,5493,4169000,100
1700691376727,10986,4445,5493,4169000,100
1700691376751,10986,4445,5493,4169000,100
1700691376832,10986,4445,5493,4169000,100
1700691376858,10986,4445,5493,4169000,100
1700691376938,10986,4445,5493,4169000,100
1700691376966,10986,4445,5493,4169000,100
1700691377046,10986,4445,5493,4169000,100
1700691377071,10986,4445,5493,4169000,100
1700691377152,10986,4445,5493,4169000,100
1700691377177,10986,4445,5493,4169000,100
1700691377258,10986,4445,5493,4169000,100
1700691377284,10986,4445,5493,4169000,100
1700691377366,10986,4445,5493,4169000,100
1700691377391,10986,4445,5493,4169000,100
1700691377472,10986,4445,5493,4169000,100
1700691377497,10986,4445,5493,4169000,100
1700691377579,10986,4445,5493,4169000,100
1700691377606,10986,4445,5493,4169000,100
1700691377684,10986,4445,5493,4169000,100
1700691377711,10986,4445,5493,4169000,100
1700691377792,10986,4445,5493,4169000,100
1700691377818,10986,4445,5493,4169000,100
1700691377904,10986,4445,5493,4169000,100
1700691377923,10986,4445,5493,4169000,100
1700691378013,10986,4445,5493,4169000,100
1700691378030,10986,4445,5493,4169000,100
1700691378120,10986,4445,5493,4169000,100
1700691378135,10986,4445,5493,4169000,100
1700691378229,10986,4445,5493,4169000,100
1700691378241,10986,4445,5493,4169000,100
1700691378338,10986,4445,5493,4169000,100
1700691378347,10986,4445,5493,4169000,100
1700691378444,10986,4445,5493,4169000,100
1700691378452,10986,4445,5493,4169000,100
1700691378553,10986,4445,5493,4169000,100
1700691378558,10986,4445,5493,4169000,100
1700691378660,10986,4445,5493,4169000,100
1700691378664,10986,4445,5493,4169000,100
1700691378767,10986,4445,5493,4169000,100
1700691378770,10986,4445,5493,4169000,100
1700691378873,10986,4445,5493,4169000,100
1700691378876,10986,4445,5493,4169000,100
1700691378986,10986,4445,5493,4169000,100
1700691378986,10986,4445,5493,4169000,100
1700691379091,10986,4445,5493,4169000,100
1700691379092,10986,4445,5493,4169000,100
1700691379198,10986,4445,5493,4169000,100
1700691379198,10986,4445,5493,4169000,100
1700691379303,10986,4445,5493,4169000,100
1700691379304,10986,4445,5493,4169000,100
1700691379409,10986,4445,5493,4169000,100
1700691379410,10986,4445,5493,4169000,100
1700691379516,10986,4445,5493,4169000,100
1700691379517,10986,4445,5493,4169000,100
1700691379622,10986,4445,5493,4169000,100
1700691379623,10986,4445,5493,4169000,100
1700691379730,10986,4445,5493,4169000,100
1700691379731,10986,4445,5493,4169000,100
1700691379837,10986,4445,5493,4169000,100
1700691379837,10986,4445,5493,4169000,100
1700691379944,10986,4445,5493,4169000,100
1700691379945,10986,4445,5493,4169000,100
1700691380052,10986,4445,5493,4169000,100
1700691380054,10986,4445,5493,4169000,100
1700691380159,10986,4445,5493,4169000,100
1700691380160,10986,4445,5493,4169000,100
1700691380266,10986,4445,5493,4169000,100
1700691380267,10986,4445,5493,4169000,100
1700691380373,10986,4445,5493,4169000,100
1700691380375,10986,4445,5493,4169000,100
1700691380481,10986,4445,5493,4169000,100
1700691380483,10986,4445,5493,4169000,100
1700691380587,10986,4445,5493,4169000,100
1700691380588,10986,4445,5493,4169000,100
1700691380694,10986,4445,5493,4169000,100
1700691380696,10986,4445,5493,4169000,100
1700691380802,10986,4445,5493,4169000,100
1700691380803,10986,4445,5493,4169000,100
1700691380909,10986,4445,5493,4169000,100
1700691380913,10986,4445,5493,4169000,100
1700691381016,10986,4445,5493,4169000,100
1700691381017,10986,4445,5493,4169000,100
1700691381124,10986,4445,5493,4169000,100
1700691381124,10986,4445,5493,4169000,100
1700691381232,10986,4445,5493,4169000,100
1700691381233,10986,4445,5493,4169000,100
1700691381338,10986,4445,5493,4169000,100
1700691381340,10986,4445,5493,4169000,100
1700691381445,10986,4445,5493,4169000,100
1700691381445,10986,4445,5493,4169000,100
1700691381553,10986,4445,5493,4169000,100
1700691381555,10986,4445,5493,4169000,100
1700691381660,10986,4445,5493,4169000,100
1700691381662,10986,4445,5493,4169000,100
1700691381768,10986,4445,5493,4169000,100
1700691381770,10986,4445,5493,4169000,100
1700691381877,10986,4445,5493,4169000,100
1700691381877,10986,4445,5493,4169000,100
1700691381984,10986,4445,5493,4169000,100
1700691381985,10986,4445,5493,4169000,100
1700691382090,10986,4445,5493,4169000,100
1700691382090,10986,4445,5493,4169000,100
1700691382198,10986,4445,5493,4169000,100
1700691382198,10986,4445,5493,4169000,100
1700691382305,10986,4445,5493,4169000,100
1700691382306,10986,4445,5493,4169000,100
1700691382413,10986,4445,5493,4169000,100
1700691382413,10986,4445,5493,4169000,100
1700691382520,10986,4445,5493,4169000,100
1700691382523,10986,4445,5493,4169000,100
1700691382631,10986,4445,5493,4169000,100
1700691382631,10986,4445,5493,4169000,100
1700691382746,10986,4445,5493,4169000,100
1700691382748,10986,4445,5493,4169000,100
1700691382852,10986,4445,5493,4169000,100
1700691382854,10986,4445,5493,4169000,100
1700691382959,10986,4445,5493,4169000,100
1700691382959,10986,4445,5493,4169000,100
1700691383067,10986,4445,5493,4169000,100
1700691383069,10986,4445,5493,4169000,100
1700691383178,10986,4445,5493,4169000,100
1700691383179,10986,4445,5493,4169000,100
1700691383283,10986,4445,5493,4169000,100
1700691383284,10986,4445,5493,4169000,100
1700691383392,10986,4445,5493,4169000,100
1700691383393,10986,4445,5493,4169000,100
1700691383498,10986,4445,5493,4169000,100
1700691383498,10986,4445,5493,4169000,100
1700691383607,10986,4445,5493,4169000,100
1700691383609,10986,4445,5493,4169000,100
1700691383716,10986,4445,5493,4169000,100
1700691383717,10986,4445,5493,4169000,100
1700691383823,10986,4445,5493,4169000,100
1700691383825,10986,4445,5493,4169000,100
1700691383932,10986,4445,5493,4169000,100
1700691383936,10986,4445,5493,4169000,100
1700691384038,10986,4445,5493,4169000,100
1700691384041,10986,4445,5493,4169000,100
1700691384148,10986,4445,5493,4169000,100
1700691384148,10986,4445,5493,4169000,100
1700691384254,10986,4445,5493,4169000,100
1700691384256,10986,4445,5493,4169000,100
1700691384367,10986,4445,5493,4169000,100
1700691384367,10986,4445,5493,4169000,100
1700691384476,10986,4445,5493,4169000,100
1700691384477,10986,4445,5493,4169000,100
1700691384581,10986,4445,5493,4169000,100
1700691384583,10986,4445,5493,4169000,100
1700691384689,10986,4445,5493,4169000,100
1700691384692,10986,4445,5493,4169000,100
1700691384794,10986,4445,5493,4169000,100
1700691384796,10986,4445,5493,4169000,100
1700691384901,10986,4445,5493,4169000,100
1700691384902,10986,4445,5493,4169000,100
1700691385008,10986,4445,5493,4169000,100
1700691385008,10986,4445,5493,4169000,100
1700691385115,10986,4445,5493,4169000,100
1700691385118,10986,4445,5493,4169000,100
