datetime,cpu,mem,GPU_mem,cpu_clockspeed
Wed Nov 22 22:53:07 UTC 2023,30,162846,4.13 MB (85.08 KB is purgeable),1804800
Wed Nov 22 22:53:09 UTC 2023,30,176145,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:10 UTC 2023,30,195612,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:12 UTC 2023,30,176518,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:13 UTC 2023,30,168520,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:15 UTC 2023,30,168828,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:17 UTC 2023,30,169338,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:18 UTC 2023,30,168885,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:19 UTC 2023,30,169730,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:21 UTC 2023,30,170062,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:22 UTC 2023,30,170878,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:24 UTC 2023,30,171074,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:25 UTC 2023,30,171328,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:26 UTC 2023,30,170906,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:28 UTC 2023,30,171102,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:29 UTC 2023,30,171117,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:31 UTC 2023,30,171036,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:32 UTC 2023,30,171277,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:33 UTC 2023,30,171324,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:35 UTC 2023,30,171000,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:36 UTC 2023,30,167962,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:37 UTC 2023,30,166358,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:39 UTC 2023,30,163506,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:40 UTC 2023,30,163570,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:41 UTC 2023,30,163650,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:43 UTC 2023,30,163678,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:44 UTC 2023,30,163727,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:45 UTC 2023,30,163791,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:47 UTC 2023,30,163928,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:48 UTC 2023,30,164914,4.43 MB (391.11 KB is purgeable),1804800
Wed Nov 22 22:53:50 UTC 2023,30,164892,4.43 MB (391.11 KB is purgeable),1804800
