Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700693585979,11901,4446,5493,4169000,100
1700693586090,11901,4446,5493,4169000,100
1700693586194,11901,4446,5493,4169000,100
1700693586302,11901,4446,5493,4169000,100
1700693586406,11901,4446,5493,4169000,100
1700693586520,11901,4446,5493,4169000,100
1700693586626,11901,4446,5493,4169000,100
1700693586736,11901,4446,5493,4169000,100
1700693586844,11901,4446,5493,4169000,100
1700693586961,11901,4446,5493,4169000,100
1700693587072,11901,4446,5493,4169000,100
1700693587177,11901,4446,5493,4169000,100
1700693587281,11901,4446,5493,4169000,100
1700693587386,11901,4446,5493,4169000,100
1700693587492,11901,4446,5493,4169000,100
1700693587598,11901,4446,5493,4169000,100
1700693587702,11901,4446,5493,4169000,100
1700693587806,11901,4446,5493,4169000,100
1700693587915,11901,4446,5493,4169000,100
1700693588022,11901,4446,5493,4169000,100
1700693588131,11901,4446,5493,4169000,100
1700693588236,11901,4446,5493,4169000,100
1700693588342,11901,4446,5493,4169000,100
1700693588446,11901,4446,5493,4169000,100
1700693588450,11901,4446,5493,4169000,100
1700693588561,11901,4446,5493,4169000,100
1700693588562,11901,4446,5493,4169000,100
1700693588677,11901,4446,5493,4169000,100
1700693588678,11901,4446,5493,4169000,100
1700693588785,11901,4446,5493,4169000,100
1700693588790,11901,4446,5493,4169000,100
1700693588891,11901,4446,5493,4169000,100
1700693588904,11901,4446,5493,4169000,100
1700693589002,11901,4446,5493,4169000,100
1700693589016,11901,4446,5493,4169000,100
1700693589107,11901,4446,5493,4169000,100
1700693589122,11901,4446,5493,4169000,100
1700693589214,11901,4446,5493,4169000,100
1700693589229,11901,4446,5493,4169000,100
1700693589318,11901,4446,5493,4169000,100
1700693589333,11901,4446,5493,4169000,100
1700693589422,11901,4446,5493,4169000,100
1700693589439,11901,4446,5493,4169000,100
1700693589532,11901,4446,5493,4169000,100
1700693589546,11901,4446,5493,4169000,100
1700693589636,11901,4446,5493,4169000,100
1700693589650,11901,4446,5493,4169000,100
1700693589742,11901,4446,5493,4169000,100
1700693589758,11901,4446,5493,4169000,100
1700693589848,11901,4446,5493,4169000,100
1700693589862,11901,4446,5493,4169000,100
1700693589954,11901,4446,5493,4169000,100
1700693589969,11901,4446,5493,4169000,100
1700693590062,11901,4446,5493,4169000,100
1700693590079,11901,4446,5493,4169000,100
1700693590169,11901,4446,5493,4169000,100
1700693590184,11901,4446,5493,4169000,100
1700693590273,11901,4446,5493,4169000,100
1700693590289,11901,4446,5493,4169000,100
1700693590378,11901,4446,5493,4169000,100
1700693590394,11901,4446,5493,4169000,100
1700693590486,11901,4446,5493,4169000,100
1700693590507,11901,4446,5493,4169000,100
1700693590595,11901,4446,5493,4169000,100
1700693590615,11901,4446,5493,4169000,100
1700693590699,11901,4446,5493,4169000,100
1700693590722,11901,4446,5493,4169000,100
1700693590808,11901,4446,5493,4169000,100
1700693590834,11901,4446,5493,4169000,100
1700693590916,11901,4446,5493,4169000,100
1700693590940,11901,4446,5493,4169000,100
1700693591022,11901,4446,5493,4169000,100
1700693591044,11901,4446,5493,4169000,100
1700693591139,11901,4446,5493,4169000,100
1700693591154,11901,4446,5493,4169000,100
1700693591248,11901,4446,5493,4169000,100
1700693591265,11901,4446,5493,4169000,100
1700693591355,11901,4446,5493,4169000,100
1700693591372,11901,4446,5493,4169000,100
1700693591461,11901,4446,5493,4169000,100
1700693591479,11901,4446,5493,4169000,100
1700693591567,11901,4446,5493,4169000,100
1700693591595,11901,4446,5493,4169000,100
1700693591675,11901,4446,5493,4169000,100
1700693591702,11901,4446,5493,4169000,100
1700693591783,11901,4446,5493,4169000,100
1700693591807,11901,4446,5493,4169000,100
1700693591890,11901,4446,5493,4169000,100
1700693591912,11901,4446,5493,4169000,100
1700693592001,11901,4446,5493,4169000,100
1700693592014,11901,4446,5493,4169000,100
1700693592107,11901,4446,5493,4169000,100
1700693592122,11901,4446,5493,4169000,100
1700693592212,11901,4446,5493,4169000,100
1700693592227,11901,4446,5493,4169000,100
1700693592321,11901,4446,5493,4169000,100
1700693592334,11901,4446,5493,4169000,100
1700693592427,11901,4446,5493,4169000,100
1700693592438,11901,4446,5493,4169000,100
1700693592542,11901,4446,5493,4169000,100
1700693592572,11901,4446,5493,4169000,100
1700693592659,11901,4446,5493,4169000,100
1700693592678,11901,4446,5493,4169000,100
1700693592772,11901,4446,5493,4169000,100
1700693592792,11901,4446,5493,4169000,100
1700693592883,11901,4446,5493,4169000,100
1700693592919,11901,4446,5493,4169000,100
1700693592991,11901,4446,5493,4169000,100
1700693593025,11901,4446,5493,4169000,100
1700693593100,11901,4446,5493,4169000,100
1700693593134,11901,4446,5493,4169000,100
1700693593209,11901,4446,5493,4169000,100
1700693593247,11901,4446,5493,4169000,100
1700693593323,11901,4446,5493,4169000,100
1700693593358,11901,4446,5493,4169000,100
1700693593430,11901,4446,5493,4169000,100
1700693593461,11901,4446,5493,4169000,100
1700693593544,11901,4446,5493,4169000,100
1700693593568,11901,4446,5493,4169000,100
1700693593652,11901,4446,5493,4169000,100
1700693593698,11901,4446,5493,4169000,100
1700693593773,11901,4446,5493,4169000,100
1700693593806,11901,4446,5493,4169000,100
1700693593890,11901,4446,5493,4169000,100
1700693593914,11901,4446,5493,4169000,100
1700693593998,11901,4446,5493,4169000,100
1700693594022,11901,4446,5493,4169000,100
1700693594112,11901,4446,5493,4169000,100
1700693594131,11901,4446,5493,4169000,100
1700693594242,11901,4446,5493,4169000,100
1700693594249,11901,4446,5493,4169000,100
1700693594351,11901,4446,5493,4169000,100
1700693594357,11901,4446,5493,4169000,100
1700693594473,11901,4446,5493,4169000,100
1700693594474,11901,4446,5493,4169000,100
1700693594581,11901,4446,5493,4169000,100
1700693594582,11901,4446,5493,4169000,100
1700693594689,11901,4446,5493,4169000,100
1700693594690,11901,4446,5493,4169000,100
1700693594798,11901,4446,5493,4169000,100
1700693594798,11901,4446,5493,4169000,100
1700693594906,11901,4446,5493,4169000,100
1700693594907,11901,4446,5493,4169000,100
1700693595017,11901,4446,5493,4169000,100
1700693595017,11901,4446,5493,4169000,100
1700693595121,11901,4446,5493,4169000,100
1700693595125,11901,4446,5493,4169000,100
1700693595235,11901,4446,5493,4169000,100
1700693595235,11901,4446,5493,4169000,100
1700693595343,11901,4446,5493,4169000,100
1700693595345,11901,4446,5493,4169000,100
1700693595452,11901,4446,5493,4169000,100
1700693595453,11901,4446,5493,4169000,100
1700693595568,11901,4446,5493,4169000,100
1700693595572,11901,4446,5493,4169000,100
1700693595680,13122,4446,5493,4169000,100
1700693595682,13122,4446,5493,4169000,100
1700693595789,13122,4446,5493,4169000,100
1700693595793,13122,4446,5493,4169000,100
1700693595899,13122,4446,5493,4169000,100
1700693595902,13122,4446,5493,4169000,100
1700693596018,13122,4446,5493,4169000,100
1700693596020,13122,4446,5493,4169000,100
1700693596127,13122,4446,5493,4169000,100
1700693596130,13122,4446,5493,4169000,100
1700693596232,13122,4446,5493,4169000,100
1700693596237,13122,4446,5493,4169000,100
1700693596344,13122,4446,5493,4169000,100
1700693596346,13122,4446,5493,4169000,100
1700693596454,13122,4446,5493,4169000,100
1700693596457,13122,4446,5493,4169000,100
1700693596561,13122,4446,5493,4169000,100
1700693596566,13122,4446,5493,4169000,100
1700693596678,13122,4446,5493,4169000,100
1700693596678,13122,4446,5493,4169000,100
1700693596788,13122,4446,5493,4169000,100
1700693596788,13122,4446,5493,4169000,100
1700693596898,13122,4446,5493,4169000,100
1700693596899,13122,4446,5493,4169000,100
1700693597012,13122,4446,5493,4169000,100
1700693597018,13122,4446,5493,4169000,100
1700693597123,13122,4446,5493,4169000,100
1700693597136,13122,4446,5493,4169000,100
1700693597230,13122,4446,5493,4169000,100
1700693597242,13122,4446,5493,4169000,100
1700693597341,13122,4446,5493,4169000,100
1700693597351,13122,4446,5493,4169000,100
1700693597450,13122,4446,5493,4169000,100
1700693597459,13122,4446,5493,4169000,100
1700693597567,13122,4446,5493,4169000,100
1700693597567,13122,4446,5493,4169000,100
1700693597675,13122,4446,5493,4169000,100
1700693597677,13122,4446,5493,4169000,100
1700693597782,13122,4446,5493,4169000,100
1700693597784,13122,4446,5493,4169000,100
1700693597889,13122,4446,5493,4169000,100
1700693597890,13122,4446,5493,4169000,100
1700693597996,13122,4446,5493,4169000,100
1700693597997,13122,4446,5493,4169000,100
1700693598105,13122,4446,5493,4169000,100
1700693598106,13122,4446,5493,4169000,100
1700693598212,13122,4446,5493,4169000,100
1700693598213,13122,4446,5493,4169000,100
1700693598321,13122,4446,5493,4169000,100
1700693598323,13122,4446,5493,4169000,100
1700693598426,13122,4446,5493,4169000,100
1700693598427,13122,4446,5493,4169000,100
1700693598535,13122,4446,5493,4169000,100
1700693598536,13122,4446,5493,4169000,100
1700693598643,13122,4446,5493,4169000,100
1700693598643,13122,4446,5493,4169000,100
1700693598747,13122,4446,5493,4169000,100
1700693598748,13122,4446,5493,4169000,100
1700693598856,13122,4446,5493,4169000,100
1700693598856,13122,4446,5493,4169000,100
1700693598962,13122,4446,5493,4169000,100
1700693598962,13122,4446,5493,4169000,100
1700693599068,13122,4446,5493,4169000,100
1700693599068,13122,4446,5493,4169000,100
1700693599177,13122,4446,5493,4169000,100
1700693599178,13122,4446,5493,4169000,100
1700693599282,13122,4446,5493,4169000,100
1700693599282,13122,4446,5493,4169000,100
1700693599386,13122,4446,5493,4169000,100
1700693599387,13122,4446,5493,4169000,100
1700693599492,13122,4446,5493,4169000,100
1700693599494,13122,4446,5493,4169000,100
1700693599601,13122,4446,5493,4169000,100
1700693599602,13122,4446,5493,4169000,100
1700693599706,13122,4446,5493,4169000,100
1700693599707,13122,4446,5493,4169000,100
1700693599812,13122,4446,5493,4169000,100
1700693599813,13122,4446,5493,4169000,100
1700693599921,13122,4446,5493,4169000,100
1700693599923,13122,4446,5493,4169000,100
1700693600027,13122,4446,5493,4169000,100
1700693600027,13122,4446,5493,4169000,100
1700693600135,13122,4446,5493,4169000,100
1700693600136,13122,4446,5493,4169000,100
1700693600242,13122,4446,5493,4169000,100
1700693600242,13122,4446,5493,4169000,100
1700693600348,13122,4446,5493,4169000,100
1700693600348,13122,4446,5493,4169000,100
1700693600458,13122,4446,5493,4169000,100
1700693600459,13122,4446,5493,4169000,100
1700693600564,13122,4446,5493,4169000,100
1700693600565,13122,4446,5493,4169000,100
1700693600672,13122,4446,5493,4169000,100
1700693600672,13122,4446,5493,4169000,100
1700693600778,13122,4446,5493,4169000,100
1700693600778,13122,4446,5493,4169000,100
1700693600883,13122,4446,5493,4169000,100
1700693600883,13122,4446,5493,4169000,100
1700693600988,13122,4446,5493,4169000,100
1700693600990,13122,4446,5493,4169000,100
1700693601095,13122,4446,5493,4169000,100
1700693601096,13122,4446,5493,4169000,100
1700693601205,13122,4446,5493,4169000,100
1700693601206,13122,4446,5493,4169000,100
1700693601309,13122,4446,5493,4169000,100
1700693601311,13122,4446,5493,4169000,100
1700693601415,13122,4446,5493,4169000,100
1700693601417,13122,4446,5493,4169000,100
1700693601528,13122,4446,5493,4169000,100
1700693601529,13122,4446,5493,4169000,100
1700693601639,13122,4446,5493,4169000,100
1700693601639,13122,4446,5493,4169000,100
1700693601745,13122,4446,5493,4169000,100
1700693601745,13122,4446,5493,4169000,100
1700693601849,13122,4446,5493,4169000,100
1700693601850,13122,4446,5493,4169000,100
1700693601954,13122,4446,5493,4169000,100
1700693601955,13122,4446,5493,4169000,100
1700693602060,13122,4446,5493,4169000,100
1700693602060,13122,4446,5493,4169000,100
1700693602166,13122,4446,5493,4169000,100
1700693602166,13122,4446,5493,4169000,100
1700693602270,13122,4446,5493,4169000,100
1700693602271,13122,4446,5493,4169000,100
1700693602375,13122,4446,5493,4169000,100
1700693602375,13122,4446,5493,4169000,100
1700693602484,13122,4446,5493,4169000,100
1700693602484,13122,4446,5493,4169000,100
1700693602588,13122,4446,5493,4169000,100
1700693602592,13122,4446,5493,4169000,100
1700693602699,13122,4446,5493,4169000,100
1700693602701,13122,4446,5493,4169000,100
1700693602808,13122,4446,5493,4169000,100
1700693602809,13122,4446,5493,4169000,100
1700693602918,13122,4446,5493,4169000,100
1700693602919,13122,4446,5493,4169000,100
1700693603028,13122,4446,5493,4169000,100
1700693603029,13122,4446,5493,4169000,100
1700693603134,13122,4446,5493,4169000,100
1700693603134,13122,4446,5493,4169000,100
1700693603242,13122,4446,5493,4169000,100
1700693603242,13122,4446,5493,4169000,100
1700693603348,13122,4446,5493,4169000,100
1700693603349,13122,4446,5493,4169000,100
1700693603455,13122,4446,5493,4169000,100
1700693603456,13122,4446,5493,4169000,100
1700693603562,13122,4446,5493,4169000,100
1700693603563,13122,4446,5493,4169000,100
1700693603669,13122,4446,5493,4169000,100
1700693603669,13122,4446,5493,4169000,100
1700693603776,13122,4446,5493,4169000,100
1700693603776,13122,4446,5493,4169000,100
1700693603883,13122,4446,5493,4169000,100
1700693603884,13122,4446,5493,4169000,100
1700693603989,13122,4446,5493,4169000,100
1700693603992,13122,4446,5493,4169000,100
1700693604099,13122,4446,5493,4169000,100
1700693604100,13122,4446,5493,4169000,100
1700693604208,13122,4446,5493,4169000,100
1700693604210,13122,4446,5493,4169000,100
1700693604314,13122,4446,5493,4169000,100
1700693604319,13122,4446,5493,4169000,100
1700693604420,13122,4446,5493,4169000,100
1700693604424,13122,4446,5493,4169000,100
1700693604525,13122,4446,5493,4169000,100
1700693604528,13122,4446,5493,4169000,100
1700693604629,13122,4446,5493,4169000,100
1700693604633,13122,4446,5493,4169000,100
1700693604736,13122,4446,5493,4169000,100
1700693604737,13122,4446,5493,4169000,100
1700693604844,13122,4446,5493,4169000,100
1700693604844,13122,4446,5493,4169000,100
1700693604949,13122,4446,5493,4169000,100
1700693604950,13122,4446,5493,4169000,100
1700693605057,13122,4446,5493,4169000,100
1700693605058,13122,4446,5493,4169000,100
1700693605161,13122,4446,5493,4169000,100
1700693605164,13122,4446,5493,4169000,100
1700693605270,13122,4446,5493,4169000,100
1700693605271,13122,4446,5493,4169000,100
1700693605375,13122,4446,5493,4169000,100
1700693605377,13122,4446,5493,4169000,100
1700693605484,13122,4446,5493,4169000,100
1700693605485,13122,4446,5493,4169000,100
1700693605589,13122,4446,5493,4169000,100
1700693605590,13122,4446,5493,4169000,100
1700693605696,13122,4446,5493,4169000,100
1700693605696,13122,4446,5493,4169000,100
1700693605804,13122,4446,5493,4169000,100
1700693605805,13122,4446,5493,4169000,100
1700693605913,13122,4446,5493,4169000,100
1700693605913,13122,4446,5493,4169000,100
1700693606020,13122,4446,5493,4169000,100
1700693606021,13122,4446,5493,4169000,100
1700693606127,13122,4446,5493,4169000,100
1700693606128,13122,4446,5493,4169000,100
1700693606233,13122,4446,5493,4169000,100
1700693606234,13122,4446,5493,4169000,100
1700693606338,13122,4446,5493,4169000,100
1700693606340,13122,4446,5493,4169000,100
1700693606444,13122,4446,5493,4169000,100
1700693606446,13122,4446,5493,4169000,100
1700693606549,13122,4446,5493,4169000,100
1700693606551,13122,4446,5493,4169000,100
1700693606655,13122,4446,5493,4169000,100
1700693606658,13122,4446,5493,4169000,100
1700693606762,13122,4446,5493,4169000,100
1700693606762,13122,4446,5493,4169000,100
1700693606868,13122,4446,5493,4169000,100
