datetime,cpu,mem,GPU_mem,cpu_clockspeed
Thu Nov 23 07:22:56 UTC 2023,35,170524,4.14 MB (94.84 KB is purgeable),1804800
Thu Nov 23 07:22:58 UTC 2023,35,176596,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:22:59 UTC 2023,35,166528,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:01 UTC 2023,35,160849,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:02 UTC 2023,35,161180,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:04 UTC 2023,35,159576,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:05 UTC 2023,35,160117,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:07 UTC 2023,35,160201,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:08 UTC 2023,35,159425,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:09 UTC 2023,35,160041,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:11 UTC 2023,35,161882,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:12 UTC 2023,35,160826,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:13 UTC 2023,35,161106,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:15 UTC 2023,35,161106,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:16 UTC 2023,35,160842,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:18 UTC 2023,35,160826,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:19 UTC 2023,35,160826,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:20 UTC 2023,35,161006,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:22 UTC 2023,35,161042,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:23 UTC 2023,35,160742,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:25 UTC 2023,35,160726,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:26 UTC 2023,35,160834,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:27 UTC 2023,35,160374,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:29 UTC 2023,35,159990,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:30 UTC 2023,35,160014,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:32 UTC 2023,35,159978,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:33 UTC 2023,35,159982,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:34 UTC 2023,35,159972,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:36 UTC 2023,35,159924,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:37 UTC 2023,35,159936,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:39 UTC 2023,35,159924,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:40 UTC 2023,35,159936,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:41 UTC 2023,35,159924,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:43 UTC 2023,35,159920,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:44 UTC 2023,35,159940,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:46 UTC 2023,35,159912,4.16 MB (111.86 KB is purgeable),1516800
Thu Nov 23 07:23:47 UTC 2023,35,159904,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:48 UTC 2023,35,159888,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:50 UTC 2023,35,159892,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:51 UTC 2023,35,159908,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:53 UTC 2023,35,159892,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:54 UTC 2023,35,159904,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:55 UTC 2023,35,160187,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:57 UTC 2023,35,160171,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:23:58 UTC 2023,35,160183,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:00 UTC 2023,35,160058,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:01 UTC 2023,35,160054,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:02 UTC 2023,35,160078,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:04 UTC 2023,35,160054,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:05 UTC 2023,35,160210,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:06 UTC 2023,35,160330,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:08 UTC 2023,35,160054,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:09 UTC 2023,35,160074,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:11 UTC 2023,35,160058,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:12 UTC 2023,35,160058,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:13 UTC 2023,35,160078,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:15 UTC 2023,35,160062,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:16 UTC 2023,35,160074,4.16 MB (111.86 KB is purgeable),1651200
Thu Nov 23 07:24:18 UTC 2023,35,160058,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:19 UTC 2023,35,160058,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:20 UTC 2023,35,160074,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:22 UTC 2023,35,160058,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:23 UTC 2023,35,160078,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:25 UTC 2023,35,160062,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:26 UTC 2023,35,160062,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:27 UTC 2023,35,160070,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:29 UTC 2023,35,160042,4.16 MB (111.86 KB is purgeable),1651200
Thu Nov 23 07:24:30 UTC 2023,35,160070,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:32 UTC 2023,35,160014,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 07:24:33 UTC 2023,35,160022,4.16 MB (111.86 KB is purgeable),1651200
Thu Nov 23 07:24:34 UTC 2023,35,160030,4.16 MB (111.86 KB is purgeable),1516800
Thu Nov 23 07:24:36 UTC 2023,35,160022,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:37 UTC 2023,35,160010,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:38 UTC 2023,35,160022,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 07:24:40 UTC 2023,35,160010,4.16 MB (111.86 KB is purgeable),1804800
