Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700725573055,9460,4450,13427,4169000,100
1700725573160,9460,4450,13427,4169000,100
1700725573266,9460,4450,13427,4169000,100
1700725573371,9460,4450,13427,4169000,100
1700725573480,9460,4450,13427,4169000,100
1700725573585,9460,4450,13427,4169000,100
1700725573690,9460,4450,13427,4169000,100
1700725573794,9460,4450,13427,4169000,100
1700725573899,9460,4450,13427,4169000,100
1700725574003,9460,4450,13427,4169000,100
1700725574108,9460,4450,13427,4169000,100
1700725574213,9460,4450,13427,4169000,100
1700725574319,9460,4450,13427,4169000,100
1700725574425,9460,4450,13427,4169000,100
1700725574535,9460,4450,13427,4169000,100
1700725574640,9460,4450,13427,4169000,100
1700725574748,9460,4450,13427,4169000,100
1700725574853,9460,4450,13427,4169000,100
1700725574960,9460,4450,13427,4169000,100
1700725575065,9460,4450,13427,4169000,100
1700725575171,9460,4450,13427,4169000,100
1700725575276,9460,4450,13427,4169000,100
1700725575381,9460,4450,13427,4169000,100
1700725575487,9460,4450,13427,4169000,100
1700725575597,9460,4450,13427,4169000,100
1700725575703,9460,4450,13427,4169000,100
1700725575813,9460,4450,13427,4169000,100
1700725575919,9460,4450,13427,4169000,100
1700725576027,9460,4450,13427,4169000,100
1700725576135,9460,4450,13427,4169000,100
1700725576249,9460,4450,13427,4169000,100
1700725576359,9460,4450,13427,4169000,100
1700725576467,9460,4450,13427,4169000,100
1700725576576,9460,4450,13427,4169000,100
1700725576690,9460,4450,13427,4169000,100
1700725576796,9460,4450,13427,4169000,100
1700725576908,9460,4450,13427,4169000,100
1700725577017,9460,4450,13427,4169000,100
1700725577125,9460,4450,13427,4169000,100
1700725577231,9460,4450,13427,4169000,100
1700725577334,9460,4450,13427,4169000,100
1700725577446,9460,4450,13427,4169000,100
1700725577552,9460,4450,13427,4169000,100
1700725577659,9460,4450,13427,4169000,100
1700725577768,9460,4450,13427,4169000,100
1700725577883,9460,4450,13427,4169000,100
1700725577998,9460,4450,13427,4169000,100
1700725578117,9460,4450,13427,4169000,100
1700725578223,9460,4450,13427,4169000,100
1700725578337,9460,4450,13427,4169000,100
1700725578443,9460,4450,13427,4169000,100
1700725578548,9460,4450,13427,4169000,100
1700725578653,9460,4450,13427,4169000,100
1700725578760,9460,4450,13427,4169000,100
1700725578867,9460,4450,13427,4169000,100
1700725578974,9460,4450,13427,4169000,100
1700725579080,9460,4450,13427,4169000,100
1700725579194,10375,4450,13427,4169000,100
1700725579302,10375,4450,13427,4169000,100
1700725579410,10375,4450,13427,4169000,100
1700725579514,10375,4450,13427,4169000,100
1700725579616,10375,4450,13427,4169000,100
1700725579727,10375,4450,13427,4169000,100
1700725579835,10375,4450,13427,4169000,100
1700725579939,10375,4450,13427,4169000,100
1700725580047,10375,4450,13427,4169000,100
1700725580153,10375,4450,13427,4169000,100
1700725580259,10375,4450,13427,4169000,100
1700725580364,10375,4450,13427,4169000,100
1700725580470,10375,4450,13427,4169000,100
1700725580579,10375,4450,13427,4169000,100
1700725580685,10375,4450,13427,4169000,100
1700725580790,10375,4450,13427,4169000,100
1700725580896,10375,4450,13427,4169000,100
1700725581001,10375,4450,13427,4169000,100
1700725581106,10375,4450,13427,4169000,100
1700725581211,10375,4450,13427,4169000,100
1700725581319,10375,4450,13427,4169000,100
1700725581429,10375,4450,13427,4169000,100
1700725581537,10375,4450,13427,4169000,100
1700725581641,10375,4450,13427,4169000,100
1700725581746,10375,4450,13427,4169000,100
1700725581852,10375,4450,13427,4169000,100
1700725581958,10375,4450,13427,4169000,100
1700725582064,10375,4450,13427,4169000,100
1700725582169,10375,4450,13427,4169000,100
1700725582275,10375,4450,13427,4169000,100
1700725582379,10375,4450,13427,4169000,100
1700725582485,10375,4450,13427,4169000,100
1700725582589,10375,4450,13427,4169000,100
1700725582695,10375,4450,13427,4169000,100
1700725582800,10375,4450,13427,4169000,100
1700725582904,10375,4450,13427,4169000,100
1700725583009,10375,4450,13427,4169000,100
1700725583115,10375,4450,13427,4169000,100
1700725583220,10375,4450,13427,4169000,100
1700725583325,10375,4450,13427,4169000,100
1700725583430,10375,4450,13427,4169000,100
1700725583535,10375,4450,13427,4169000,100
1700725583640,10375,4450,13427,4169000,100
1700725583745,10375,4450,13427,4169000,100
1700725583850,10375,4450,13427,4169000,100
1700725583955,10375,4450,13427,4169000,100
1700725584059,10375,4450,13427,4169000,100
1700725584165,10375,4450,13427,4169000,100
1700725584269,10375,4450,13427,4169000,100
1700725584375,10375,4450,13427,4169000,100
1700725584479,10375,4450,13427,4169000,100
1700725584583,10375,4450,13427,4169000,100
1700725584689,10375,4450,13427,4169000,100
1700725584794,10375,4450,13427,4169000,100
1700725584900,10375,4450,13427,4169000,100
1700725585004,10375,4450,13427,4169000,100
1700725585110,10375,4450,13427,4169000,100
1700725585215,10375,4450,13427,4169000,100
1700725585321,10375,4450,13427,4169000,100
1700725585426,10375,4450,13427,4169000,100
1700725585534,10375,4450,13427,4169000,100
1700725585638,10375,4450,13427,4169000,100
1700725585742,10375,4450,13427,4169000,100
1700725585848,10375,4450,13427,4169000,100
1700725585952,10375,4450,13427,4169000,100
1700725586057,10375,4450,13427,4169000,100
1700725586161,10375,4450,13427,4169000,100
1700725586266,10375,4450,13427,4169000,100
1700725586371,10375,4450,13427,4169000,100
1700725586477,10375,4450,13427,4169000,100
