datetime,cpu,mem,GPU_mem,cpu_clockspeed
Thu Nov 23 08:04:31 UTC 2023,32,143387,4.14 MB (94.84 KB is purgeable),1804800
Thu Nov 23 08:04:32 UTC 2023,32,131552,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:04:33 UTC 2023,32,136194,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:04:35 UTC 2023,32,135262,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:04:37 UTC 2023,32,134685,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:04:38 UTC 2023,32,134673,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:04:40 UTC 2023,32,134609,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:04:42 UTC 2023,32,134200,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:04:43 UTC 2023,32,134008,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:04:44 UTC 2023,32,134000,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:04:46 UTC 2023,34,135468,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:04:47 UTC 2023,34,135483,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:04:48 UTC 2023,34,135171,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:04:50 UTC 2023,34,135163,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:04:51 UTC 2023,34,135151,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:04:53 UTC 2023,34,135159,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:04:54 UTC 2023,34,135199,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:04:55 UTC 2023,34,136047,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:04:57 UTC 2023,34,136075,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:04:58 UTC 2023,34,136051,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:00 UTC 2023,34,136169,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:01 UTC 2023,34,136195,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:02 UTC 2023,34,135811,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:04 UTC 2023,34,135819,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:05 UTC 2023,34,135535,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:06 UTC 2023,34,135523,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:08 UTC 2023,34,135543,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:09 UTC 2023,34,135519,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:11 UTC 2023,34,135539,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:12 UTC 2023,34,135519,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:13 UTC 2023,34,135523,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:15 UTC 2023,34,135539,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:16 UTC 2023,34,135527,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:17 UTC 2023,34,135475,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:19 UTC 2023,34,135499,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:20 UTC 2023,34,135431,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:22 UTC 2023,34,135451,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:23 UTC 2023,34,135431,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:24 UTC 2023,34,135431,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:26 UTC 2023,34,135443,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:27 UTC 2023,34,135431,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:28 UTC 2023,34,135427,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:30 UTC 2023,34,134329,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:31 UTC 2023,34,134313,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:33 UTC 2023,34,134286,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:34 UTC 2023,34,134056,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:35 UTC 2023,34,134052,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:37 UTC 2023,34,134084,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:38 UTC 2023,34,134052,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:39 UTC 2023,34,134056,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:41 UTC 2023,34,134344,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:42 UTC 2023,34,134052,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:44 UTC 2023,34,134056,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:45 UTC 2023,34,134064,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:46 UTC 2023,34,134052,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:48 UTC 2023,34,134076,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:49 UTC 2023,34,134056,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:50 UTC 2023,34,134052,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:52 UTC 2023,34,134068,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:53 UTC 2023,34,134068,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:54 UTC 2023,34,134072,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:56 UTC 2023,34,134072,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:57 UTC 2023,34,134072,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:05:59 UTC 2023,34,134088,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:00 UTC 2023,34,134076,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:01 UTC 2023,34,134060,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:03 UTC 2023,34,134060,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:04 UTC 2023,34,134048,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:06 UTC 2023,34,134020,4.16 MB (111.86 KB is purgeable),1651200
Thu Nov 23 08:06:07 UTC 2023,34,134044,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:08 UTC 2023,34,134032,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:10 UTC 2023,34,134052,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:11 UTC 2023,34,134020,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:12 UTC 2023,34,134024,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:14 UTC 2023,34,134036,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:15 UTC 2023,34,134036,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:17 UTC 2023,34,134032,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:18 UTC 2023,34,134040,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:19 UTC 2023,34,134020,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:21 UTC 2023,34,134020,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:22 UTC 2023,34,134048,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:23 UTC 2023,34,134040,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:25 UTC 2023,34,134052,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:26 UTC 2023,34,134024,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:28 UTC 2023,34,134024,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:29 UTC 2023,34,134048,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:30 UTC 2023,34,134079,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:32 UTC 2023,34,134085,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:33 UTC 2023,34,134099,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:34 UTC 2023,34,134111,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:36 UTC 2023,34,134119,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:37 UTC 2023,34,134099,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:39 UTC 2023,34,134087,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:40 UTC 2023,34,134115,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 08:06:41 UTC 2023,34,134119,4.16 MB (111.86 KB is purgeable),1804800
