Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700726367287,9765,4449,13427,4169000,100
1700726367394,9765,4449,13427,4169000,100
1700726367503,9765,4449,13427,4169000,100
1700726367607,9765,4449,13427,4169000,100
1700726367714,9765,4449,13427,4169000,100
1700726367819,9765,4449,13427,4169000,100
1700726367925,9765,4449,13427,4169000,100
1700726368030,9765,4449,13427,4169000,100
1700726368134,9765,4449,13427,4169000,100
1700726368240,9765,4449,13427,4169000,100
1700726368344,9765,4449,13427,4169000,100
1700726368450,9765,4449,13427,4169000,100
1700726368555,9765,4449,13427,4169000,100
1700726368659,9765,4449,13427,4169000,100
1700726368764,9765,4449,13427,4169000,100
1700726368868,9765,4449,13427,4169000,100
1700726368973,9765,4449,13427,4169000,100
1700726369077,9765,4449,13427,4169000,100
1700726369182,9765,4449,13427,4169000,100
1700726369289,9765,4449,13427,4169000,100
1700726369394,9765,4449,13427,4169000,100
1700726369499,9765,4449,13427,4169000,100
1700726369606,9765,4449,13427,4169000,100
1700726369712,9765,4449,13427,4169000,100
1700726369819,9765,4449,13427,4169000,100
1700726369924,9765,4449,13427,4169000,100
1700726370029,9765,4449,13427,4169000,100
1700726370133,9765,4449,13427,4169000,100
1700726370245,9765,4449,13427,4169000,100
1700726370349,9765,4449,13427,4169000,100
1700726370455,9765,4449,13427,4169000,100
1700726370560,9765,4449,13427,4169000,100
1700726370666,9765,4449,13427,4169000,100
1700726370772,9765,4449,13427,4169000,100
1700726370880,9765,4449,13427,4169000,100
1700726370999,9765,4449,13427,4169000,100
1700726371103,9765,4449,13427,4169000,100
1700726371207,9765,4449,13427,4169000,100
1700726371314,9765,4449,13427,4169000,100
1700726371423,9765,4449,13427,4169000,100
1700726371533,9765,4449,13427,4169000,100
1700726371639,9765,4449,13427,4169000,100
1700726371746,9765,4449,13427,4169000,100
1700726371856,9765,4449,13427,4169000,100
1700726371964,9765,4449,13427,4169000,100
1700726372076,9765,4449,13427,4169000,100
1700726372185,9765,4449,13427,4169000,100
1700726372295,9765,4449,13427,4169000,100
1700726372403,9765,4449,13427,4169000,100
1700726372519,9765,4449,13427,4169000,100
1700726372632,9765,4449,13427,4169000,100
1700726372750,9765,4449,13427,4169000,100
1700726372858,9765,4449,13427,4169000,100
1700726372986,9765,4449,13427,4169000,100
1700726373095,9765,4449,13427,4169000,100
1700726373204,9765,4449,13427,4169000,100
1700726373318,9765,4449,13427,4169000,100
1700726373429,9765,4449,13427,4169000,100
1700726373537,9765,4449,13427,4169000,100
1700726373646,9765,4449,13427,4169000,100
1700726373753,9765,4449,13427,4169000,100
1700726373870,9765,4449,13427,4169000,100
1700726373982,9765,4449,13427,4169000,100
1700726374091,9765,4449,13427,4169000,100
1700726374204,9765,4449,13427,4169000,100
1700726374310,9765,4449,13427,4169000,100
1700726374420,9765,4449,13427,4169000,100
1700726374529,9765,4449,13427,4169000,100
1700726374640,9765,4449,13427,4169000,100
1700726374750,9765,4449,13427,4169000,100
1700726374862,9765,4449,13427,4169000,100
1700726374971,9765,4449,13427,4169000,100
1700726375078,9765,4449,13427,4169000,100
1700726375192,9765,4449,13427,4169000,100
1700726375302,9765,4449,13427,4169000,100
1700726375423,9765,4449,13427,4169000,100
1700726375531,9765,4449,13427,4169000,100
1700726375640,9765,4449,13427,4169000,100
1700726375746,9765,4449,13427,4169000,100
1700726375855,9765,4449,13427,4169000,100
1700726375967,9765,4449,13427,4169000,100
1700726376073,9765,4449,13427,4169000,100
1700726376178,9765,4449,13427,4169000,100
1700726376286,9765,4449,13427,4169000,100
1700726376406,9765,4449,13427,4169000,100
1700726376538,9765,4449,13427,4169000,100
1700726376647,9765,4449,13427,4169000,100
1700726376756,9765,4449,13427,4169000,100
1700726376866,9765,4449,13427,4169000,100
1700726376975,9765,4449,13427,4169000,100
1700726377084,9765,4449,13427,4169000,100
1700726377191,9765,4449,13427,4169000,100
1700726377298,9765,4449,13427,4169000,100
1700726377416,9765,4449,13427,4169000,100
1700726377534,9765,4449,13427,4169000,100
