datetime,cpu,mem,GPU_mem,cpu_clockspeed
Thu Nov 23 08:22:50 UTC 2023,4.1,188236,4.14 MB (94.84 KB is purgeable),1804800
Thu Nov 23 08:22:52 UTC 2023,4.1,182368,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:22:53 UTC 2023,4.1,197536,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:22:55 UTC 2023,4.1,201210,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:22:57 UTC 2023,4.1,214896,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:22:58 UTC 2023,4.1,208454,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:00 UTC 2023,4.1,191969,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:01 UTC 2023,4.1,191988,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:02 UTC 2023,4.1,192628,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:04 UTC 2023,4.1,193022,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:05 UTC 2023,4.1,193317,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:07 UTC 2023,4.1,193400,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:08 UTC 2023,4.1,193702,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:09 UTC 2023,4.1,193255,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:11 UTC 2023,4.1,193377,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:12 UTC 2023,4.1,193423,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:13 UTC 2023,4.1,193361,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:15 UTC 2023,4.1,193621,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:16 UTC 2023,4.1,193665,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:17 UTC 2023,4.1,193358,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:19 UTC 2023,4.1,193338,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:20 UTC 2023,4.1,178988,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:22 UTC 2023,4.1,175624,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:23 UTC 2023,4.1,175632,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:24 UTC 2023,4.1,175644,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:26 UTC 2023,4.1,175604,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:27 UTC 2023,4.1,175600,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:28 UTC 2023,4.1,175628,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:30 UTC 2023,4.1,175540,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:31 UTC 2023,4.1,175540,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:32 UTC 2023,4.1,175539,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:34 UTC 2023,4.1,175488,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:35 UTC 2023,4.1,175508,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:37 UTC 2023,4.1,175495,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:38 UTC 2023,4.1,176396,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:39 UTC 2023,4.1,176276,4.17 MB (128.88 KB is purgeable),1516800
Thu Nov 23 08:23:41 UTC 2023,4.1,176272,4.17 MB (128.88 KB is purgeable),1651200
Thu Nov 23 08:23:42 UTC 2023,4.1,175504,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:44 UTC 2023,4.1,175479,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:45 UTC 2023,4.1,175488,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:46 UTC 2023,4.1,175500,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:48 UTC 2023,4.1,175488,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:49 UTC 2023,4.1,175488,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:50 UTC 2023,4.1,175671,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:52 UTC 2023,4.1,175639,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:53 UTC 2023,4.1,175715,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 08:23:54 UTC 2023,4.1,175413,4.17 MB (128.88 KB is purgeable),1804800
