Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700727771444,8239,4449,13427,4169000,100
1700727771550,8239,4449,13427,4169000,100
1700727771655,8239,4449,13427,4169000,100
1700727771763,8239,4449,13427,4169000,100
1700727771870,8239,4449,13427,4169000,100
1700727771974,8239,4449,13427,4169000,100
1700727772078,8239,4449,13427,4169000,100
1700727772182,8239,4449,13427,4169000,100
1700727772288,8239,4449,13427,4169000,100
1700727772392,8239,4449,13427,4169000,100
1700727772502,8239,4449,13427,4169000,100
1700727772606,8239,4449,13427,4169000,100
1700727772711,8239,4449,13427,4169000,100
1700727772815,8239,4449,13427,4169000,100
1700727772922,8239,4449,13427,4169000,100
1700727773027,8239,4449,13427,4169000,100
1700727773132,8239,4449,13427,4169000,100
1700727773237,8239,4449,13427,4169000,100
1700727773345,8239,4449,13427,4169000,100
1700727773449,8239,4449,13427,4169000,100
1700727773558,8239,4449,13427,4169000,100
1700727773663,8239,4449,13427,4169000,100
1700727773768,8239,4449,13427,4169000,100
1700727773885,8239,4449,13427,4169000,100
1700727773990,8239,4449,13427,4169000,100
1700727774096,8239,4449,13427,4169000,100
1700727774202,8239,4449,13427,4169000,100
1700727774307,8239,4449,13427,4169000,100
1700727774415,8239,4449,13427,4169000,100
1700727774527,8239,4449,13427,4169000,100
1700727774640,8239,4449,13427,4169000,100
1700727774751,8239,4449,13427,4169000,100
1700727774862,8239,4449,13427,4169000,100
1700727774970,8239,4449,13427,4169000,100
1700727775074,8239,4449,13427,4169000,100
1700727775180,8239,4449,13427,4169000,100
1700727775286,8239,4449,13427,4169000,100
1700727775396,8239,4449,13427,4169000,100
1700727775506,8239,4449,13427,4169000,100
1700727775619,8239,4449,13427,4169000,100
1700727775729,8239,4449,13427,4169000,100
1700727775843,8239,4449,13427,4169000,100
1700727775945,8239,4449,13427,4169000,100
1700727776050,8239,4449,13427,4169000,100
1700727776155,8239,4449,13427,4169000,100
1700727776267,8239,4449,13427,4169000,100
1700727776375,8239,4449,13427,4169000,100
1700727776487,8239,4449,13427,4169000,100
1700727776597,8239,4449,13427,4169000,100
1700727776710,8239,4449,13427,4169000,100
