datetime,cpu,mem,GPU_mem,cpu_clockspeed
Thu Nov 23 09:17:26 UTC 2023,37,169040,4.14 MB (94.84 KB is purgeable),1363200
Thu Nov 23 09:17:28 UTC 2023,37,165029,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:17:29 UTC 2023,37,187551,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:17:31 UTC 2023,37,162636,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:17:32 UTC 2023,37,163202,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:17:34 UTC 2023,37,164019,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:17:36 UTC 2023,37,163261,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:17:37 UTC 2023,37,161433,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:17:39 UTC 2023,37,161404,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:17:40 UTC 2023,37,162962,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:17:42 UTC 2023,37,162158,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:17:43 UTC 2023,37,162421,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:17:45 UTC 2023,37,162409,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:17:46 UTC 2023,37,162038,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:17:47 UTC 2023,37,162146,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:17:49 UTC 2023,37,162142,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:17:50 UTC 2023,37,162330,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:17:52 UTC 2023,37,162314,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:17:53 UTC 2023,37,162070,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:17:54 UTC 2023,37,162054,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:17:56 UTC 2023,37,162635,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:17:57 UTC 2023,37,161966,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:17:59 UTC 2023,37,161946,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:00 UTC 2023,37,161965,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:01 UTC 2023,37,161542,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:03 UTC 2023,37,161550,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:04 UTC 2023,37,161538,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:06 UTC 2023,37,161506,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:07 UTC 2023,37,162342,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:09 UTC 2023,37,162339,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:10 UTC 2023,37,161463,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:12 UTC 2023,37,161450,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:13 UTC 2023,37,161462,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:15 UTC 2023,37,161455,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:16 UTC 2023,37,161462,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:17 UTC 2023,37,161418,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:19 UTC 2023,37,161407,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:20 UTC 2023,37,161411,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:22 UTC 2023,37,161410,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:23 UTC 2023,37,161430,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:25 UTC 2023,37,161419,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:26 UTC 2023,37,161590,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:28 UTC 2023,37,161569,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:29 UTC 2023,37,161381,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:30 UTC 2023,37,161352,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:32 UTC 2023,37,161440,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:33 UTC 2023,37,161377,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:35 UTC 2023,37,161540,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:36 UTC 2023,37,161661,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:38 UTC 2023,37,161393,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:39 UTC 2023,37,161404,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 09:18:41 UTC 2023,37,161397,4.16 MB (111.86 KB is purgeable),1363200
