Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700731320535,9460,4449,13427,4169000,100
1700731320643,9460,4449,13427,4169000,100
1700731320749,9460,4449,13427,4169000,100
1700731320854,9460,4449,13427,4169000,100
1700731320960,9460,4449,13427,4169000,100
1700731321065,9460,4449,13427,4169000,100
1700731321171,9460,4449,13427,4169000,100
1700731321276,9460,4449,13427,4169000,100
1700731321383,9460,4449,13427,4169000,100
1700731321490,9460,4449,13427,4169000,100
1700731321595,9460,4449,13427,4169000,100
1700731321701,9460,4449,13427,4169000,100
1700731321806,9460,4449,13427,4169000,100
1700731321914,9460,4449,13427,4169000,100
1700731322019,9460,4449,13427,4169000,100
1700731322126,9460,4449,13427,4169000,100
1700731322232,9460,4449,13427,4169000,100
1700731322336,9460,4449,13427,4169000,100
1700731322441,9460,4449,13427,4169000,100
1700731322547,9460,4449,13427,4169000,100
1700731322652,9460,4449,13427,4169000,100
1700731322762,9460,4449,13427,4169000,100
1700731322867,9460,4449,13427,4169000,100
1700731322977,9460,4449,13427,4169000,100
1700731323084,9460,4449,13427,4169000,100
1700731323195,9460,4449,13427,4169000,100
1700731323301,9460,4449,13427,4169000,100
1700731323408,9460,4449,13427,4169000,100
1700731323517,9460,4449,13427,4169000,100
1700731323624,9460,4449,13427,4169000,100
1700731323730,9460,4449,13427,4169000,100
1700731323838,9460,4449,13427,4169000,100
1700731323943,9460,4449,13427,4169000,100
1700731324050,9460,4449,13427,4169000,100
1700731324157,9460,4449,13427,4169000,100
1700731324264,9460,4449,13427,4169000,100
1700731324385,9460,4449,13427,4169000,100
1700731324494,9460,4449,13427,4169000,100
1700731324600,9460,4449,13427,4169000,100
1700731324703,9460,4449,13427,4169000,100
1700731324817,9460,4449,13427,4169000,100
1700731324933,9460,4449,13427,4169000,100
1700731325049,9460,4449,13427,4169000,100
1700731325155,9460,4449,13427,4169000,100
1700731325262,9460,4449,13427,4169000,100
1700731325375,9460,4449,13427,4169000,100
1700731325484,9460,4449,13427,4169000,100
1700731325592,9460,4449,13427,4169000,100
1700731325724,9460,4449,13427,4169000,100
1700731325849,9460,4449,13427,4169000,100
1700731325955,9460,4449,13427,4169000,100
1700731326065,9460,4449,13427,4169000,100
1700731326197,9460,4449,13427,4169000,100
1700731326304,9460,4449,13427,4169000,100
1700731326411,9460,4449,13427,4169000,100
1700731326525,9460,4449,13427,4169000,100
1700731326635,9460,4449,13427,4169000,100
1700731326751,9460,4449,13427,4169000,100
1700731326872,9460,4449,13427,4169000,100
1700731326980,9460,4449,13427,4169000,100
1700731327088,9460,4449,13427,4169000,100
1700731327191,9460,4449,13427,4169000,100
1700731327299,9460,4449,13427,4169000,100
1700731327407,9460,4449,13427,4169000,100
