datetime,cpu,mem,GPU_mem,cpu_clockspeed
Thu Nov 23 10:04:27 UTC 2023,10,168352,4.14 MB (94.84 KB is purgeable),1804800
Thu Nov 23 10:04:29 UTC 2023,10,163276,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 10:04:30 UTC 2023,10,172042,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 10:04:32 UTC 2023,10,170694,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 10:04:33 UTC 2023,10,170783,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 10:04:35 UTC 2023,10,170425,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 10:04:36 UTC 2023,10,171318,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 10:04:38 UTC 2023,10,171844,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 10:04:39 UTC 2023,10,171826,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 10:04:40 UTC 2023,10,171806,4.44 MB (400.88 KB is purgeable),1804800
