Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700731811027,8850,4448,13427,4169000,100
1700731811135,8850,4448,13427,4169000,100
1700731811240,8850,4448,13427,4169000,100
1700731811346,8850,4448,13427,4169000,100
1700731811452,8850,4448,13427,4169000,100
1700731811556,8850,4448,13427,4169000,100
1700731811660,8850,4448,13427,4169000,100
1700731811764,8850,4448,13427,4169000,100
1700731811872,8850,4448,13427,4169000,100
1700731811977,8850,4448,13427,4169000,100
1700731812080,8850,4448,13427,4169000,100
1700731812187,8850,4448,13427,4169000,100
1700731812291,8850,4448,13427,4169000,100
1700731812395,8850,4448,13427,4169000,100
1700731812499,8850,4448,13427,4169000,100
1700731812603,8850,4448,13427,4169000,100
1700731812708,8850,4448,13427,4169000,100
1700731812812,8850,4448,13427,4169000,100
1700731812918,8850,4448,13427,4169000,100
1700731813023,8850,4448,13427,4169000,100
1700731813127,8850,4448,13427,4169000,100
1700731813232,8850,4448,13427,4169000,100
1700731813337,8850,4448,13427,4169000,100
1700731813441,8850,4448,13427,4169000,100
1700731813546,8850,4448,13427,4169000,100
1700731813651,8850,4448,13427,4169000,100
1700731813756,8850,4448,13427,4169000,100
1700731813861,8850,4448,13427,4169000,100
1700731813969,8850,4448,13427,4169000,100
1700731814073,8850,4448,13427,4169000,100
1700731814178,8850,4448,13427,4169000,100
1700731814283,4577,4448,13427,4169000,100
1700731814389,4577,4448,13427,4169000,100
1700731814494,4577,4448,13427,4169000,100
1700731814599,4577,4448,13427,4169000,100
1700731814704,4577,4448,13427,4169000,100
1700731814809,4577,4448,13427,4169000,100
1700731814929,4577,4448,13427,4169000,100
1700731815035,4577,4448,13427,4169000,100
1700731815142,4577,4448,13427,4169000,100
1700731815246,4577,4448,13427,4169000,100
1700731815354,4577,4448,13427,4169000,100
1700731815463,4577,4448,13427,4169000,100
1700731815575,4577,4448,13427,4169000,100
1700731815686,4577,4448,13427,4169000,100
1700731815792,4577,4448,13427,4169000,100
1700731815904,4577,4448,13427,4169000,100
1700731816027,4577,4448,13427,4169000,100
1700731816138,4577,4448,13427,4169000,100
1700731816251,4577,4448,13427,4169000,100
1700731816354,4577,4448,13427,4169000,100
1700731816459,4577,4448,13427,4169000,100
1700731816565,4577,4448,13427,4169000,100
1700731816668,4577,4448,13427,4169000,100
1700731816784,4577,4448,13427,4169000,100
1700731816892,4577,4448,13427,4169000,100
1700731817001,4577,4448,13427,4169000,100
1700731817110,4577,4448,13427,4169000,100
1700731817221,4577,4448,13427,4169000,100
1700731817337,4577,4448,13427,4169000,100
1700731817456,4577,4448,13427,4169000,100
1700731817567,4577,4448,13427,4169000,100
1700731817679,4577,4448,13427,4169000,100
1700731817786,4577,4448,13427,4169000,100
1700731817893,4577,4448,13427,4169000,100
1700731818001,4577,4448,13427,4169000,100
1700731818108,4577,4448,13427,4169000,100
1700731818222,4577,4448,13427,4169000,100
1700731818336,4577,4448,13427,4169000,100
1700731818450,4577,4448,13427,4169000,100
1700731818556,4577,4448,13427,4169000,100
1700731818671,4577,4448,13427,4169000,100
1700731818781,4577,4448,13427,4169000,100
1700731818892,4577,4448,13427,4169000,100
1700731818996,4577,4448,13427,4169000,100
1700731819100,4577,4448,13427,4169000,100
1700731819208,4577,4448,13427,4169000,100
1700731819322,4577,4448,13427,4169000,100
1700731819430,4577,4448,13427,4169000,100
1700731819543,4577,4448,13427,4169000,100
1700731819653,4577,4448,13427,4169000,100
1700731819762,4577,4448,13427,4169000,100
1700731819871,4577,4448,13427,4169000,100
1700731819978,4577,4448,13427,4169000,100
1700731820085,4577,4448,13427,4169000,100
1700731820191,4577,4448,13427,4169000,100
1700731820297,4577,4448,13427,4169000,100
1700731820405,4577,4448,13427,4169000,100
1700731820511,4577,4448,13427,4169000,100
1700731820619,4577,4448,13427,4169000,100
1700731820724,4577,4448,13427,4169000,100
1700731820832,4577,4448,13427,4169000,100
1700731820938,4577,4448,13427,4169000,100
1700731821045,4577,4448,13427,4169000,100
1700731821152,4577,4448,13427,4169000,100
1700731821261,4577,4448,13427,4169000,100
1700731821366,4577,4448,13427,4169000,100
1700731821475,4577,4448,13427,4169000,100
1700731821582,4577,4448,13427,4169000,100
1700731821688,4577,4448,13427,4169000,100
1700731821794,4577,4448,13427,4169000,100
1700731821897,4577,4448,13427,4169000,100
1700731822001,4577,4448,13427,4169000,100
1700731822105,4577,4448,13427,4169000,100
1700731822209,4577,4448,13427,4169000,100
1700731822317,4577,4448,13427,4169000,100
1700731822421,4577,4448,13427,4169000,100
1700731822529,4577,4448,13427,4169000,100
1700731822636,4577,4448,13427,4169000,100
1700731822740,4577,4448,13427,4169000,100
1700731822846,4577,4448,13427,4169000,100
1700731822950,4577,4448,13427,4169000,100
1700731823055,4577,4448,13427,4169000,100
1700731823160,4577,4448,13427,4169000,100
1700731823266,4577,4448,13427,4169000,100
1700731823372,4577,4448,13427,4169000,100
1700731823478,4577,4448,13427,4169000,100
1700731823583,4577,4448,13427,4169000,100
1700731823690,4577,4448,13427,4169000,100
1700731823796,4577,4448,13427,4169000,100
1700731823902,4577,4448,13427,4169000,100
1700731824006,4577,4448,13427,4169000,100
1700731824112,4577,4448,13427,4169000,100
1700731824217,4577,4448,13427,4169000,100
1700731824321,4577,4448,13427,4169000,100
1700731824426,4577,4448,13427,4169000,100
1700731824540,4577,4448,13427,4169000,100
1700731824645,4577,4448,13427,4169000,100
1700731824750,4577,4448,13427,4169000,100
1700731824855,4577,4448,13427,4169000,100
1700731824961,4577,4448,13427,4169000,100
1700731825066,4577,4448,13427,4169000,100
1700731825172,4577,4448,13427,4169000,100
1700731825277,4577,4448,13427,4169000,100
1700731825382,4577,4448,13427,4169000,100
1700731825490,4577,4448,13427,4169000,100
1700731825595,4577,4448,13427,4169000,100
1700731825701,4577,4448,13427,4169000,100
1700731825807,4577,4448,13427,4169000,100
1700731825912,4577,4448,13427,4169000,100
1700731826017,4577,4448,13427,4169000,100
1700731826121,4577,4448,13427,4169000,100
1700731826227,4577,4448,13427,4169000,100
1700731826332,4577,4448,13427,4169000,100
1700731826437,4577,4448,13427,4169000,100
1700731826543,4577,4448,13427,4169000,100
1700731826649,4577,4448,13427,4169000,100
1700731826754,4577,4448,13427,4169000,100
1700731826859,4577,4448,13427,4169000,100
1700731826965,4577,4448,13427,4169000,100
1700731827069,4577,4448,13427,4169000,100
1700731827175,4577,4448,13427,4169000,100
1700731827279,4577,4448,13427,4169000,100
1700731827383,4577,4448,13427,4169000,100
1700731827489,4577,4448,13427,4169000,100
1700731827594,4577,4448,13427,4169000,100
1700731827699,4577,4448,13427,4169000,100
1700731827803,4577,4448,13427,4169000,100
1700731827908,4577,4448,13427,4169000,100
1700731828012,4577,4448,13427,4169000,100
1700731828117,4577,4448,13427,4169000,100
1700731828222,4577,4448,13427,4169000,100
1700731828327,4577,4448,13427,4169000,100
1700731828433,4577,4448,13427,4169000,100
1700731828540,4577,4448,13427,4169000,100
1700731828645,4577,4448,13427,4169000,100
1700731828750,4577,4448,13427,4169000,100
1700731828855,4577,4448,13427,4169000,100
1700731828959,4577,4448,13427,4169000,100
1700731829066,4577,4448,13427,4169000,100
1700731829172,4577,4448,13427,4169000,100
1700731829276,4577,4448,13427,4169000,100
1700731829382,4577,4448,13427,4169000,100
1700731829488,4577,4448,13427,4169000,100
1700731829592,4577,4448,13427,4169000,100
1700731829696,4577,4448,13427,4169000,100
1700731829800,4577,4448,13427,4169000,100
1700731829904,4577,4448,13427,4169000,100
1700731830009,4577,4448,13427,4169000,100
1700731830114,4577,4448,13427,4169000,100
1700731830219,4577,4448,13427,4169000,100
1700731830326,12817,4448,13427,4169000,100
1700731830433,12817,4448,13427,4169000,100
1700731830538,12817,4448,13427,4169000,100
1700731830643,12817,4448,13427,4169000,100
1700731830748,12817,4448,13427,4169000,100
1700731830852,12817,4448,13427,4169000,100
1700731830957,12817,4448,13427,4169000,100
1700731831062,12817,4448,13427,4169000,100
1700731831168,12817,4448,13427,4169000,100
1700731831274,12817,4448,13427,4169000,100
1700731831378,12817,4448,13427,4169000,100
1700731831485,12817,4448,13427,4169000,100
1700731831589,12817,4448,13427,4169000,100
1700731831693,12817,4448,13427,4169000,100
1700731831799,12817,4448,13427,4169000,100
1700731831905,12817,4448,13427,4169000,100
1700731832009,12817,4448,13427,4169000,100
1700731832116,12817,4448,13427,4169000,100
1700731832221,12817,4448,13427,4169000,100
1700731832327,12817,4448,13427,4169000,100
1700731832432,12817,4448,13427,4169000,100
1700731832536,12817,4448,13427,4169000,100
1700731832642,12817,4448,13427,4169000,100
1700731832747,12817,4448,13427,4169000,100
1700731832853,12817,4448,13427,4169000,100
1700731832957,12817,4448,13427,4169000,100
1700731833061,12817,4448,13427,4169000,100
1700731833166,12817,4448,13427,4169000,100
1700731833273,12817,4448,13427,4169000,100
1700731833378,12817,4448,13427,4169000,100
1700731833484,12817,4448,13427,4169000,100
1700731833589,12817,4448,13427,4169000,100
1700731833694,12817,4448,13427,4169000,100
1700731833799,12817,4448,13427,4169000,100
1700731833903,12817,4448,13427,4169000,100
1700731834008,12817,4448,13427,4169000,100
1700731834112,12817,4448,13427,4169000,100
1700731834216,12817,4448,13427,4169000,100
1700731834321,12817,4448,13427,4169000,100
1700731834427,12817,4448,13427,4169000,100
1700731834532,12817,4448,13427,4169000,100
1700731834637,12817,4448,13427,4169000,100
1700731834743,12817,4448,13427,4169000,100
1700731834848,12817,4448,13427,4169000,100
1700731834953,12817,4448,13427,4169000,100
1700731835059,12817,4448,13427,4169000,100
1700731835163,12817,4448,13427,4169000,100
1700731835269,12817,4448,13427,4169000,100
1700731835373,12817,4448,13427,4169000,100
1700731835477,12817,4448,13427,4169000,100
1700731835582,12817,4448,13427,4169000,100
1700731835689,12817,4448,13427,4169000,100
1700731835794,12817,4448,13427,4169000,100
1700731835899,12817,4448,13427,4169000,100
1700731836006,12817,4448,13427,4169000,100
1700731836113,12817,4448,13427,4169000,100
1700731836218,12817,4448,13427,4169000,100
1700731836324,12817,4448,13427,4169000,100
1700731836428,12817,4448,13427,4169000,100
1700731836533,12817,4448,13427,4169000,100
1700731836637,12817,4448,13427,4169000,100
1700731836741,12817,4448,13427,4169000,100
1700731836847,12817,4448,13427,4169000,100
1700731836952,12817,4448,13427,4169000,100
1700731837056,12817,4448,13427,4169000,100
1700731837160,12817,4448,13427,4169000,100
1700731837268,12817,4448,13427,4169000,100
1700731837374,12817,4448,13427,4169000,100
1700731837480,12817,4448,13427,4169000,100
1700731837585,12817,4448,13427,4169000,100
1700731837690,12817,4448,13427,4169000,100
1700731837796,12817,4448,13427,4169000,100
1700731837900,12817,4448,13427,4169000,100
1700731838005,12817,4448,13427,4169000,100
1700731838109,12817,4448,13427,4169000,100
1700731838214,12817,4448,13427,4169000,100
1700731838319,12817,4448,13427,4169000,100
1700731838423,12817,4448,13427,4169000,100
1700731838530,12817,4448,13427,4169000,100
