datetime,cpu,mem,GPU_mem,cpu_clockspeed
Thu Nov 23 10:16:03 UTC 2023,38,164991,4.14 MB (94.84 KB is purgeable),1804800
Thu Nov 23 10:16:05 UTC 2023,38,164008,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 10:16:06 UTC 2023,38,188107,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 10:16:08 UTC 2023,38,162903,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 10:16:09 UTC 2023,38,165864,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 10:16:11 UTC 2023,38,174978,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 10:16:13 UTC 2023,38,198822,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 10:16:14 UTC 2023,38,214638,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 10:16:16 UTC 2023,38,222709,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 10:16:17 UTC 2023,38,223162,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 10:16:19 UTC 2023,38,229766,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 10:16:20 UTC 2023,38,228446,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 10:16:22 UTC 2023,38,212718,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 10:16:23 UTC 2023,38,190733,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 10:16:24 UTC 2023,38,190945,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 10:16:26 UTC 2023,38,190982,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 10:16:27 UTC 2023,38,190381,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 10:16:29 UTC 2023,38,190357,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 10:16:30 UTC 2023,38,190620,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 10:16:31 UTC 2023,38,190377,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 10:16:33 UTC 2023,38,190477,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 10:16:34 UTC 2023,38,190049,4.17 MB (128.88 KB is purgeable),1804800
Thu Nov 23 10:16:36 UTC 2023,38,190036,4.17 MB (128.88 KB is purgeable),1804800
