Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700735326845,12512,4448,13427,4169000,100
1700735326949,12512,4448,13427,4169000,100
1700735327057,12512,4448,13427,4169000,100
1700735327161,12512,4448,13427,4169000,100
1700735327271,12512,4448,13427,4169000,100
1700735327376,12512,4448,13427,4169000,100
1700735327481,12512,4448,13427,4169000,100
1700735327586,12512,4448,13427,4169000,100
1700735327689,12512,4448,13427,4169000,100
1700735327794,12512,4448,13427,4169000,100
1700735327897,12512,4448,13427,4169000,100
1700735328001,12512,4448,13427,4169000,100
1700735328105,12512,4448,13427,4169000,100
1700735328210,12512,4448,13427,4169000,100
1700735328314,12512,4448,13427,4169000,100
1700735328419,12512,4448,13427,4169000,100
1700735328522,12512,4448,13427,4169000,100
1700735328626,12512,4448,13427,4169000,100
1700735328731,12512,4448,13427,4169000,100
1700735328838,12512,4448,13427,4169000,100
1700735328943,12512,4448,13427,4169000,100
1700735329048,12512,4448,13427,4169000,100
1700735329152,12512,4448,13427,4169000,100
1700735329258,12512,4448,13427,4169000,100
1700735329362,12512,4448,13427,4169000,100
1700735329467,12512,4448,13427,4169000,100
1700735329572,12512,4448,13427,4169000,100
1700735329677,12512,4448,13427,4169000,100
1700735329785,12512,4448,13427,4169000,100
1700735329891,12512,4448,13427,4169000,100
1700735329997,12512,4448,13427,4169000,100
1700735330103,12512,4448,13427,4169000,100
1700735330210,12512,4448,13427,4169000,100
1700735330314,12512,4448,13427,4169000,100
1700735330419,12512,4448,13427,4169000,100
1700735330524,12512,4448,13427,4169000,100
1700735330628,12512,4448,13427,4169000,100
1700735330737,12512,4448,13427,4169000,100
1700735330845,12512,4448,13427,4169000,100
1700735330951,12512,4448,13427,4169000,100
1700735331060,12512,4448,13427,4169000,100
1700735331171,12512,4448,13427,4169000,100
1700735331281,3967,4448,13427,4169000,100
1700735331386,3967,4448,13427,4169000,100
1700735331496,3967,4448,13427,4169000,100
1700735331611,3967,4448,13427,4169000,100
1700735331725,3967,4448,13427,4169000,100
1700735331836,3967,4448,13427,4169000,100
1700735331942,3967,4448,13427,4169000,100
1700735332055,3967,4448,13427,4169000,100
1700735332166,3967,4448,13427,4169000,100
1700735332283,3967,4448,13427,4169000,100
