device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,13427.0,4447.0,12213.540517607127,13.6066824996465,13.609525371662398,0.054313614681798905
pixel5g,com-chrome-canary,1,100.0,4169000.0,13427.0,4447.0,10940.348949919224,6.366614210530001,6.368852252162528,0.048651731780290794
pixel5g,com-chrome-canary,2,100.0,4169000.0,13427.0,4447.0,12078.717990275527,7.006924850900501,7.007858408806869,0.05371405890275527
pixel5g,com-chrome-canary,3,100.0,4169000.0,13427.0,4447.0,10963.909613804437,6.358384472261,6.368623577095141,0.048756506052588335
pixel5g,com-chrome-canary,4,100.0,4169000.0,13427.0,4447.0,11221.24512987013,6.5126057540935,6.513262081625709,0.04990087709253248
pixel5g,com-chrome-canary,5,100.0,4169000.0,13427.0,4447.0,11337.51983805668,6.5792233749905,6.5794417330374255,0.05041795071983805
pixel5g,com-chrome-canary,6,100.0,4169000.0,13427.0,4447.0,11880.423793395428,13.237067777759501,13.239707666828297,0.05283224460922947
pixel5g,com-chrome-canary,7,100.0,4169000.0,13427.0,4447.0,12152.015459723352,7.0531203402645,7.054059024228841,0.05404001274938975
pixel5g,com-chrome-canary,8,100.0,4169000.0,13427.0,4447.0,11624.686688311689,6.741255567738001,6.743558668164483,0.05169498170292208
pixel5g,com-chrome-canary,9,100.0,4169000.0,13427.0,4447.0,12431.377758913413,13.8527993443955,13.854251166640365,0.055282336893887944
