datetime,cpu,mem,GPU_mem,cpu_clockspeed
Thu Nov 23 10:50:11 UTC 2023,30,168292,4.14 MB (94.84 KB is purgeable),1804800
Thu Nov 23 10:50:12 UTC 2023,30,168233,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 10:50:14 UTC 2023,30,185764,4.16 MB (111.86 KB is purgeable),1516800
Thu Nov 23 10:50:15 UTC 2023,30,164141,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 10:50:17 UTC 2023,30,163800,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 10:50:18 UTC 2023,30,163253,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 10:50:20 UTC 2023,30,162872,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 10:50:21 UTC 2023,30,162927,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 10:50:23 UTC 2023,30,162031,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 10:50:24 UTC 2023,30,162007,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 10:50:25 UTC 2023,30,164083,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 10:50:27 UTC 2023,30,163251,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 10:50:28 UTC 2023,30,163571,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 10:50:29 UTC 2023,30,163570,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 10:50:31 UTC 2023,30,163262,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 10:50:32 UTC 2023,30,163250,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 10:50:33 UTC 2023,30,163250,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 10:50:35 UTC 2023,30,163422,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 10:50:36 UTC 2023,30,163430,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 10:50:38 UTC 2023,30,163186,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 10:50:39 UTC 2023,30,163218,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 10:50:41 UTC 2023,30,163063,4.16 MB (111.86 KB is purgeable),1804800
