Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700737528835,10070,4447,13427,4169000,100
1700737528941,10070,4447,13427,4169000,100
1700737529047,10070,4447,13427,4169000,100
1700737529152,10070,4447,13427,4169000,100
1700737529260,10070,4447,13427,4169000,100
1700737529364,10070,4447,13427,4169000,100
1700737529469,10070,4447,13427,4169000,100
1700737529572,10070,4447,13427,4169000,100
1700737529676,10070,4447,13427,4169000,100
1700737529780,10070,4447,13427,4169000,100
1700737529884,10070,4447,13427,4169000,100
1700737529989,10070,4447,13427,4169000,100
1700737530094,10070,4447,13427,4169000,100
1700737530199,10070,4447,13427,4169000,100
1700737530304,10070,4447,13427,4169000,100
1700737530409,10070,4447,13427,4169000,100
1700737530515,10070,4447,13427,4169000,100
1700737530625,10070,4447,13427,4169000,100
1700737530733,10070,4447,13427,4169000,100
1700737530838,10070,4447,13427,4169000,100
1700737530943,10070,4447,13427,4169000,100
1700737531047,10070,4447,13427,4169000,100
1700737531153,10070,4447,13427,4169000,100
1700737531258,10070,4447,13427,4169000,100
1700737531366,10070,4447,13427,4169000,100
1700737531470,10070,4447,13427,4169000,100
1700737531578,10070,4447,13427,4169000,100
1700737531683,10070,4447,13427,4169000,100
1700737531792,10070,4447,13427,4169000,100
1700737531899,10070,4447,13427,4169000,100
1700737532011,10070,4447,13427,4169000,100
1700737532121,10070,4447,13427,4169000,100
1700737532236,10070,4447,13427,4169000,100
1700737532346,10070,4447,13427,4169000,100
1700737532457,10070,4447,13427,4169000,100
1700737532567,10070,4447,13427,4169000,100
1700737532673,10070,4447,13427,4169000,100
1700737532789,10070,4447,13427,4169000,100
1700737532898,10070,4447,13427,4169000,100
1700737533009,10070,4447,13427,4169000,100
1700737533116,10070,4447,13427,4169000,100
1700737533224,10070,4447,13427,4169000,100
1700737533337,10070,4447,13427,4169000,100
1700737533445,10070,4447,13427,4169000,100
1700737533558,10070,4447,13427,4169000,100
1700737533664,10070,4447,13427,4169000,100
1700737533774,10070,4447,13427,4169000,100
1700737533888,10070,4447,13427,4169000,100
1700737533996,10070,4447,13427,4169000,100
1700737534104,10070,4447,13427,4169000,100
1700737534212,10070,4447,13427,4169000,100
1700737534319,10070,4447,13427,4169000,100
1700737534425,10070,4447,13427,4169000,100
1700737534529,10070,4447,13427,4169000,100
1700737534636,10070,4447,13427,4169000,100
1700737534751,10070,4447,13427,4169000,100
1700737534861,10070,4447,13427,4169000,100
1700737534966,10070,4447,13427,4169000,100
1700737535074,10070,4447,13427,4169000,100
1700737535180,10070,4447,13427,4169000,100
1700737535286,10070,4447,13427,4169000,100
1700737535392,10070,4447,13427,4169000,100
1700737535500,10070,4447,13427,4169000,100
1700737535606,10070,4447,13427,4169000,100
1700737535717,10070,4447,13427,4169000,100
1700737535823,10070,4447,13427,4169000,100
1700737535931,10070,4447,13427,4169000,100
1700737536041,10070,4447,13427,4169000,100
1700737536148,10070,4447,13427,4169000,100
1700737536252,10070,4447,13427,4169000,100
1700737536372,10070,4447,13427,4169000,100
1700737536485,10070,4447,13427,4169000,100
1700737536590,10070,4447,13427,4169000,100
1700737536696,10070,4447,13427,4169000,100
1700737536808,10070,4447,13427,4169000,100
1700737536912,10070,4447,13427,4169000,100
1700737537022,10070,4447,13427,4169000,100
1700737537131,10070,4447,13427,4169000,100
1700737537243,10070,4447,13427,4169000,100
1700737537350,10070,4447,13427,4169000,100
1700737537469,10070,4447,13427,4169000,100
1700737537572,10681,4447,13427,4169000,100
1700737537679,10681,4447,13427,4169000,100
1700737537786,10681,4447,13427,4169000,100
1700737537893,10681,4447,13427,4169000,100
1700737537998,10681,4447,13427,4169000,100
1700737538106,10681,4447,13427,4169000,100
1700737538212,10681,4447,13427,4169000,100
1700737538316,10681,4447,13427,4169000,100
1700737538423,10681,4447,13427,4169000,100
1700737538529,10681,4447,13427,4169000,100
1700737538634,10681,4447,13427,4169000,100
1700737538742,10681,4447,13427,4169000,100
1700737538847,10681,4447,13427,4169000,100
1700737538954,10681,4447,13427,4169000,100
1700737539059,10681,4447,13427,4169000,100
1700737539164,10681,4447,13427,4169000,100
1700737539266,10681,4447,13427,4169000,100
1700737539371,10681,4447,13427,4169000,100
1700737539477,10681,4447,13427,4169000,100
1700737539582,10681,4447,13427,4169000,100
1700737539686,10681,4447,13427,4169000,100
1700737539789,10681,4447,13427,4169000,100
1700737539891,10681,4447,13427,4169000,100
1700737539995,10681,4447,13427,4169000,100
