device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,13427.0,4447.0,15261.103618421053,8.861686252495002,8.871528090982792,0.06786612779111843
pixel5g,com-chrome-canary,1,100.0,4169000.0,13427.0,4447.0,14129.649837133551,8.199772341827,8.204747404325726,0.06283455282573291
pixel5g,com-chrome-canary,2,100.0,4169000.0,13427.0,4447.0,14367.16042345277,8.3345897706335,8.337297258267007,0.06389076240309448
pixel5g,com-chrome-canary,3,100.0,4169000.0,13427.0,4447.0,14499.958502847843,8.4254826528955,8.431963697725386,0.06448131546216437
pixel5g,com-chrome-canary,4,100.0,4169000.0,13427.0,4447.0,14732.873251377703,16.416799003631,16.423561388267004,0.06551708734887665
pixel5g,com-chrome-canary,5,100.0,4169000.0,13427.0,4447.0,15656.218063466233,9.095914858768499,9.10281588675627,0.06962320172823433
pixel5g,com-chrome-canary,6,100.0,4169000.0,13427.0,4447.0,13576.011419249593,7.8781925686075,7.876380439630172,0.06037252278140295
pixel5g,com-chrome-canary,7,100.0,4169000.0,13427.0,4447.0,15122.819735155916,16.8742227844895,16.881660048226525,0.06725117936223837
pixel5g,com-chrome-canary,8,100.0,4169000.0,13427.0,4447.0,14921.065199674002,8.652640569191998,8.660985548432471,0.06635397694295028
pixel5g,com-chrome-canary,9,100.0,4169000.0,13427.0,4447.0,14575.908646003263,8.4600805085635,8.466731187170938,0.06481906574877651
