datetime,cpu,mem,GPU_mem,cpu_clockspeed
Thu Nov 23 11:24:24 UTC 2023,36,147765,4.14 MB (94.84 KB is purgeable),1363200
Thu Nov 23 11:24:25 UTC 2023,36,156008,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:24:27 UTC 2023,36,150941,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:24:28 UTC 2023,36,144844,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:24:30 UTC 2023,36,143068,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:24:32 UTC 2023,36,142459,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:24:34 UTC 2023,36,142388,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:24:35 UTC 2023,36,141824,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:24:37 UTC 2023,36,145432,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:24:38 UTC 2023,36,150321,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:24:40 UTC 2023,36,143517,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:24:41 UTC 2023,36,143593,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:24:43 UTC 2023,36,143145,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:24:44 UTC 2023,36,143214,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:24:45 UTC 2023,36,143214,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:24:47 UTC 2023,36,143186,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:24:48 UTC 2023,31,144038,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:24:50 UTC 2023,31,144072,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:24:51 UTC 2023,31,143201,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:24:53 UTC 2023,31,143361,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:24:54 UTC 2023,31,143401,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:24:55 UTC 2023,31,143072,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:24:57 UTC 2023,31,144466,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:24:58 UTC 2023,31,143688,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:00 UTC 2023,31,143636,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:01 UTC 2023,31,143124,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:03 UTC 2023,31,143064,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:04 UTC 2023,31,143032,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:06 UTC 2023,31,143161,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:07 UTC 2023,31,143281,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:08 UTC 2023,31,143296,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:10 UTC 2023,31,143297,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:11 UTC 2023,31,143036,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:13 UTC 2023,31,143036,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:14 UTC 2023,31,143037,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:16 UTC 2023,31,143037,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:17 UTC 2023,31,143037,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:19 UTC 2023,31,143037,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:20 UTC 2023,31,143036,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:22 UTC 2023,31,143045,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:23 UTC 2023,31,143271,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:24 UTC 2023,31,143245,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:26 UTC 2023,31,143250,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:27 UTC 2023,31,143221,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:29 UTC 2023,31,143236,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:30 UTC 2023,31,143213,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:32 UTC 2023,31,143047,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:33 UTC 2023,31,143337,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:34 UTC 2023,31,143328,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:36 UTC 2023,31,143048,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:37 UTC 2023,31,143044,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:39 UTC 2023,31,143048,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:40 UTC 2023,31,143041,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:41 UTC 2023,31,143032,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:43 UTC 2023,31,143056,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:44 UTC 2023,31,143037,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:46 UTC 2023,31,143056,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:47 UTC 2023,31,143996,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:48 UTC 2023,31,144001,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:50 UTC 2023,31,144009,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:51 UTC 2023,31,143020,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:53 UTC 2023,31,143037,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:54 UTC 2023,31,143024,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:56 UTC 2023,31,143004,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:57 UTC 2023,31,143005,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:25:59 UTC 2023,31,142965,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:26:00 UTC 2023,31,143013,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:26:01 UTC 2023,31,143361,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:26:03 UTC 2023,31,142992,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:26:04 UTC 2023,31,142968,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:26:06 UTC 2023,31,142993,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:26:07 UTC 2023,31,142972,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:26:08 UTC 2023,31,142976,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:26:10 UTC 2023,31,142985,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:26:11 UTC 2023,31,142980,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:26:13 UTC 2023,31,142985,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:26:14 UTC 2023,31,142981,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:26:16 UTC 2023,31,142980,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:26:17 UTC 2023,31,143009,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:26:18 UTC 2023,31,142984,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:26:20 UTC 2023,31,142997,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:26:21 UTC 2023,31,142984,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:26:23 UTC 2023,31,142940,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:26:24 UTC 2023,31,142987,4.17 MB (128.88 KB is purgeable),1363200
Thu Nov 23 11:26:25 UTC 2023,31,143022,4.17 MB (128.88 KB is purgeable),1363200
