Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700738970099,12817,4447,13427,4169000,100
1700738970205,12817,4447,13427,4169000,100
1700738970310,12817,4447,13427,4169000,100
1700738970415,12817,4447,13427,4169000,100
1700738970522,12817,4447,13427,4169000,100
1700738970628,12817,4447,13427,4169000,100
1700738970738,12817,4447,13427,4169000,100
1700738970844,12817,4447,13427,4169000,100
1700738970950,12817,4447,13427,4169000,100
1700738971055,12817,4447,13427,4169000,100
1700738971164,12817,4447,13427,4169000,100
1700738971269,12817,4447,13427,4169000,100
1700738971374,12817,4447,13427,4169000,100
1700738971480,12817,4447,13427,4169000,100
1700738971584,12817,4447,13427,4169000,100
1700738971689,12817,4447,13427,4169000,100
1700738971794,12817,4447,13427,4169000,100
1700738971899,12817,4447,13427,4169000,100
1700738972004,12817,4447,13427,4169000,100
1700738972108,12817,4447,13427,4169000,100
1700738972213,12817,4447,13427,4169000,100
1700738972319,12817,4447,13427,4169000,100
1700738972426,12817,4447,13427,4169000,100
1700738972533,12817,4447,13427,4169000,100
1700738972646,12817,4447,13427,4169000,100
1700738972754,12817,4447,13427,4169000,100
1700738972867,12817,4447,13427,4169000,100
1700738972977,12817,4447,13427,4169000,100
1700738973084,12817,4447,13427,4169000,100
1700738973192,12817,4447,13427,4169000,100
1700738973303,12817,4447,13427,4169000,100
1700738973420,12817,4447,13427,4169000,100
1700738973534,12817,4447,13427,4169000,100
1700738973646,12817,4447,13427,4169000,100
1700738973763,12817,4447,13427,4169000,100
1700738973872,12817,4447,13427,4169000,100
1700738973982,12817,4447,13427,4169000,100
1700738974090,12817,4447,13427,4169000,100
1700738974198,12817,4447,13427,4169000,100
1700738974302,12817,4447,13427,4169000,100
1700738974413,12817,4447,13427,4169000,100
1700738974521,12817,4447,13427,4169000,100
1700738974624,12817,4447,13427,4169000,100
1700738974734,12817,4447,13427,4169000,100
1700738974841,12817,4447,13427,4169000,100
1700738974951,12817,4447,13427,4169000,100
1700738975053,12817,4447,13427,4169000,100
1700738975161,12817,4447,13427,4169000,100
1700738975272,12817,4447,13427,4169000,100
1700738975379,12817,4447,13427,4169000,100
1700738975494,12817,4447,13427,4169000,100
1700738975599,12817,4447,13427,4169000,100
1700738975712,12817,4447,13427,4169000,100
1700738975816,12817,4447,13427,4169000,100
1700738975919,12817,4447,13427,4169000,100
1700738976056,12817,4447,13427,4169000,100
1700738976168,12817,4447,13427,4169000,100
1700738976278,12817,4447,13427,4169000,100
1700738976387,8850,4447,13427,4169000,100
1700738976489,8850,4447,13427,4169000,100
1700738976592,8850,4447,13427,4169000,100
1700738976719,8850,4447,13427,4169000,100
1700738976825,8850,4447,13427,4169000,100
1700738976934,8850,4447,13427,4169000,100
1700738977057,8850,4447,13427,4169000,100
1700738977174,8850,4447,13427,4169000,100
1700738977306,8850,4447,13427,4169000,100
1700738977430,8850,4447,13427,4169000,100
1700738977547,8850,4447,13427,4169000,100
1700738977659,8850,4447,13427,4169000,100
1700738977765,8850,4447,13427,4169000,100
1700738977876,8850,4447,13427,4169000,100
1700738977985,8850,4447,13427,4169000,100
1700738978092,8850,4447,13427,4169000,100
1700738978214,8850,4447,13427,4169000,100
1700738978328,8850,4447,13427,4169000,100
1700738978446,8850,4447,13427,4169000,100
1700738978554,8850,4447,13427,4169000,100
1700738978664,8850,4447,13427,4169000,100
1700738978773,8850,4447,13427,4169000,100
1700738978880,8850,4447,13427,4169000,100
1700738979007,8850,4447,13427,4169000,100
1700738979117,8850,4447,13427,4169000,100
1700738979230,8850,4447,13427,4169000,100
1700738979360,8850,4447,13427,4169000,100
1700738979469,8850,4447,13427,4169000,100
1700738979585,8850,4447,13427,4169000,100
1700738979696,8850,4447,13427,4169000,100
1700738979808,8850,4447,13427,4169000,100
1700738979916,8850,4447,13427,4169000,100
1700738980023,8850,4447,13427,4169000,100
1700738980128,8850,4447,13427,4169000,100
1700738980236,8850,4447,13427,4169000,100
1700738980343,8850,4447,13427,4169000,100
1700738980453,8850,4447,13427,4169000,100
1700738980560,8850,4447,13427,4169000,100
1700738980668,8850,4447,13427,4169000,100
1700738980774,8850,4447,13427,4169000,100
1700738980880,8850,4447,13427,4169000,100
1700738980983,8850,4447,13427,4169000,100
1700738981092,8850,4447,13427,4169000,100
1700738981200,8850,4447,13427,4169000,100
1700738981311,8850,4447,13427,4169000,100
1700738981420,8850,4447,13427,4169000,100
1700738981527,8850,4447,13427,4169000,100
1700738981634,8850,4447,13427,4169000,100
1700738981746,8850,4447,13427,4169000,100
1700738981858,8850,4447,13427,4169000,100
1700738981967,8850,4447,13427,4169000,100
1700738982074,8850,4447,13427,4169000,100
1700738982177,8850,4447,13427,4169000,100
1700738982285,8850,4447,13427,4169000,100
1700738982400,8850,4447,13427,4169000,100
1700738982508,8850,4447,13427,4169000,100
1700738982613,8850,4447,13427,4169000,100
1700738982720,8850,4447,13427,4169000,100
1700738982824,8850,4447,13427,4169000,100
1700738982931,8850,4447,13427,4169000,100
1700738983037,8850,4447,13427,4169000,100
1700738983148,8850,4447,13427,4169000,100
1700738983255,8850,4447,13427,4169000,100
1700738983359,8850,4447,13427,4169000,100
1700738983466,8850,4447,13427,4169000,100
1700738983571,8850,4447,13427,4169000,100
