datetime,cpu,mem,GPU_mem,cpu_clockspeed
Thu Nov 23 12:02:12 UTC 2023,32,171582,4.14 MB (94.84 KB is purgeable),1804800
Thu Nov 23 12:02:13 UTC 2023,32,164340,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:15 UTC 2023,32,194489,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:16 UTC 2023,32,161825,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:18 UTC 2023,32,160774,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:19 UTC 2023,32,161241,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:21 UTC 2023,32,161056,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:22 UTC 2023,32,161223,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:24 UTC 2023,32,160627,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:25 UTC 2023,32,160619,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:27 UTC 2023,32,162619,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:28 UTC 2023,32,161663,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:29 UTC 2023,32,161959,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:31 UTC 2023,32,161487,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:32 UTC 2023,32,161623,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:34 UTC 2023,32,161623,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:35 UTC 2023,32,161515,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:36 UTC 2023,32,161771,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:38 UTC 2023,32,161775,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:39 UTC 2023,32,161511,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:41 UTC 2023,32,161499,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:42 UTC 2023,32,161619,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:43 UTC 2023,32,160399,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:45 UTC 2023,32,160415,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:46 UTC 2023,32,160419,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:47 UTC 2023,32,160331,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:49 UTC 2023,32,160335,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:50 UTC 2023,32,160326,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:52 UTC 2023,32,160294,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:53 UTC 2023,32,160338,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:54 UTC 2023,32,160314,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:56 UTC 2023,32,160322,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:57 UTC 2023,32,160306,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:02:59 UTC 2023,32,160314,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:00 UTC 2023,32,160322,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:01 UTC 2023,32,160314,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:03 UTC 2023,32,160274,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:04 UTC 2023,32,160286,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:06 UTC 2023,32,160278,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:07 UTC 2023,32,160298,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:08 UTC 2023,32,160278,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:10 UTC 2023,32,160284,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:11 UTC 2023,32,160470,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:13 UTC 2023,32,160448,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:14 UTC 2023,32,160441,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:15 UTC 2023,32,160308,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:17 UTC 2023,32,160296,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:18 UTC 2023,32,160308,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:20 UTC 2023,32,160296,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:21 UTC 2023,32,160460,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:22 UTC 2023,32,160568,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:24 UTC 2023,32,160308,4.16 MB (111.86 KB is purgeable),1651200
Thu Nov 23 12:03:25 UTC 2023,32,160312,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:27 UTC 2023,32,160308,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:28 UTC 2023,32,160312,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:29 UTC 2023,32,160308,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:31 UTC 2023,32,160296,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:32 UTC 2023,32,160324,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:33 UTC 2023,32,160296,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:35 UTC 2023,32,160308,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:36 UTC 2023,32,160300,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:38 UTC 2023,32,160312,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:39 UTC 2023,32,160312,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:40 UTC 2023,32,160308,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:42 UTC 2023,32,160308,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:43 UTC 2023,32,160316,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:44 UTC 2023,32,160280,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:46 UTC 2023,32,160292,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:47 UTC 2023,32,160280,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:49 UTC 2023,32,160276,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:50 UTC 2023,32,160276,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:51 UTC 2023,32,160276,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:53 UTC 2023,32,160264,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:54 UTC 2023,32,160292,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:56 UTC 2023,32,160264,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:57 UTC 2023,32,160272,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:03:58 UTC 2023,32,160264,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:04:00 UTC 2023,32,160276,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:04:01 UTC 2023,32,160280,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:04:02 UTC 2023,32,160272,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:04:04 UTC 2023,32,160272,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:04:05 UTC 2023,32,160296,4.16 MB (111.86 KB is purgeable),1804800
