Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700740933054,10070,4446,13427,4169000,100
1700740933158,10070,4446,13427,4169000,100
1700740933265,10070,4446,13427,4169000,100
1700740933369,10070,4446,13427,4169000,100
1700740933475,10070,4446,13427,4169000,100
1700740933578,10070,4446,13427,4169000,100
1700740933682,10070,4446,13427,4169000,100
1700740933787,10070,4446,13427,4169000,100
1700740933891,10070,4446,13427,4169000,100
1700740933996,10070,4446,13427,4169000,100
1700740934100,10070,4446,13427,4169000,100
1700740934204,10070,4446,13427,4169000,100
1700740934308,10070,4446,13427,4169000,100
1700740934413,10070,4446,13427,4169000,100
1700740934517,10070,4446,13427,4169000,100
1700740934621,10070,4446,13427,4169000,100
1700740934725,10070,4446,13427,4169000,100
1700740934829,10070,4446,13427,4169000,100
1700740934935,10070,4446,13427,4169000,100
1700740935043,10070,4446,13427,4169000,100
1700740935152,10070,4446,13427,4169000,100
1700740935258,10070,4446,13427,4169000,100
1700740935362,10070,4446,13427,4169000,100
1700740935466,10070,4446,13427,4169000,100
1700740935574,10070,4446,13427,4169000,100
1700740935684,10070,4446,13427,4169000,100
1700740935789,10070,4446,13427,4169000,100
1700740935895,10070,4446,13427,4169000,100
1700740936001,10070,4446,13427,4169000,100
1700740936109,10070,4446,13427,4169000,100
1700740936220,10070,4446,13427,4169000,100
1700740936325,10070,4446,13427,4169000,100
1700740936428,10070,4446,13427,4169000,100
1700740936533,10070,4446,13427,4169000,100
1700740936642,10070,4446,13427,4169000,100
1700740936747,10070,4446,13427,4169000,100
1700740936851,10070,4446,13427,4169000,100
1700740936957,10070,4446,13427,4169000,100
1700740937067,10070,4446,13427,4169000,100
1700740937179,10070,4446,13427,4169000,100
1700740937289,10070,4446,13427,4169000,100
1700740937398,10070,4446,13427,4169000,100
1700740937507,10070,4446,13427,4169000,100
1700740937613,10070,4446,13427,4169000,100
1700740937721,10070,4446,13427,4169000,100
1700740937827,10070,4446,13427,4169000,100
1700740937933,10070,4446,13427,4169000,100
1700740938042,10070,4446,13427,4169000,100
1700740938147,10070,4446,13427,4169000,100
1700740938255,10070,4446,13427,4169000,100
1700740938366,10070,4446,13427,4169000,100
1700740938471,10070,4446,13427,4169000,100
1700740938578,10070,4446,13427,4169000,100
1700740938685,10070,4446,13427,4169000,100
1700740938802,10070,4446,13427,4169000,100
1700740938911,10070,4446,13427,4169000,100
1700740939016,10070,4446,13427,4169000,100
1700740939122,10070,4446,13427,4169000,100
1700740939227,10070,4446,13427,4169000,100
1700740939340,10070,4446,13427,4169000,100
1700740939446,10070,4446,13427,4169000,100
1700740939552,10070,4446,13427,4169000,100
1700740939659,10070,4446,13427,4169000,100
1700740939766,10070,4446,13427,4169000,100
1700740939873,10070,4446,13427,4169000,100
1700740939980,10070,4446,13427,4169000,100
1700740940094,10070,4446,13427,4169000,100
1700740940203,10070,4446,13427,4169000,100
1700740940309,10070,4446,13427,4169000,100
1700740940422,10070,4446,13427,4169000,100
1700740940536,10070,4446,13427,4169000,100
1700740940641,10070,4446,13427,4169000,100
1700740940750,10070,4446,13427,4169000,100
1700740940855,10070,4446,13427,4169000,100
1700740940959,10070,4446,13427,4169000,100
1700740941066,10070,4446,13427,4169000,100
1700740941173,10070,4446,13427,4169000,100
1700740941279,10070,4446,13427,4169000,100
1700740941406,10070,4446,13427,4169000,100
1700740941517,10070,4446,13427,4169000,100
1700740941632,10070,4446,13427,4169000,100
1700740941741,10070,4446,13427,4169000,100
1700740941850,10070,4446,13427,4169000,100
1700740941958,10070,4446,13427,4169000,100
1700740942063,10070,4446,13427,4169000,100
1700740942169,10070,4446,13427,4169000,100
1700740942275,10070,4446,13427,4169000,100
1700740942379,10070,4446,13427,4169000,100
1700740942486,10070,4446,13427,4169000,100
1700740942590,10070,4446,13427,4169000,100
1700740942694,10070,4446,13427,4169000,100
1700740942797,10070,4446,13427,4169000,100
1700740942902,11901,4446,13427,4169000,100
1700740943010,11901,4446,13427,4169000,100
1700740943115,11901,4446,13427,4169000,100
1700740943222,11901,4446,13427,4169000,100
1700740943326,11901,4446,13427,4169000,100
1700740943432,11901,4446,13427,4169000,100
1700740943537,11901,4446,13427,4169000,100
1700740943645,11901,4446,13427,4169000,100
1700740943750,11901,4446,13427,4169000,100
1700740943856,11901,4446,13427,4169000,100
1700740943961,11901,4446,13427,4169000,100
1700740944064,11901,4446,13427,4169000,100
1700740944168,11901,4446,13427,4169000,100
1700740944272,11901,4446,13427,4169000,100
1700740944382,11901,4446,13427,4169000,100
1700740944491,11901,4446,13427,4169000,100
1700740944597,11901,4446,13427,4169000,100
1700740944703,11901,4446,13427,4169000,100
1700740944806,11901,4446,13427,4169000,100
1700740944914,11901,4446,13427,4169000,100
1700740945018,11901,4446,13427,4169000,100
1700740945125,11901,4446,13427,4169000,100
1700740945229,11901,4446,13427,4169000,100
1700740945336,11901,4446,13427,4169000,100
1700740945440,11901,4446,13427,4169000,100
1700740945545,11901,4446,13427,4169000,100
1700740945650,11901,4446,13427,4169000,100
1700740945757,11901,4446,13427,4169000,100
1700740945863,11901,4446,13427,4169000,100
1700740945974,11901,4446,13427,4169000,100
1700740946079,11901,4446,13427,4169000,100
1700740946185,11901,4446,13427,4169000,100
1700740946290,11901,4446,13427,4169000,100
1700740946397,11901,4446,13427,4169000,100
1700740946500,11901,4446,13427,4169000,100
1700740946605,11901,4446,13427,4169000,100
1700740946709,11901,4446,13427,4169000,100
1700740946813,11901,4446,13427,4169000,100
1700740946920,11901,4446,13427,4169000,100
1700740947024,11901,4446,13427,4169000,100
1700740947130,11901,4446,13427,4169000,100
1700740947235,11901,4446,13427,4169000,100
1700740947345,11901,4446,13427,4169000,100
1700740947453,11901,4446,13427,4169000,100
1700740947557,11901,4446,13427,4169000,100
1700740947663,11901,4446,13427,4169000,100
1700740947768,11901,4446,13427,4169000,100
1700740947873,11901,4446,13427,4169000,100
1700740947978,11901,4446,13427,4169000,100
1700740948083,11901,4446,13427,4169000,100
1700740948188,11901,4446,13427,4169000,100
1700740948292,11901,4446,13427,4169000,100
1700740948398,11901,4446,13427,4169000,100
1700740948502,11901,4446,13427,4169000,100
1700740948606,11901,4446,13427,4169000,100
1700740948712,11901,4446,13427,4169000,100
1700740948816,11901,4446,13427,4169000,100
1700740948921,11901,4446,13427,4169000,100
1700740949026,11901,4446,13427,4169000,100
1700740949129,11901,4446,13427,4169000,100
1700740949235,11901,4446,13427,4169000,100
1700740949340,11901,4446,13427,4169000,100
1700740949444,11901,4446,13427,4169000,100
1700740949548,11901,4446,13427,4169000,100
1700740949652,11901,4446,13427,4169000,100
1700740949756,11901,4446,13427,4169000,100
1700740949860,11901,4446,13427,4169000,100
1700740949964,11901,4446,13427,4169000,100
1700740950068,11901,4446,13427,4169000,100
1700740950173,11901,4446,13427,4169000,100
1700740950277,11901,4446,13427,4169000,100
1700740950381,11901,4446,13427,4169000,100
1700740950485,11901,4446,13427,4169000,100
1700740950589,11901,4446,13427,4169000,100
1700740950695,11901,4446,13427,4169000,100
1700740950800,11901,4446,13427,4169000,100
1700740950906,11901,4446,13427,4169000,100
1700740951010,11901,4446,13427,4169000,100
1700740951118,11901,4446,13427,4169000,100
1700740951221,11901,4446,13427,4169000,100
1700740951327,11901,4446,13427,4169000,100
1700740951431,11901,4446,13427,4169000,100
1700740951536,11901,4446,13427,4169000,100
1700740951641,11901,4446,13427,4169000,100
1700740951746,11901,4446,13427,4169000,100
1700740951851,11901,4446,13427,4169000,100
1700740951955,11901,4446,13427,4169000,100
1700740952059,11901,4446,13427,4169000,100
1700740952164,11901,4446,13427,4169000,100
1700740952268,11901,4446,13427,4169000,100
1700740952373,11901,4446,13427,4169000,100
1700740952478,11901,4446,13427,4169000,100
1700740952582,11901,4446,13427,4169000,100
1700740952687,11901,4446,13427,4169000,100
1700740952792,11901,4446,13427,4169000,100
1700740952896,11901,4446,13427,4169000,100
1700740953000,11901,4446,13427,4169000,100
1700740953104,11901,4446,13427,4169000,100
1700740953208,11901,4446,13427,4169000,100
1700740953313,11901,4446,13427,4169000,100
1700740953417,11901,4446,13427,4169000,100
1700740953521,11901,4446,13427,4169000,100
1700740953625,11901,4446,13427,4169000,100
1700740953729,11901,4446,13427,4169000,100
1700740953834,11901,4446,13427,4169000,100
1700740953938,11901,4446,13427,4169000,100
1700740954043,11901,4446,13427,4169000,100
1700740954150,11901,4446,13427,4169000,100
1700740954256,11901,4446,13427,4169000,100
1700740954362,11901,4446,13427,4169000,100
1700740954467,11901,4446,13427,4169000,100
1700740954573,11901,4446,13427,4169000,100
1700740954678,11901,4446,13427,4169000,100
1700740954781,11901,4446,13427,4169000,100
1700740954885,11901,4446,13427,4169000,100
1700740954989,11901,4446,13427,4169000,100
1700740955094,11901,4446,13427,4169000,100
1700740955199,11901,4446,13427,4169000,100
1700740955303,11901,4446,13427,4169000,100
1700740955408,11901,4446,13427,4169000,100
1700740955512,11901,4446,13427,4169000,100
1700740955618,11901,4446,13427,4169000,100
1700740955722,11901,4446,13427,4169000,100
1700740955829,11901,4446,13427,4169000,100
1700740955933,11901,4446,13427,4169000,100
1700740956038,11901,4446,13427,4169000,100
1700740956143,11901,4446,13427,4169000,100
1700740956246,11901,4446,13427,4169000,100
1700740956354,11901,4446,13427,4169000,100
1700740956458,11901,4446,13427,4169000,100
1700740956563,11901,4446,13427,4169000,100
1700740956667,11901,4446,13427,4169000,100
1700740956773,11901,4446,13427,4169000,100
1700740956877,11901,4446,13427,4169000,100
1700740956981,11901,4446,13427,4169000,100
1700740957088,11901,4446,13427,4169000,100
1700740957193,11901,4446,13427,4169000,100
1700740957297,11901,4446,13427,4169000,100
1700740957401,11901,4446,13427,4169000,100
1700740957506,11901,4446,13427,4169000,100
1700740957611,11901,4446,13427,4169000,100
1700740957714,11901,4446,13427,4169000,100
1700740957818,11901,4446,13427,4169000,100
1700740957924,11901,4446,13427,4169000,100
1700740958028,11901,4446,13427,4169000,100
1700740958133,11901,4446,13427,4169000,100
1700740958237,11901,4446,13427,4169000,100
1700740958341,11901,4446,13427,4169000,100
1700740958446,11901,4446,13427,4169000,100
1700740958550,11901,4446,13427,4169000,100
1700740958653,11901,4446,13427,4169000,100
1700740958758,11901,4446,13427,4169000,100
1700740958863,14038,4446,13427,4169000,100
1700740958969,14038,4446,13427,4169000,100
1700740959072,14038,4446,13427,4169000,100
1700740959179,14038,4446,13427,4169000,100
1700740959282,14038,4446,13427,4169000,100
1700740959387,14038,4446,13427,4169000,100
1700740959492,14038,4446,13427,4169000,100
1700740959596,14038,4446,13427,4169000,100
1700740959701,14038,4446,13427,4169000,100
1700740959806,14038,4446,13427,4169000,100
1700740959910,14038,4446,13427,4169000,100
1700740960015,14038,4446,13427,4169000,100
1700740960120,14038,4446,13427,4169000,100
1700740960225,14038,4446,13427,4169000,100
1700740960329,14038,4446,13427,4169000,100
1700740960433,14038,4446,13427,4169000,100
1700740960536,14038,4446,13427,4169000,100
1700740960641,14038,4446,13427,4169000,100
1700740960745,14038,4446,13427,4169000,100
1700740960849,14038,4446,13427,4169000,100
1700740960954,14038,4446,13427,4169000,100
1700740961058,14038,4446,13427,4169000,100
1700740961164,14038,4446,13427,4169000,100
1700740961268,14038,4446,13427,4169000,100
1700740961374,14038,4446,13427,4169000,100
1700740961478,14038,4446,13427,4169000,100
1700740961581,14038,4446,13427,4169000,100
1700740961685,14038,4446,13427,4169000,100
1700740961789,14038,4446,13427,4169000,100
1700740961895,14038,4446,13427,4169000,100
1700740962000,14038,4446,13427,4169000,100
1700740962105,14038,4446,13427,4169000,100
1700740962209,14038,4446,13427,4169000,100
1700740962313,14038,4446,13427,4169000,100
1700740962418,14038,4446,13427,4169000,100
1700740962525,14038,4446,13427,4169000,100
1700740962631,14038,4446,13427,4169000,100
1700740962734,14038,4446,13427,4169000,100
1700740962841,14038,4446,13427,4169000,100
1700740962945,14038,4446,13427,4169000,100
1700740963049,14038,4446,13427,4169000,100
1700740963154,14038,4446,13427,4169000,100
1700740963258,14038,4446,13427,4169000,100
1700740963362,14038,4446,13427,4169000,100
1700740963466,14038,4446,13427,4169000,100
1700740963571,14038,4446,13427,4169000,100
1700740963674,14038,4446,13427,4169000,100
1700740963779,14038,4446,13427,4169000,100
1700740963884,14038,4446,13427,4169000,100
1700740963991,14038,4446,13427,4169000,100
1700740964095,14038,4446,13427,4169000,100
1700740964199,14038,4446,13427,4169000,100
1700740964304,14038,4446,13427,4169000,100
1700740964408,14038,4446,13427,4169000,100
1700740964514,14038,4446,13427,4169000,100
1700740964618,14038,4446,13427,4169000,100
1700740964722,14038,4446,13427,4169000,100
1700740964826,14038,4446,13427,4169000,100
1700740964930,14038,4446,13427,4169000,100
1700740965035,14038,4446,13427,4169000,100
1700740965140,14038,4446,13427,4169000,100
1700740965245,14038,4446,13427,4169000,100
1700740965350,14038,4446,13427,4169000,100
1700740965454,14038,4446,13427,4169000,100
1700740965560,14038,4446,13427,4169000,100
1700740965665,14038,4446,13427,4169000,100
1700740965769,14038,4446,13427,4169000,100
1700740965873,14038,4446,13427,4169000,100
1700740965977,14038,4446,13427,4169000,100
1700740966082,14038,4446,13427,4169000,100
1700740966186,14038,4446,13427,4169000,100
1700740966290,14038,4446,13427,4169000,100
1700740966393,14038,4446,13427,4169000,100
1700740966497,14038,4446,13427,4169000,100
1700740966602,14038,4446,13427,4169000,100
1700740966707,14038,4446,13427,4169000,100
1700740966811,14038,4446,13427,4169000,100
1700740966917,14038,4446,13427,4169000,100
1700740967022,14038,4446,13427,4169000,100
1700740967127,14038,4446,13427,4169000,100
1700740967232,14038,4446,13427,4169000,100
1700740967336,14038,4446,13427,4169000,100
1700740967441,14038,4446,13427,4169000,100
1700740967545,14038,4446,13427,4169000,100
1700740967649,14038,4446,13427,4169000,100
1700740967755,14038,4446,13427,4169000,100
1700740967858,14038,4446,13427,4169000,100
1700740967962,14038,4446,13427,4169000,100
1700740968066,14038,4446,13427,4169000,100
1700740968171,14038,4446,13427,4169000,100
1700740968276,14038,4446,13427,4169000,100
1700740968380,14038,4446,13427,4169000,100
1700740968485,14038,4446,13427,4169000,100
1700740968591,14038,4446,13427,4169000,100
1700740968695,14038,4446,13427,4169000,100
1700740968801,14038,4446,13427,4169000,100
1700740968906,14038,4446,13427,4169000,100
1700740969011,14038,4446,13427,4169000,100
1700740969115,14038,4446,13427,4169000,100
1700740969221,14038,4446,13427,4169000,100
1700740969326,14038,4446,13427,4169000,100
1700740969431,14038,4446,13427,4169000,100
1700740969538,14038,4446,13427,4169000,100
1700740969642,14038,4446,13427,4169000,100
1700740969747,14038,4446,13427,4169000,100
1700740969851,14038,4446,13427,4169000,100
1700740969956,14038,4446,13427,4169000,100
1700740970060,14038,4446,13427,4169000,100
1700740970164,14038,4446,13427,4169000,100
1700740970273,14038,4446,13427,4169000,100
1700740970381,14038,4446,13427,4169000,100
1700740970486,14038,4446,13427,4169000,100
1700740970591,14038,4446,13427,4169000,100
1700740970697,14038,4446,13427,4169000,100
1700740970801,14038,4446,13427,4169000,100
1700740970907,14038,4446,13427,4169000,100
1700740971011,14038,4446,13427,4169000,100
1700740971117,14038,4446,13427,4169000,100
1700740971221,14038,4446,13427,4169000,100
1700740971325,14038,4446,13427,4169000,100
