datetime,cpu,mem,GPU_mem,cpu_clockspeed
Thu Nov 23 12:33:09 UTC 2023,32,170819,4.14 MB (94.84 KB is purgeable),1804800
Thu Nov 23 12:33:11 UTC 2023,32,162603,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:12 UTC 2023,32,171610,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:14 UTC 2023,32,167848,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:16 UTC 2023,32,167604,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:17 UTC 2023,32,167037,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:19 UTC 2023,32,168043,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:20 UTC 2023,32,167791,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:21 UTC 2023,32,168585,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:23 UTC 2023,32,170732,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:24 UTC 2023,32,169966,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:26 UTC 2023,32,170064,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:27 UTC 2023,32,170461,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:28 UTC 2023,32,170069,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:30 UTC 2023,32,170171,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:31 UTC 2023,32,170211,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:33 UTC 2023,32,170135,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:34 UTC 2023,32,170450,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:35 UTC 2023,32,170444,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:37 UTC 2023,32,170154,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:38 UTC 2023,32,170939,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:40 UTC 2023,32,170949,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:41 UTC 2023,32,170141,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:42 UTC 2023,32,170157,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:44 UTC 2023,32,170111,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:45 UTC 2023,32,170230,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:47 UTC 2023,32,170257,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:48 UTC 2023,32,170343,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:50 UTC 2023,32,170410,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:52 UTC 2023,32,170476,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:53 UTC 2023,32,170486,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:55 UTC 2023,32,170493,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:56 UTC 2023,32,170396,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:58 UTC 2023,32,170506,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:33:59 UTC 2023,32,171392,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:01 UTC 2023,32,170607,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:02 UTC 2023,32,170599,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:04 UTC 2023,32,170628,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:05 UTC 2023,32,170633,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:07 UTC 2023,32,170635,4.16 MB (111.86 KB is purgeable),1651200
Thu Nov 23 12:34:08 UTC 2023,32,170921,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:10 UTC 2023,32,170997,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:11 UTC 2023,32,171026,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:12 UTC 2023,32,170953,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:14 UTC 2023,32,170977,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:16 UTC 2023,32,170975,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:17 UTC 2023,32,170775,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:18 UTC 2023,32,171063,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:20 UTC 2023,32,171199,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 12:34:21 UTC 2023,32,170977,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:23 UTC 2023,32,170960,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:24 UTC 2023,32,170872,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:25 UTC 2023,32,170988,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:27 UTC 2023,32,170998,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:28 UTC 2023,32,170936,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:29 UTC 2023,32,171028,4.16 MB (111.86 KB is purgeable),1651200
Thu Nov 23 12:34:31 UTC 2023,32,171010,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:32 UTC 2023,32,170962,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:34 UTC 2023,32,171010,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:35 UTC 2023,32,171026,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:36 UTC 2023,32,170942,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:38 UTC 2023,32,171042,4.16 MB (111.86 KB is purgeable),1651200
Thu Nov 23 12:34:39 UTC 2023,32,171072,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:41 UTC 2023,32,171054,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:42 UTC 2023,32,171792,4.16 MB (111.86 KB is purgeable),1651200
Thu Nov 23 12:34:43 UTC 2023,32,171803,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:45 UTC 2023,32,171427,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:46 UTC 2023,32,171449,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:48 UTC 2023,32,171445,4.16 MB (111.86 KB is purgeable),1651200
Thu Nov 23 12:34:49 UTC 2023,32,171457,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:50 UTC 2023,32,171491,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:52 UTC 2023,32,171467,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:53 UTC 2023,32,171487,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:55 UTC 2023,32,171492,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:56 UTC 2023,32,171391,4.16 MB (111.86 KB is purgeable),1651200
Thu Nov 23 12:34:57 UTC 2023,32,171528,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:34:59 UTC 2023,32,171505,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:35:00 UTC 2023,32,171437,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:35:02 UTC 2023,32,171527,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:35:03 UTC 2023,32,171527,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:35:04 UTC 2023,32,171459,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:35:06 UTC 2023,32,171547,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:35:07 UTC 2023,32,171588,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:35:09 UTC 2023,32,171457,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:35:10 UTC 2023,32,171531,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:35:11 UTC 2023,32,171619,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:35:13 UTC 2023,32,171870,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:35:14 UTC 2023,32,171886,4.16 MB (111.86 KB is purgeable),1651200
Thu Nov 23 12:35:16 UTC 2023,32,171874,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:35:17 UTC 2023,32,171718,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:35:18 UTC 2023,32,171794,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 12:35:20 UTC 2023,32,171777,4.16 MB (111.86 KB is purgeable),1804800
