Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700742484774,10375,4446,13427,4169000,100
1700742484879,10375,4446,13427,4169000,100
1700742484997,10375,4446,13427,4169000,100
1700742485109,10375,4446,13427,4169000,100
1700742485223,10375,4446,13427,4169000,100
1700742485327,10375,4446,13427,4169000,100
1700742485432,10375,4446,13427,4169000,100
1700742485536,10375,4446,13427,4169000,100
1700742485641,10375,4446,13427,4169000,100
1700742485745,10375,4446,13427,4169000,100
1700742485852,10375,4446,13427,4169000,100
1700742485958,10375,4446,13427,4169000,100
1700742486062,10375,4446,13427,4169000,100
1700742486166,10375,4446,13427,4169000,100
1700742486317,10375,4446,13427,4169000,100
1700742486421,10375,4446,13427,4169000,100
1700742486525,10375,4446,13427,4169000,100
1700742486630,10375,4446,13427,4169000,100
1700742486735,10375,4446,13427,4169000,100
1700742486839,10375,4446,13427,4169000,100
1700742486947,10375,4446,13427,4169000,100
1700742487053,10375,4446,13427,4169000,100
1700742487157,10375,4446,13427,4169000,100
1700742487261,10375,4446,13427,4169000,100
1700742487367,10375,4446,13427,4169000,100
1700742487474,10375,4446,13427,4169000,100
1700742487580,10375,4446,13427,4169000,100
1700742487697,10375,4446,13427,4169000,100
1700742487810,10375,4446,13427,4169000,100
1700742487917,10375,4446,13427,4169000,100
1700742488028,10375,4446,13427,4169000,100
1700742488136,10375,4446,13427,4169000,100
1700742488245,10375,4446,13427,4169000,100
1700742488360,10375,4446,13427,4169000,100
1700742488470,10375,4446,13427,4169000,100
1700742488574,10375,4446,13427,4169000,100
1700742488677,10375,4446,13427,4169000,100
1700742488787,10375,4446,13427,4169000,100
1700742488893,10375,4446,13427,4169000,100
1700742488998,10375,4446,13427,4169000,100
1700742489105,10375,4446,13427,4169000,100
1700742489207,10375,4446,13427,4169000,100
1700742489309,10375,4446,13427,4169000,100
1700742489423,10375,4446,13427,4169000,100
1700742489528,10375,4446,13427,4169000,100
1700742489633,10375,4446,13427,4169000,100
1700742489744,10375,4446,13427,4169000,100
1700742489851,10375,4446,13427,4169000,100
1700742489959,10375,4446,13427,4169000,100
1700742490068,10375,4446,13427,4169000,100
1700742490174,10375,4446,13427,4169000,100
1700742490279,10375,4446,13427,4169000,100
1700742490385,10375,4446,13427,4169000,100
1700742490492,10375,4446,13427,4169000,100
1700742490603,10375,4446,13427,4169000,100
1700742490709,10375,4446,13427,4169000,100
1700742490814,10375,4446,13427,4169000,100
1700742490922,10375,4446,13427,4169000,100
1700742491026,10375,4446,13427,4169000,100
1700742491137,10375,4446,13427,4169000,100
1700742491249,10375,4446,13427,4169000,100
1700742491359,10375,4446,13427,4169000,100
1700742491464,10375,4446,13427,4169000,100
1700742491569,10375,4446,13427,4169000,100
1700742491673,10375,4446,13427,4169000,100
1700742491781,10375,4446,13427,4169000,100
1700742491889,10375,4446,13427,4169000,100
1700742492005,10375,4446,13427,4169000,100
1700742492115,10375,4446,13427,4169000,100
1700742492221,10375,4446,13427,4169000,100
1700742492330,10375,4446,13427,4169000,100
1700742492434,10375,4446,13427,4169000,100
1700742492540,10375,4446,13427,4169000,100
1700742492647,10375,4446,13427,4169000,100
1700742492751,10375,4446,13427,4169000,100
1700742492857,10375,4446,13427,4169000,100
1700742492962,10375,4446,13427,4169000,100
1700742493068,10375,4446,13427,4169000,100
1700742493173,10375,4446,13427,4169000,100
1700742493278,10375,4446,13427,4169000,100
1700742493383,10375,4446,13427,4169000,100
1700742493487,10375,4446,13427,4169000,100
1700742493594,11596,4446,13427,4169000,100
1700742493700,11596,4446,13427,4169000,100
1700742493804,11596,4446,13427,4169000,100
1700742493908,11596,4446,13427,4169000,100
1700742494013,11596,4446,13427,4169000,100
1700742494117,11596,4446,13427,4169000,100
1700742494221,11596,4446,13427,4169000,100
1700742494326,11596,4446,13427,4169000,100
1700742494431,11596,4446,13427,4169000,100
1700742494536,11596,4446,13427,4169000,100
1700742494639,11596,4446,13427,4169000,100
1700742494742,11596,4446,13427,4169000,100
1700742494848,11596,4446,13427,4169000,100
1700742494953,11596,4446,13427,4169000,100
1700742495060,11596,4446,13427,4169000,100
1700742495166,11596,4446,13427,4169000,100
1700742495271,11596,4446,13427,4169000,100
1700742495376,11596,4446,13427,4169000,100
1700742495479,11596,4446,13427,4169000,100
1700742495585,11596,4446,13427,4169000,100
1700742495690,11596,4446,13427,4169000,100
1700742495795,11596,4446,13427,4169000,100
1700742495899,11596,4446,13427,4169000,100
1700742496002,11596,4446,13427,4169000,100
1700742496107,11596,4446,13427,4169000,100
1700742496211,11596,4446,13427,4169000,100
1700742496315,11596,4446,13427,4169000,100
1700742496422,11596,4446,13427,4169000,100
1700742496530,11596,4446,13427,4169000,100
1700742496634,11596,4446,13427,4169000,100
1700742496737,11596,4446,13427,4169000,100
1700742496844,11596,4446,13427,4169000,100
1700742496949,11596,4446,13427,4169000,100
1700742497055,11596,4446,13427,4169000,100
1700742497159,11596,4446,13427,4169000,100
1700742497262,11596,4446,13427,4169000,100
1700742497366,11596,4446,13427,4169000,100
1700742497470,11596,4446,13427,4169000,100
1700742497574,11596,4446,13427,4169000,100
1700742497679,11596,4446,13427,4169000,100
