datetime,cpu,mem,GPU_mem,cpu_clockspeed
Thu Nov 23 13:01:33 UTC 2023,30,171483,4.14 MB (94.84 KB is purgeable),1804800
Thu Nov 23 13:01:35 UTC 2023,30,170487,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:01:36 UTC 2023,30,184361,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:01:38 UTC 2023,30,161559,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:01:39 UTC 2023,30,160865,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:01:41 UTC 2023,30,159449,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:01:42 UTC 2023,30,159421,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:01:44 UTC 2023,30,160109,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:01:45 UTC 2023,30,160101,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:01:46 UTC 2023,30,160037,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:01:48 UTC 2023,30,161518,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:01:49 UTC 2023,30,160715,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:01:50 UTC 2023,30,160994,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:01:52 UTC 2023,30,160963,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:01:53 UTC 2023,30,160547,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:01:54 UTC 2023,30,160679,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:01:56 UTC 2023,30,160651,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:01:57 UTC 2023,30,160571,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:01:59 UTC 2023,30,160807,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:02:00 UTC 2023,30,160814,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:02:01 UTC 2023,30,160534,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:02:03 UTC 2023,30,160680,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:02:04 UTC 2023,30,160661,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:02:05 UTC 2023,30,159916,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:02:07 UTC 2023,30,159913,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:02:08 UTC 2023,30,159921,4.16 MB (111.86 KB is purgeable),1651200
Thu Nov 23 13:02:09 UTC 2023,30,159865,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:02:11 UTC 2023,30,159852,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:02:12 UTC 2023,30,159849,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:02:13 UTC 2023,30,159861,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:02:15 UTC 2023,30,159841,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:02:16 UTC 2023,30,159845,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:02:17 UTC 2023,30,159857,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:02:19 UTC 2023,30,159845,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:02:20 UTC 2023,30,159841,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:02:21 UTC 2023,30,159861,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:02:23 UTC 2023,30,159841,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:02:24 UTC 2023,30,159841,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:02:26 UTC 2023,30,159809,4.16 MB (111.86 KB is purgeable),1651200
Thu Nov 23 13:02:27 UTC 2023,30,159793,4.16 MB (111.86 KB is purgeable),1804800
