Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700743885658,4577,4446,13427,4169000,100
1700743885763,4577,4446,13427,4169000,100
1700743885870,4577,4446,13427,4169000,100
1700743885974,4577,4446,13427,4169000,100
1700743886078,4577,4446,13427,4169000,100
1700743886182,4577,4446,13427,4169000,100
1700743886286,4577,4446,13427,4169000,100
1700743886391,4577,4446,13427,4169000,100
1700743886495,4577,4446,13427,4169000,100
1700743886601,4577,4446,13427,4169000,100
1700743886705,4577,4446,13427,4169000,100
1700743886810,4577,4446,13427,4169000,100
1700743886915,4577,4446,13427,4169000,100
1700743887019,4577,4446,13427,4169000,100
1700743887123,4577,4446,13427,4169000,100
1700743887228,4577,4446,13427,4169000,100
1700743887336,4577,4446,13427,4169000,100
1700743887444,4577,4446,13427,4169000,100
1700743887550,4577,4446,13427,4169000,100
1700743887655,4577,4446,13427,4169000,100
1700743887761,4577,4446,13427,4169000,100
1700743887868,4577,4446,13427,4169000,100
1700743887973,4577,4446,13427,4169000,100
1700743888081,4577,4446,13427,4169000,100
1700743888190,4577,4446,13427,4169000,100
1700743888303,4577,4446,13427,4169000,100
1700743888438,4577,4446,13427,4169000,100
1700743888551,4577,4446,13427,4169000,100
1700743888662,4577,4446,13427,4169000,100
1700743888771,4577,4446,13427,4169000,100
1700743888889,4577,4446,13427,4169000,100
1700743889004,4577,4446,13427,4169000,100
1700743889111,4577,4446,13427,4169000,100
1700743889217,4577,4446,13427,4169000,100
1700743889325,4577,4446,13427,4169000,100
1700743889441,4577,4446,13427,4169000,100
1700743889551,4577,4446,13427,4169000,100
1700743889662,4577,4446,13427,4169000,100
1700743889774,4577,4446,13427,4169000,100
1700743889891,4577,4446,13427,4169000,100
1700743890002,4577,4446,13427,4169000,100
1700743890111,4577,4446,13427,4169000,100
1700743890214,4577,4446,13427,4169000,100
1700743890322,4577,4446,13427,4169000,100
1700743890432,4577,4446,13427,4169000,100
