device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,13427.0,4445.0,11897.713013988978,13.251684257945001,13.253540755412686,0.05288533434718101
pixel5g,com-chrome-canary,1,100.0,4169000.0,13427.0,4445.0,10903.200323101777,6.3539367317125,6.353483181056989,0.04846472543618741
pixel5g,com-chrome-canary,2,100.0,4169000.0,13427.0,4445.0,11019.20695230396,6.394603752232499,6.395024688459229,0.04898037490299112
pixel5g,com-chrome-canary,3,100.0,4169000.0,13427.0,4445.0,10730.834138486312,6.253013240075,6.253519413233172,0.04769855774557166
pixel5g,com-chrome-canary,4,100.0,4169000.0,13427.0,4445.0,11423.191714053615,6.632674242880001,6.634251221235894,0.05077608716896832
pixel5g,com-chrome-canary,5,100.0,4169000.0,13427.0,4445.0,10857.020325203252,6.2966856206625,6.297328068582664,0.04825945534552847
pixel5g,com-chrome-canary,6,100.0,4169000.0,13427.0,4445.0,11985.005654281098,6.957682219355001,6.959097727910299,0.05327335013327949
pixel5g,com-chrome-canary,7,100.0,4169000.0,13427.0,4445.0,11117.124696356275,6.461339126445001,6.462031117012185,0.04941561927530366
pixel5g,com-chrome-canary,8,100.0,4169000.0,13427.0,4445.0,11977.031874203145,13.3376548984875,13.337533047029048,0.053237906680832996
pixel5g,com-chrome-canary,9,100.0,4169000.0,13427.0,4445.0,12184.07323026851,7.0674552037075,7.070082938112816,0.05415820550854354
