datetime,cpu,mem,GPU_mem,cpu_clockspeed
Thu Nov 23 13:31:12 UTC 2023,30,172330,4.14 MB (94.84 KB is purgeable),1804800
Thu Nov 23 13:31:14 UTC 2023,30,170094,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:15 UTC 2023,30,193284,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:17 UTC 2023,30,163123,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:19 UTC 2023,30,162405,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:20 UTC 2023,30,161197,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:22 UTC 2023,30,161679,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:23 UTC 2023,30,161739,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:24 UTC 2023,30,161731,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:26 UTC 2023,30,161723,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:27 UTC 2023,30,162570,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:29 UTC 2023,30,162576,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:30 UTC 2023,30,162769,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:32 UTC 2023,30,162398,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:33 UTC 2023,30,162546,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:34 UTC 2023,30,162562,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:36 UTC 2023,30,162438,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:37 UTC 2023,30,162722,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:39 UTC 2023,30,163279,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:40 UTC 2023,30,162419,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:42 UTC 2023,30,162515,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:43 UTC 2023,30,162299,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:45 UTC 2023,30,161923,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:46 UTC 2023,30,161919,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:48 UTC 2023,30,161907,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:49 UTC 2023,30,161903,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:51 UTC 2023,30,161906,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:52 UTC 2023,30,161881,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:54 UTC 2023,30,161886,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:55 UTC 2023,30,161882,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:31:57 UTC 2023,30,161890,4.16 MB (111.86 KB is purgeable),1651200
Thu Nov 23 13:31:58 UTC 2023,30,161886,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:00 UTC 2023,30,161870,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:01 UTC 2023,30,161882,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:03 UTC 2023,30,161870,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:05 UTC 2023,30,161846,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:06 UTC 2023,30,161822,4.16 MB (111.86 KB is purgeable),1516800
Thu Nov 23 13:32:08 UTC 2023,30,161846,4.16 MB (111.86 KB is purgeable),1651200
Thu Nov 23 13:32:09 UTC 2023,30,161810,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:11 UTC 2023,30,161838,4.16 MB (111.86 KB is purgeable),1516800
Thu Nov 23 13:32:12 UTC 2023,30,162032,4.16 MB (111.86 KB is purgeable),1516800
Thu Nov 23 13:32:14 UTC 2023,30,162059,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:15 UTC 2023,30,161891,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:17 UTC 2023,30,161906,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 13:32:18 UTC 2023,30,161886,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:20 UTC 2023,30,161910,4.16 MB (111.86 KB is purgeable),1651200
Thu Nov 23 13:32:21 UTC 2023,30,162158,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:23 UTC 2023,30,162186,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:24 UTC 2023,30,161893,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:26 UTC 2023,30,161914,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 13:32:27 UTC 2023,30,161890,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:29 UTC 2023,30,161914,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:30 UTC 2023,30,161894,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:32 UTC 2023,30,161914,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:33 UTC 2023,30,161894,4.16 MB (111.86 KB is purgeable),1516800
Thu Nov 23 13:32:34 UTC 2023,30,161898,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 13:32:36 UTC 2023,30,161902,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:37 UTC 2023,30,161898,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:39 UTC 2023,30,161902,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:40 UTC 2023,30,161898,4.16 MB (111.86 KB is purgeable),1516800
Thu Nov 23 13:32:42 UTC 2023,30,161918,4.16 MB (111.86 KB is purgeable),1516800
Thu Nov 23 13:32:43 UTC 2023,30,161890,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:45 UTC 2023,30,161890,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:46 UTC 2023,30,161890,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:48 UTC 2023,30,161870,4.16 MB (111.86 KB is purgeable),1516800
Thu Nov 23 13:32:49 UTC 2023,30,161870,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:51 UTC 2023,30,161854,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:52 UTC 2023,30,161870,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:54 UTC 2023,30,161853,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:55 UTC 2023,30,161870,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:32:57 UTC 2023,30,161870,4.16 MB (111.86 KB is purgeable),1516800
Thu Nov 23 13:32:58 UTC 2023,30,161866,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:33:00 UTC 2023,30,161866,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:33:01 UTC 2023,30,161866,4.16 MB (111.86 KB is purgeable),1651200
Thu Nov 23 13:33:03 UTC 2023,30,161862,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:33:04 UTC 2023,30,161886,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:33:06 UTC 2023,30,161886,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:33:07 UTC 2023,30,161874,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:33:09 UTC 2023,30,161878,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:33:10 UTC 2023,30,161874,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 13:33:12 UTC 2023,30,161896,4.16 MB (111.86 KB is purgeable),1363200
Thu Nov 23 13:33:13 UTC 2023,30,161936,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:33:15 UTC 2023,30,162084,4.16 MB (111.86 KB is purgeable),1651200
Thu Nov 23 13:33:17 UTC 2023,30,161936,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:33:18 UTC 2023,30,161936,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:33:20 UTC 2023,30,161936,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 13:33:21 UTC 2023,30,161940,4.16 MB (111.86 KB is purgeable),1516800
Thu Nov 23 13:33:23 UTC 2023,30,161936,4.16 MB (111.86 KB is purgeable),1804800
