Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700746273456,8544,4445,13427,4169000,100
1700746273561,8544,4445,13427,4169000,100
1700746273666,8544,4445,13427,4169000,100
1700746273771,8544,4445,13427,4169000,100
1700746273875,8544,4445,13427,4169000,100
1700746273980,8544,4445,13427,4169000,100
1700746274083,8544,4445,13427,4169000,100
1700746274187,8544,4445,13427,4169000,100
1700746274292,8544,4445,13427,4169000,100
1700746274396,8544,4445,13427,4169000,100
1700746274499,8544,4445,13427,4169000,100
1700746274603,8544,4445,13427,4169000,100
1700746274709,8544,4445,13427,4169000,100
1700746274815,8544,4445,13427,4169000,100
1700746274921,8544,4445,13427,4169000,100
1700746275026,8544,4445,13427,4169000,100
1700746275130,8544,4445,13427,4169000,100
1700746275235,8544,4445,13427,4169000,100
1700746275340,8544,4445,13427,4169000,100
1700746275445,8544,4445,13427,4169000,100
1700746275550,8544,4445,13427,4169000,100
1700746275654,8544,4445,13427,4169000,100
1700746275759,8544,4445,13427,4169000,100
1700746275864,8544,4445,13427,4169000,100
1700746275971,8544,4445,13427,4169000,100
1700746276077,8544,4445,13427,4169000,100
1700746276184,8544,4445,13427,4169000,100
1700746276301,8544,4445,13427,4169000,100
1700746276412,8544,4445,13427,4169000,100
1700746276519,8544,4445,13427,4169000,100
1700746276633,8544,4445,13427,4169000,100
1700746276740,8544,4445,13427,4169000,100
1700746276844,8544,4445,13427,4169000,100
1700746276953,8544,4445,13427,4169000,100
1700746277059,8544,4445,13427,4169000,100
1700746277166,8544,4445,13427,4169000,100
1700746277269,8544,4445,13427,4169000,100
1700746277380,8544,4445,13427,4169000,100
1700746277489,8544,4445,13427,4169000,100
1700746277594,8544,4445,13427,4169000,100
1700746277698,8544,4445,13427,4169000,100
1700746277812,8544,4445,13427,4169000,100
1700746277922,8544,4445,13427,4169000,100
1700746278033,8544,4445,13427,4169000,100
1700746278144,8544,4445,13427,4169000,100
1700746278249,8544,4445,13427,4169000,100
1700746278354,8544,4445,13427,4169000,100
1700746278463,8544,4445,13427,4169000,100
1700746278568,8544,4445,13427,4169000,100
1700746278676,8544,4445,13427,4169000,100
1700746278781,8544,4445,13427,4169000,100
1700746278887,8544,4445,13427,4169000,100
1700746278991,8544,4445,13427,4169000,100
1700746279098,8544,4445,13427,4169000,100
1700746279203,8544,4445,13427,4169000,100
1700746279313,8544,4445,13427,4169000,100
1700746279417,8544,4445,13427,4169000,100
1700746279528,8544,4445,13427,4169000,100
1700746279634,8544,4445,13427,4169000,100
1700746279744,8544,4445,13427,4169000,100
1700746279850,8544,4445,13427,4169000,100
1700746279958,8544,4445,13427,4169000,100
1700746280069,8544,4445,13427,4169000,100
1700746280175,8544,4445,13427,4169000,100
1700746280285,8544,4445,13427,4169000,100
1700746280391,8544,4445,13427,4169000,100
1700746280495,8544,4445,13427,4169000,100
1700746280601,8544,4445,13427,4169000,100
1700746280706,8544,4445,13427,4169000,100
1700746280811,8544,4445,13427,4169000,100
1700746280917,8544,4445,13427,4169000,100
1700746281022,8544,4445,13427,4169000,100
1700746281127,8544,4445,13427,4169000,100
1700746281231,8544,4445,13427,4169000,100
1700746281337,8544,4445,13427,4169000,100
1700746281442,8544,4445,13427,4169000,100
1700746281548,8544,4445,13427,4169000,100
1700746281652,8544,4445,13427,4169000,100
1700746281757,8544,4445,13427,4169000,100
1700746281865,8544,4445,13427,4169000,100
1700746281970,8544,4445,13427,4169000,100
1700746282076,8544,4445,13427,4169000,100
1700746282182,8544,4445,13427,4169000,100
1700746282287,8544,4445,13427,4169000,100
1700746282391,8544,4445,13427,4169000,100
1700746282496,11901,4445,13427,4169000,100
1700746282600,11901,4445,13427,4169000,100
1700746282706,11901,4445,13427,4169000,100
1700746282810,11901,4445,13427,4169000,100
1700746282917,11901,4445,13427,4169000,100
1700746283021,11901,4445,13427,4169000,100
1700746283128,11901,4445,13427,4169000,100
1700746283232,11901,4445,13427,4169000,100
1700746283336,11901,4445,13427,4169000,100
1700746283442,11901,4445,13427,4169000,100
1700746283546,11901,4445,13427,4169000,100
1700746283652,11901,4445,13427,4169000,100
1700746283757,11901,4445,13427,4169000,100
1700746283860,11901,4445,13427,4169000,100
1700746283965,11901,4445,13427,4169000,100
1700746284068,11901,4445,13427,4169000,100
1700746284174,11901,4445,13427,4169000,100
1700746284278,11901,4445,13427,4169000,100
1700746284383,11901,4445,13427,4169000,100
1700746284488,11901,4445,13427,4169000,100
1700746284591,11901,4445,13427,4169000,100
1700746284696,11901,4445,13427,4169000,100
1700746284801,11901,4445,13427,4169000,100
1700746284905,11901,4445,13427,4169000,100
1700746285010,11901,4445,13427,4169000,100
1700746285115,11901,4445,13427,4169000,100
1700746285221,11901,4445,13427,4169000,100
1700746285324,11901,4445,13427,4169000,100
1700746285429,11901,4445,13427,4169000,100
1700746285534,11901,4445,13427,4169000,100
1700746285638,11901,4445,13427,4169000,100
1700746285743,11901,4445,13427,4169000,100
1700746285847,11901,4445,13427,4169000,100
1700746285952,11901,4445,13427,4169000,100
1700746286057,11901,4445,13427,4169000,100
1700746286161,11901,4445,13427,4169000,100
1700746286265,11901,4445,13427,4169000,100
1700746286369,11901,4445,13427,4169000,100
1700746286473,11901,4445,13427,4169000,100
1700746286578,11901,4445,13427,4169000,100
1700746286682,11901,4445,13427,4169000,100
1700746286787,11901,4445,13427,4169000,100
1700746286892,11901,4445,13427,4169000,100
1700746286995,11901,4445,13427,4169000,100
1700746287100,11901,4445,13427,4169000,100
1700746287204,11901,4445,13427,4169000,100
1700746287307,11901,4445,13427,4169000,100
1700746287412,11901,4445,13427,4169000,100
1700746287517,11901,4445,13427,4169000,100
1700746287622,11901,4445,13427,4169000,100
1700746287726,11901,4445,13427,4169000,100
1700746287831,11901,4445,13427,4169000,100
1700746287936,11901,4445,13427,4169000,100
