device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,13427.0,4444.0,11271.36161776368,6.72220234587,6.721668024689435,0.0500899310293418
pixel5g,com-chrome-canary,1,100.0,4169000.0,13427.0,4444.0,11916.809713375796,7.075271399878001,7.075705820851233,0.05295830236624204
pixel5g,com-chrome-canary,2,100.0,4169000.0,13427.0,4444.0,11991.338853503185,13.358442282174,13.357708411282514,0.05328950986496816
pixel5g,com-chrome-canary,3,100.0,4169000.0,13427.0,4444.0,12154.765281173593,7.041489680610001,7.041496677927043,0.054015776909535455
pixel5g,com-chrome-canary,4,100.0,4169000.0,13427.0,4444.0,10822.344856661046,12.055475116365999,12.056569868622377,0.048094500543001684
pixel5g,com-chrome-canary,5,100.0,4169000.0,13427.0,4444.0,11242.309562398703,6.519005980872,6.519188040704894,0.04996082369529984
pixel5g,com-chrome-canary,6,100.0,4169000.0,13427.0,4444.0,11617.86003236246,6.73558816271,6.736084460018851,0.051629769983818775
pixel5g,com-chrome-canary,7,100.0,4169000.0,13427.0,4444.0,11838.944099378881,7.208102257686,7.207196698658137,0.05261226757763976
pixel5g,com-chrome-canary,8,100.0,4169000.0,13427.0,4444.0,11231.105177993528,6.527453282724001,6.528063442370758,0.04991103141100324
pixel5g,com-chrome-canary,9,100.0,4169000.0,13427.0,4444.0,11041.302024291497,6.403224482402001,6.403412913664053,0.049067546195951425
