datetime,cpu,mem,GPU_mem,cpu_clockspeed
Thu Nov 23 16:28:50 UTC 2023,29,165875,4.14 MB (94.84 KB is purgeable),1804800
Thu Nov 23 16:28:52 UTC 2023,29,168975,4.14 MB (94.84 KB is purgeable),1804800
Thu Nov 23 16:28:54 UTC 2023,29,191543,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 16:28:57 UTC 2023,29,191050,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 16:28:58 UTC 2023,29,191084,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 16:29:00 UTC 2023,29,191983,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 16:29:02 UTC 2023,29,192864,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 16:29:03 UTC 2023,29,192905,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 16:29:05 UTC 2023,29,193122,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 16:29:06 UTC 2023,29,192810,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 16:29:08 UTC 2023,29,193495,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 16:29:09 UTC 2023,29,192525,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 16:29:12 UTC 2023,29,192815,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 16:29:14 UTC 2023,29,192712,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 16:29:16 UTC 2023,29,179315,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 16:29:17 UTC 2023,29,176055,4.42 MB (383.86 KB is purgeable),1651200
Thu Nov 23 16:29:19 UTC 2023,29,172826,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 16:29:20 UTC 2023,29,172810,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 16:29:22 UTC 2023,29,172819,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 16:29:23 UTC 2023,29,172803,4.42 MB (383.86 KB is purgeable),1363200
Thu Nov 23 16:29:25 UTC 2023,29,172835,4.42 MB (383.86 KB is purgeable),1516800
Thu Nov 23 16:29:26 UTC 2023,29,172774,4.42 MB (383.86 KB is purgeable),1516800
Thu Nov 23 16:29:28 UTC 2023,29,172758,4.42 MB (383.86 KB is purgeable),1363200
Thu Nov 23 16:29:29 UTC 2023,29,172773,4.42 MB (383.86 KB is purgeable),1516800
Thu Nov 23 16:29:31 UTC 2023,29,172780,4.42 MB (383.86 KB is purgeable),1804800
