device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,9765.0,4449.0,12109.187928082192,13.5023547533475,13.503623849450518,0.053873777092037674
pixel5g,com-chrome-canary,1,100.0,4169000.0,9765.0,4449.0,11048.673399226473,12.315612496968,12.319560050212415,0.049155547953158574
pixel5g,com-chrome-canary,2,100.0,4169000.0,9765.0,4449.0,12176.77596075225,7.092440743451999,7.093226698760956,0.05417447624938676
pixel5g,com-chrome-canary,3,100.0,4169000.0,9765.0,4449.0,12401.091653027823,7.199503143377999,7.199564228089747,0.05517245676432078
pixel5g,com-chrome-canary,4,100.0,4169000.0,9765.0,4449.0,12561.109240069085,14.006763569649,14.008815705397959,0.05588437500906735
pixel5g,com-chrome-canary,5,100.0,4169000.0,9765.0,4449.0,11344.934250107435,12.647893907779501,12.649242496906496,0.050473612478727975
pixel5g,com-chrome-canary,6,100.0,4169000.0,9765.0,4449.0,11808.982448630137,13.164655559439002,13.167692309287574,0.05253816291395547
pixel5g,com-chrome-canary,7,100.0,4169000.0,9765.0,4449.0,12619.384232365146,7.328402487697501,7.328485531551869,0.05614364044979253
pixel5g,com-chrome-canary,8,100.0,4169000.0,9765.0,4449.0,12681.44233937397,7.365846092538001,7.366612216421478,0.056419736967874806
pixel5g,com-chrome-canary,9,100.0,4169000.0,9765.0,4449.0,11107.663800515907,12.3790617703245,12.380344674161778,0.04941799624849526
