datetime,cpu,mem,GPU_mem,cpu_clockspeed
Thu Nov 23 17:31:06 UTC 2023,28,180330,4.14 MB (94.84 KB is purgeable),1804800
Thu Nov 23 17:31:08 UTC 2023,28,171662,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:09 UTC 2023,28,184675,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:11 UTC 2023,28,189854,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:12 UTC 2023,28,198737,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:14 UTC 2023,28,197490,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:16 UTC 2023,28,187853,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:17 UTC 2023,28,188179,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:18 UTC 2023,28,188352,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:20 UTC 2023,28,188418,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:21 UTC 2023,28,188497,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:22 UTC 2023,28,188179,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:24 UTC 2023,28,190319,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:25 UTC 2023,28,190334,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:26 UTC 2023,28,189821,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:28 UTC 2023,28,189828,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:29 UTC 2023,28,189690,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:30 UTC 2023,28,189840,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:32 UTC 2023,28,189853,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:33 UTC 2023,28,189812,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:34 UTC 2023,28,190074,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:36 UTC 2023,28,178477,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:37 UTC 2023,28,175057,4.44 MB (400.88 KB is purgeable),1516800
Thu Nov 23 17:31:39 UTC 2023,28,175060,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:40 UTC 2023,28,175057,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:41 UTC 2023,28,174944,4.44 MB (400.88 KB is purgeable),1516800
Thu Nov 23 17:31:43 UTC 2023,28,174941,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:44 UTC 2023,28,174964,4.44 MB (400.88 KB is purgeable),1804800
Thu Nov 23 17:31:45 UTC 2023,28,174928,4.44 MB (400.88 KB is purgeable),1804800
