Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700761213472,8544,4449,9765,4169000,100
1700761213581,8544,4449,9765,4169000,100
1700761213693,8544,4449,9765,4169000,100
1700761213800,8544,4449,9765,4169000,100
1700761213908,8544,4449,9765,4169000,100
1700761214014,8544,4449,9765,4169000,100
1700761214119,8544,4449,9765,4169000,100
1700761214225,8544,4449,9765,4169000,100
1700761214331,8544,4449,9765,4169000,100
1700761214439,8544,4449,9765,4169000,100
1700761214545,8544,4449,9765,4169000,100
1700761214650,8544,4449,9765,4169000,100
1700761214756,8544,4449,9765,4169000,100
1700761214861,8544,4449,9765,4169000,100
1700761214966,8544,4449,9765,4169000,100
1700761215071,8544,4449,9765,4169000,100
1700761215177,8544,4449,9765,4169000,100
1700761215285,8544,4449,9765,4169000,100
1700761215389,8544,4449,9765,4169000,100
1700761215500,8544,4449,9765,4169000,100
1700761215617,8544,4449,9765,4169000,100
1700761215724,8544,4449,9765,4169000,100
1700761215831,8544,4449,9765,4169000,100
1700761215938,8544,4449,9765,4169000,100
1700761216049,8544,4449,9765,4169000,100
1700761216154,10375,4449,9765,4169000,100
1700761216266,10375,4449,9765,4169000,100
1700761216375,10375,4449,9765,4169000,100
1700761216481,10375,4449,9765,4169000,100
1700761216599,10375,4449,9765,4169000,100
1700761216706,10375,4449,9765,4169000,100
1700761216816,10375,4449,9765,4169000,100
1700761216925,10375,4449,9765,4169000,100
1700761217031,10375,4449,9765,4169000,100
1700761217140,10375,4449,9765,4169000,100
1700761217247,10375,4449,9765,4169000,100
1700761217359,10375,4449,9765,4169000,100
1700761217475,10375,4449,9765,4169000,100
1700761217580,10375,4449,9765,4169000,100
1700761217689,10375,4449,9765,4169000,100
1700761217804,10375,4449,9765,4169000,100
1700761217925,10375,4449,9765,4169000,100
1700761218035,10375,4449,9765,4169000,100
1700761218156,10375,4449,9765,4169000,100
1700761218274,10375,4449,9765,4169000,100
1700761218389,10375,4449,9765,4169000,100
1700761218500,10375,4449,9765,4169000,100
1700761218606,10375,4449,9765,4169000,100
1700761218716,10375,4449,9765,4169000,100
1700761218825,10375,4449,9765,4169000,100
1700761218938,10375,4449,9765,4169000,100
1700761219048,10375,4449,9765,4169000,100
1700761219166,10375,4449,9765,4169000,100
