Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700766002376,10375,4447,9765,4169000,100
1700766002483,10375,4447,9765,4169000,100
1700766002588,10375,4447,9765,4169000,100
1700766002697,10375,4447,9765,4169000,100
1700766002804,10375,4447,9765,4169000,100
1700766002910,10375,4447,9765,4169000,100
1700766003014,10375,4447,9765,4169000,100
1700766003118,10375,4447,9765,4169000,100
1700766003223,10375,4447,9765,4169000,100
1700766003328,10375,4447,9765,4169000,100
1700766003432,10375,4447,9765,4169000,100
1700766003539,10375,4447,9765,4169000,100
1700766003643,10375,4447,9765,4169000,100
1700766003748,10375,4447,9765,4169000,100
1700766003854,10375,4447,9765,4169000,100
1700766003958,10375,4447,9765,4169000,100
1700766004062,10375,4447,9765,4169000,100
1700766004167,10375,4447,9765,4169000,100
1700766004275,10375,4447,9765,4169000,100
1700766004382,10375,4447,9765,4169000,100
1700766004487,10375,4447,9765,4169000,100
1700766004595,10375,4447,9765,4169000,100
1700766004700,10375,4447,9765,4169000,100
1700766004813,10375,4447,9765,4169000,100
1700766004919,10375,4447,9765,4169000,100
1700766005035,10375,4447,9765,4169000,100
1700766005140,10375,4447,9765,4169000,100
1700766005252,10375,4447,9765,4169000,100
1700766005358,10375,4447,9765,4169000,100
1700766005476,10375,4447,9765,4169000,100
1700766005586,10375,4447,9765,4169000,100
1700766005696,10375,4447,9765,4169000,100
1700766005822,10375,4447,9765,4169000,100
1700766005958,10375,4447,9765,4169000,100
1700766006099,10375,4447,9765,4169000,100
1700766006208,10375,4447,9765,4169000,100
1700766006316,10375,4447,9765,4169000,100
1700766006422,10375,4447,9765,4169000,100
1700766006526,10375,4447,9765,4169000,100
1700766006638,10375,4447,9765,4169000,100
1700766006750,10375,4447,9765,4169000,100
1700766006858,10375,4447,9765,4169000,100
1700766006968,10375,4447,9765,4169000,100
1700766007079,10375,4447,9765,4169000,100
1700766007187,10375,4447,9765,4169000,100
1700766007296,10375,4447,9765,4169000,100
1700766007402,10375,4447,9765,4169000,100
1700766007508,10375,4447,9765,4169000,100
1700766007620,10375,4447,9765,4169000,100
1700766007730,10375,4447,9765,4169000,100
1700766007844,10375,4447,9765,4169000,100
1700766007971,10375,4447,9765,4169000,100
1700766008085,10375,4447,9765,4169000,100
1700766008207,10375,4447,9765,4169000,100
1700766008324,10375,4447,9765,4169000,100
1700766008431,10375,4447,9765,4169000,100
1700766008537,10375,4447,9765,4169000,100
1700766008644,10375,4447,9765,4169000,100
1700766008750,10375,4447,9765,4169000,100
1700766008859,10375,4447,9765,4169000,100
1700766008964,10375,4447,9765,4169000,100
1700766009073,10375,4447,9765,4169000,100
1700766009180,10375,4447,9765,4169000,100
1700766009289,10375,4447,9765,4169000,100
1700766009407,10375,4447,9765,4169000,100
1700766009516,10375,4447,9765,4169000,100
1700766009630,10375,4447,9765,4169000,100
1700766009742,10375,4447,9765,4169000,100
1700766009856,10375,4447,9765,4169000,100
1700766009962,10375,4447,9765,4169000,100
1700766010071,10375,4447,9765,4169000,100
1700766010176,10375,4447,9765,4169000,100
1700766010282,10375,4447,9765,4169000,100
1700766010392,10375,4447,9765,4169000,100
1700766010498,10375,4447,9765,4169000,100
1700766010603,10375,4447,9765,4169000,100
1700766010710,10375,4447,9765,4169000,100
1700766010816,10375,4447,9765,4169000,100
1700766010922,10375,4447,9765,4169000,100
1700766011028,10375,4447,9765,4169000,100
1700766011136,10375,4447,9765,4169000,100
1700766011244,10375,4447,9765,4169000,100
1700766011352,10375,4447,9765,4169000,100
1700766011460,10375,4447,9765,4169000,100
1700766011569,10375,4447,9765,4169000,100
1700766011675,10375,4447,9765,4169000,100
1700766011781,10375,4447,9765,4169000,100
1700766011888,10375,4447,9765,4169000,100
1700766011993,10375,4447,9765,4169000,100
1700766012100,13427,4447,9765,4169000,100
1700766012205,13427,4447,9765,4169000,100
1700766012311,13427,4447,9765,4169000,100
1700766012415,13427,4447,9765,4169000,100
1700766012519,13427,4447,9765,4169000,100
1700766012625,13427,4447,9765,4169000,100
1700766012731,13427,4447,9765,4169000,100
1700766012839,13427,4447,9765,4169000,100
1700766012946,13427,4447,9765,4169000,100
1700766013050,13427,4447,9765,4169000,100
1700766013154,13427,4447,9765,4169000,100
1700766013261,13427,4447,9765,4169000,100
1700766013366,13427,4447,9765,4169000,100
1700766013471,13427,4447,9765,4169000,100
1700766013576,13427,4447,9765,4169000,100
1700766013681,13427,4447,9765,4169000,100
1700766013786,13427,4447,9765,4169000,100
1700766013889,13427,4447,9765,4169000,100
1700766013995,13427,4447,9765,4169000,100
1700766014100,13427,4447,9765,4169000,100
1700766014205,13427,4447,9765,4169000,100
1700766014311,13427,4447,9765,4169000,100
1700766014416,13427,4447,9765,4169000,100
1700766014521,13427,4447,9765,4169000,100
1700766014628,13427,4447,9765,4169000,100
1700766014732,13427,4447,9765,4169000,100
1700766014838,13427,4447,9765,4169000,100
1700766014943,13427,4447,9765,4169000,100
1700766015048,13427,4447,9765,4169000,100
1700766015153,13427,4447,9765,4169000,100
1700766015259,13427,4447,9765,4169000,100
1700766015365,13427,4447,9765,4169000,100
1700766015470,13427,4447,9765,4169000,100
1700766015581,13427,4447,9765,4169000,100
1700766015689,13427,4447,9765,4169000,100
1700766015795,13427,4447,9765,4169000,100
1700766015900,13427,4447,9765,4169000,100
1700766016004,13427,4447,9765,4169000,100
1700766016109,13427,4447,9765,4169000,100
1700766016213,13427,4447,9765,4169000,100
1700766016321,13427,4447,9765,4169000,100
1700766016425,13427,4447,9765,4169000,100
1700766016531,13427,4447,9765,4169000,100
1700766016635,13427,4447,9765,4169000,100
1700766016740,13427,4447,9765,4169000,100
1700766016845,13427,4447,9765,4169000,100
1700766016949,13427,4447,9765,4169000,100
1700766017056,13427,4447,9765,4169000,100
1700766017160,13427,4447,9765,4169000,100
1700766017266,13427,4447,9765,4169000,100
1700766017371,13427,4447,9765,4169000,100
1700766017476,13427,4447,9765,4169000,100
1700766017580,13427,4447,9765,4169000,100
1700766017685,13427,4447,9765,4169000,100
1700766017791,13427,4447,9765,4169000,100
1700766017896,13427,4447,9765,4169000,100
1700766018002,13427,4447,9765,4169000,100
1700766018107,13427,4447,9765,4169000,100
1700766018214,13427,4447,9765,4169000,100
1700766018319,13427,4447,9765,4169000,100
1700766018425,13427,4447,9765,4169000,100
1700766018531,13427,4447,9765,4169000,100
1700766018637,13427,4447,9765,4169000,100
1700766018741,13427,4447,9765,4169000,100
1700766018847,13427,4447,9765,4169000,100
1700766018952,13427,4447,9765,4169000,100
1700766019058,13427,4447,9765,4169000,100
1700766019163,13427,4447,9765,4169000,100
1700766019268,13427,4447,9765,4169000,100
1700766019373,13427,4447,9765,4169000,100
1700766019478,13427,4447,9765,4169000,100
1700766019583,13427,4447,9765,4169000,100
1700766019689,13427,4447,9765,4169000,100
1700766019794,13427,4447,9765,4169000,100
1700766019901,13427,4447,9765,4169000,100
1700766020006,13427,4447,9765,4169000,100
1700766020111,13427,4447,9765,4169000,100
1700766020216,13427,4447,9765,4169000,100
1700766020321,13427,4447,9765,4169000,100
1700766020427,13427,4447,9765,4169000,100
1700766020533,13427,4447,9765,4169000,100
1700766020639,13427,4447,9765,4169000,100
1700766020743,13427,4447,9765,4169000,100
1700766020849,13427,4447,9765,4169000,100
1700766020953,13427,4447,9765,4169000,100
1700766021062,13427,4447,9765,4169000,100
1700766021166,13427,4447,9765,4169000,100
1700766021271,13427,4447,9765,4169000,100
1700766021376,13427,4447,9765,4169000,100
1700766021480,13427,4447,9765,4169000,100
1700766021590,13427,4447,9765,4169000,100
1700766021695,13427,4447,9765,4169000,100
1700766021799,13427,4447,9765,4169000,100
1700766021905,13427,4447,9765,4169000,100
1700766022010,13427,4447,9765,4169000,100
1700766022114,13427,4447,9765,4169000,100
1700766022219,13427,4447,9765,4169000,100
1700766022324,13427,4447,9765,4169000,100
1700766022429,13427,4447,9765,4169000,100
1700766022535,13427,4447,9765,4169000,100
1700766022642,13427,4447,9765,4169000,100
1700766022746,13427,4447,9765,4169000,100
1700766022851,13427,4447,9765,4169000,100
1700766022957,13427,4447,9765,4169000,100
1700766023064,13427,4447,9765,4169000,100
1700766023169,13427,4447,9765,4169000,100
1700766023276,13427,4447,9765,4169000,100
1700766023380,13427,4447,9765,4169000,100
1700766023485,13427,4447,9765,4169000,100
1700766023592,13427,4447,9765,4169000,100
1700766023695,13427,4447,9765,4169000,100
1700766023801,13427,4447,9765,4169000,100
1700766023907,13427,4447,9765,4169000,100
1700766024012,13427,4447,9765,4169000,100
1700766024116,13427,4447,9765,4169000,100
1700766024225,13427,4447,9765,4169000,100
1700766024329,13427,4447,9765,4169000,100
1700766024434,13427,4447,9765,4169000,100
1700766024538,13427,4447,9765,4169000,100
1700766024642,13427,4447,9765,4169000,100
1700766024747,13427,4447,9765,4169000,100
1700766024852,13427,4447,9765,4169000,100
1700766024957,13427,4447,9765,4169000,100
1700766025062,13427,4447,9765,4169000,100
1700766025170,13427,4447,9765,4169000,100
1700766025279,13427,4447,9765,4169000,100
1700766025383,13427,4447,9765,4169000,100
1700766025488,13427,4447,9765,4169000,100
1700766025594,13427,4447,9765,4169000,100
1700766025698,13427,4447,9765,4169000,100
1700766025804,13427,4447,9765,4169000,100
1700766025912,13427,4447,9765,4169000,100
1700766026018,13427,4447,9765,4169000,100
1700766026126,13427,4447,9765,4169000,100
1700766026232,13427,4447,9765,4169000,100
1700766026339,13427,4447,9765,4169000,100
1700766026444,13427,4447,9765,4169000,100
1700766026549,13427,4447,9765,4169000,100
1700766026656,13427,4447,9765,4169000,100
1700766026762,13427,4447,9765,4169000,100
1700766026868,13427,4447,9765,4169000,100
1700766026974,13427,4447,9765,4169000,100
1700766027079,13427,4447,9765,4169000,100
1700766027186,13427,4447,9765,4169000,100
1700766027297,13427,4447,9765,4169000,100
1700766027404,13427,4447,9765,4169000,100
1700766027510,13427,4447,9765,4169000,100
1700766027616,13427,4447,9765,4169000,100
1700766027722,13427,4447,9765,4169000,100
1700766027829,13427,4447,9765,4169000,100
1700766027933,13427,4447,9765,4169000,100
1700766028040,13427,4447,9765,4169000,100
1700766028146,13122,4447,9765,4169000,100
1700766028254,13122,4447,9765,4169000,100
1700766028360,13122,4447,9765,4169000,100
1700766028467,13122,4447,9765,4169000,100
1700766028575,13122,4447,9765,4169000,100
1700766028681,13122,4447,9765,4169000,100
1700766028787,13122,4447,9765,4169000,100
1700766028895,13122,4447,9765,4169000,100
1700766029001,13122,4447,9765,4169000,100
1700766029108,13122,4447,9765,4169000,100
1700766029213,13122,4447,9765,4169000,100
1700766029317,13122,4447,9765,4169000,100
1700766029423,13122,4447,9765,4169000,100
1700766029530,13122,4447,9765,4169000,100
1700766029636,13122,4447,9765,4169000,100
1700766029741,13122,4447,9765,4169000,100
1700766029847,13122,4447,9765,4169000,100
1700766029953,13122,4447,9765,4169000,100
1700766030060,13122,4447,9765,4169000,100
1700766030168,13122,4447,9765,4169000,100
1700766030275,13122,4447,9765,4169000,100
1700766030381,13122,4447,9765,4169000,100
1700766030491,13122,4447,9765,4169000,100
1700766030599,13122,4447,9765,4169000,100
1700766030704,13122,4447,9765,4169000,100
1700766030810,13122,4447,9765,4169000,100
1700766030916,13122,4447,9765,4169000,100
1700766031023,13122,4447,9765,4169000,100
1700766031129,13122,4447,9765,4169000,100
1700766031235,13122,4447,9765,4169000,100
1700766031342,13122,4447,9765,4169000,100
1700766031448,13122,4447,9765,4169000,100
1700766031553,13122,4447,9765,4169000,100
1700766031660,13122,4447,9765,4169000,100
1700766031765,13122,4447,9765,4169000,100
1700766031872,13122,4447,9765,4169000,100
1700766031979,13122,4447,9765,4169000,100
1700766032084,13122,4447,9765,4169000,100
1700766032190,13122,4447,9765,4169000,100
1700766032297,13122,4447,9765,4169000,100
1700766032406,13122,4447,9765,4169000,100
1700766032512,13122,4447,9765,4169000,100
1700766032618,13122,4447,9765,4169000,100
1700766032724,13122,4447,9765,4169000,100
1700766032831,13122,4447,9765,4169000,100
1700766032936,13122,4447,9765,4169000,100
1700766033041,13122,4447,9765,4169000,100
1700766033145,13122,4447,9765,4169000,100
1700766033253,13122,4447,9765,4169000,100
1700766033358,13122,4447,9765,4169000,100
1700766033463,13122,4447,9765,4169000,100
1700766033569,13122,4447,9765,4169000,100
