datetime,cpu,mem,GPU_mem,cpu_clockspeed
Thu Nov 23 19:20:36 UTC 2023,29,171222,4.14 MB (94.84 KB is purgeable),1804800
Thu Nov 23 19:20:38 UTC 2023,29,175072,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:20:39 UTC 2023,29,172706,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:20:41 UTC 2023,29,158250,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:20:43 UTC 2023,29,157633,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:20:44 UTC 2023,29,157616,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:20:46 UTC 2023,29,156746,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:20:47 UTC 2023,29,156830,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:20:48 UTC 2023,29,157030,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:20:50 UTC 2023,29,157013,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:20:51 UTC 2023,29,158331,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:20:53 UTC 2023,29,158287,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:20:54 UTC 2023,29,158027,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:20:55 UTC 2023,29,158051,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:20:57 UTC 2023,29,157902,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:20:58 UTC 2023,29,157906,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:21:00 UTC 2023,29,157918,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:21:01 UTC 2023,29,158019,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:21:02 UTC 2023,29,158027,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:21:04 UTC 2023,29,158018,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:21:05 UTC 2023,29,157907,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:21:07 UTC 2023,29,157951,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:21:08 UTC 2023,29,157567,4.42 MB (383.86 KB is purgeable),1651200
Thu Nov 23 19:21:09 UTC 2023,29,157575,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:21:11 UTC 2023,29,157563,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:21:12 UTC 2023,29,157587,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:21:14 UTC 2023,29,157562,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:21:15 UTC 2023,29,157566,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:21:16 UTC 2023,29,157573,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:21:18 UTC 2023,29,157565,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:21:19 UTC 2023,29,157561,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 19:21:21 UTC 2023,29,157585,4.42 MB (383.86 KB is purgeable),1804800
