Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700767847164,9460,4447,9765,4169000,100
1700767847269,9460,4447,9765,4169000,100
1700767847374,9460,4447,9765,4169000,100
1700767847484,9460,4447,9765,4169000,100
1700767847589,9460,4447,9765,4169000,100
1700767847696,9460,4447,9765,4169000,100
1700767847800,9460,4447,9765,4169000,100
1700767847904,9460,4447,9765,4169000,100
1700767848009,9460,4447,9765,4169000,100
1700767848114,9460,4447,9765,4169000,100
1700767848219,9460,4447,9765,4169000,100
1700767848323,9460,4447,9765,4169000,100
1700767848430,9460,4447,9765,4169000,100
1700767848535,9460,4447,9765,4169000,100
1700767848640,9460,4447,9765,4169000,100
1700767848745,9460,4447,9765,4169000,100
1700767848849,9460,4447,9765,4169000,100
1700767848954,9460,4447,9765,4169000,100
1700767849059,9460,4447,9765,4169000,100
1700767849165,9460,4447,9765,4169000,100
1700767849274,9460,4447,9765,4169000,100
1700767849379,9460,4447,9765,4169000,100
1700767849483,9460,4447,9765,4169000,100
1700767849589,9460,4447,9765,4169000,100
1700767849709,9460,4447,9765,4169000,100
1700767849814,9460,4447,9765,4169000,100
1700767849920,9460,4447,9765,4169000,100
1700767850028,9460,4447,9765,4169000,100
1700767850145,9460,4447,9765,4169000,100
1700767850256,9460,4447,9765,4169000,100
1700767850362,9460,4447,9765,4169000,100
1700767850470,9460,4447,9765,4169000,100
1700767850576,9460,4447,9765,4169000,100
1700767850697,8239,4447,9765,4169000,100
1700767850805,8239,4447,9765,4169000,100
1700767850911,8239,4447,9765,4169000,100
1700767851035,8239,4447,9765,4169000,100
1700767851144,8239,4447,9765,4169000,100
1700767851253,8239,4447,9765,4169000,100
1700767851356,8239,4447,9765,4169000,100
1700767851458,8239,4447,9765,4169000,100
1700767851560,8239,4447,9765,4169000,100
1700767851669,8239,4447,9765,4169000,100
1700767851774,8239,4447,9765,4169000,100
1700767851881,8239,4447,9765,4169000,100
1700767851988,8239,4447,9765,4169000,100
1700767852100,8239,4447,9765,4169000,100
1700767852207,8239,4447,9765,4169000,100
1700767852313,8239,4447,9765,4169000,100
1700767852420,8239,4447,9765,4169000,100
1700767852529,8239,4447,9765,4169000,100
1700767852637,8239,4447,9765,4169000,100
1700767852745,8239,4447,9765,4169000,100
1700767852851,8239,4447,9765,4169000,100
1700767852963,8239,4447,9765,4169000,100
1700767853071,8239,4447,9765,4169000,100
1700767853181,8239,4447,9765,4169000,100
1700767853286,8239,4447,9765,4169000,100
1700767853396,8239,4447,9765,4169000,100
1700767853503,8239,4447,9765,4169000,100
1700767853608,8239,4447,9765,4169000,100
1700767853718,8239,4447,9765,4169000,100
1700767853824,8239,4447,9765,4169000,100
1700767853930,8239,4447,9765,4169000,100
1700767854038,8239,4447,9765,4169000,100
1700767854143,8239,4447,9765,4169000,100
1700767854251,8239,4447,9765,4169000,100
1700767854360,8239,4447,9765,4169000,100
1700767854465,8239,4447,9765,4169000,100
1700767854570,8239,4447,9765,4169000,100
1700767854675,8239,4447,9765,4169000,100
1700767854781,8239,4447,9765,4169000,100
1700767854886,8239,4447,9765,4169000,100
1700767854990,8239,4447,9765,4169000,100
1700767855097,8239,4447,9765,4169000,100
1700767855202,8239,4447,9765,4169000,100
1700767855309,8239,4447,9765,4169000,100
1700767855413,8239,4447,9765,4169000,100
1700767855522,8239,4447,9765,4169000,100
1700767855632,8239,4447,9765,4169000,100
1700767855736,8239,4447,9765,4169000,100
1700767855842,8239,4447,9765,4169000,100
1700767855947,8239,4447,9765,4169000,100
1700767856052,8239,4447,9765,4169000,100
1700767856156,8239,4447,9765,4169000,100
1700767856262,8239,4447,9765,4169000,100
1700767856367,8239,4447,9765,4169000,100
1700767856474,8239,4447,9765,4169000,100
1700767856579,8239,4447,9765,4169000,100
1700767856683,8239,4447,9765,4169000,100
1700767856789,8239,4447,9765,4169000,100
1700767856893,8239,4447,9765,4169000,100
1700767856997,8239,4447,9765,4169000,100
1700767857102,8239,4447,9765,4169000,100
1700767857207,8239,4447,9765,4169000,100
1700767857313,8239,4447,9765,4169000,100
1700767857417,8239,4447,9765,4169000,100
1700767857521,8239,4447,9765,4169000,100
1700767857625,8239,4447,9765,4169000,100
