device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,9765.0,4447.0,11869.933820650045,14.738527503189001,14.75014293454987,0.05278559570043077
pixel5g,com-chrome-canary,1,100.0,4169000.0,9765.0,4447.0,11709.701107961866,7.4398405988495,7.433322431987787,0.052073040827106426
pixel5g,com-chrome-canary,2,100.0,4169000.0,9765.0,4447.0,11441.973036038371,7.224803421306001,7.241031159273496,0.05088245409126265
pixel5g,com-chrome-canary,3,100.0,4169000.0,9765.0,4447.0,12721.331363278172,15.752502597148501,15.796985278743206,0.056571760572498034
pixel5g,com-chrome-canary,4,100.0,4169000.0,9765.0,4447.0,12295.031704781704,7.767515579243499,7.799477578633588,0.05467600599116424
pixel5g,com-chrome-canary,5,100.0,4169000.0,9765.0,4447.0,11624.325274438055,14.417001680973499,14.448091397973593,0.051693374495426034
pixel5g,com-chrome-canary,6,100.0,4169000.0,9765.0,4447.0,12122.299855775535,15.025984920662498,15.026225067552126,0.0539078674586338
pixel5g,com-chrome-canary,7,100.0,4169000.0,9765.0,4447.0,11371.71229338843,7.1603772130804995,7.196465640157756,0.050570004568698354
pixel5g,com-chrome-canary,8,100.0,4169000.0,9765.0,4447.0,12531.036747458953,7.917484944295501,7.93497975410878,0.05572552041594997
pixel5g,com-chrome-canary,9,100.0,4169000.0,9765.0,4447.0,11071.210403726707,7.0006195340935005,7.004720778465897,0.04923367266537267
