datetime,cpu,mem,GPU_mem,cpu_clockspeed
Thu Nov 23 20:10:11 UTC 2023,30,172498,4.14 MB (94.84 KB is purgeable),1804800
Thu Nov 23 20:10:13 UTC 2023,30,161219,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 20:10:14 UTC 2023,30,171061,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 20:10:16 UTC 2023,30,169944,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 20:10:17 UTC 2023,30,162918,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 20:10:19 UTC 2023,30,162298,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 20:10:20 UTC 2023,30,163003,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 20:10:22 UTC 2023,30,163067,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 20:10:23 UTC 2023,30,162239,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 20:10:24 UTC 2023,30,162239,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 20:10:26 UTC 2023,30,164328,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 20:10:27 UTC 2023,30,166765,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 20:10:29 UTC 2023,30,165030,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 20:10:30 UTC 2023,30,163384,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 20:10:32 UTC 2023,30,163592,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 20:10:34 UTC 2023,30,163609,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 20:10:35 UTC 2023,30,163360,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 20:10:36 UTC 2023,30,163649,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 20:10:38 UTC 2023,30,163645,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 20:10:39 UTC 2023,30,163349,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 20:10:41 UTC 2023,30,163634,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 20:10:42 UTC 2023,30,163627,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 20:10:43 UTC 2023,30,162599,4.42 MB (383.86 KB is purgeable),1804800
