Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700769462505,10986,4447,9765,4169000,100
1700769462505,10986,4447,9765,4169000,100
1700769462614,10986,4447,9765,4169000,100
1700769462614,10986,4447,9765,4169000,100
1700769462733,10986,4447,9765,4169000,100
1700769462735,10986,4447,9765,4169000,100
1700769462841,10986,4447,9765,4169000,100
1700769462844,10986,4447,9765,4169000,100
1700769462946,10986,4447,9765,4169000,100
1700769462947,10986,4447,9765,4169000,100
1700769463052,10986,4447,9765,4169000,100
1700769463052,10986,4447,9765,4169000,100
1700769463162,10986,4447,9765,4169000,100
1700769463165,10986,4447,9765,4169000,100
1700769463268,10986,4447,9765,4169000,100
1700769463269,10986,4447,9765,4169000,100
1700769463376,10986,4447,9765,4169000,100
1700769463380,10986,4447,9765,4169000,100
1700769463481,10986,4447,9765,4169000,100
1700769463489,10986,4447,9765,4169000,100
1700769463586,10986,4447,9765,4169000,100
1700769463593,10986,4447,9765,4169000,100
1700769463690,10986,4447,9765,4169000,100
1700769463698,10986,4447,9765,4169000,100
1700769463798,10986,4447,9765,4169000,100
1700769463805,10986,4447,9765,4169000,100
1700769463910,10986,4447,9765,4169000,100
1700769463912,10986,4447,9765,4169000,100
1700769464016,10986,4447,9765,4169000,100
1700769464018,10986,4447,9765,4169000,100
1700769464124,10986,4447,9765,4169000,100
1700769464124,10986,4447,9765,4169000,100
1700769464229,10986,4447,9765,4169000,100
1700769464230,10986,4447,9765,4169000,100
1700769464335,10986,4447,9765,4169000,100
1700769464336,10986,4447,9765,4169000,100
1700769464440,10986,4447,9765,4169000,100
1700769464440,10986,4447,9765,4169000,100
1700769464545,10986,4447,9765,4169000,100
1700769464548,10986,4447,9765,4169000,100
1700769464651,10986,4447,9765,4169000,100
1700769464655,10986,4447,9765,4169000,100
1700769464706,10986,4447,9765,4169000,100
1700769464755,10986,4447,9765,4169000,100
1700769464760,10986,4447,9765,4169000,100
1700769464810,10986,4447,9765,4169000,100
1700769464860,10986,4447,9765,4169000,100
1700769464868,10986,4447,9765,4169000,100
1700769464914,10986,4447,9765,4169000,100
1700769464968,10986,4447,9765,4169000,100
1700769464973,10986,4447,9765,4169000,100
1700769465018,10986,4447,9765,4169000,100
1700769465072,10986,4447,9765,4169000,100
1700769465077,10986,4447,9765,4169000,100
1700769465125,10986,4447,9765,4169000,100
1700769465177,10986,4447,9765,4169000,100
1700769465181,10986,4447,9765,4169000,100
1700769465230,10986,4447,9765,4169000,100
1700769465281,10986,4447,9765,4169000,100
1700769465286,10986,4447,9765,4169000,100
1700769465334,10986,4447,9765,4169000,100
1700769465385,10986,4447,9765,4169000,100
1700769465392,10986,4447,9765,4169000,100
1700769465438,10986,4447,9765,4169000,100
1700769465489,10070,4447,9765,4169000,100
1700769465496,10070,4447,9765,4169000,100
1700769465543,10070,4447,9765,4169000,100
1700769465596,10070,4447,9765,4169000,100
1700769465601,10070,4447,9765,4169000,100
1700769465650,10070,4447,9765,4169000,100
1700769465700,10070,4447,9765,4169000,100
1700769465704,10070,4447,9765,4169000,100
1700769465754,10070,4447,9765,4169000,100
1700769465806,10070,4447,9765,4169000,100
1700769465808,10070,4447,9765,4169000,100
1700769465859,10070,4447,9765,4169000,100
1700769465912,10070,4447,9765,4169000,100
1700769465914,10070,4447,9765,4169000,100
1700769465964,10070,4447,9765,4169000,100
1700769466018,10070,4447,9765,4169000,100
1700769466019,10070,4447,9765,4169000,100
1700769466068,10070,4447,9765,4169000,100
1700769466125,10070,4447,9765,4169000,100
1700769466126,10070,4447,9765,4169000,100
1700769466174,10070,4447,9765,4169000,100
1700769466230,10070,4447,9765,4169000,100
1700769466232,10070,4447,9765,4169000,100
1700769466279,10070,4447,9765,4169000,100
1700769466335,10070,4447,9765,4169000,100
1700769466336,10070,4447,9765,4169000,100
1700769466389,10070,4447,9765,4169000,100
1700769466453,10070,4447,9765,4169000,100
1700769466456,10070,4447,9765,4169000,100
