datetime,cpu,mem,GPU_mem,cpu_clockspeed
Thu Nov 23 21:57:23 UTC 2023,30,145160,4.14 MB (94.84 KB is purgeable),1516800
Thu Nov 23 21:57:24 UTC 2023,30,145205,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:26 UTC 2023,30,171569,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:27 UTC 2023,30,145356,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:29 UTC 2023,30,153854,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:30 UTC 2023,30,153889,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:32 UTC 2023,30,158389,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:34 UTC 2023,30,147785,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:35 UTC 2023,30,147693,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:37 UTC 2023,30,149019,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:38 UTC 2023,30,148911,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:39 UTC 2023,30,148903,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:41 UTC 2023,30,148835,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:42 UTC 2023,30,148830,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:44 UTC 2023,30,148779,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:45 UTC 2023,30,148762,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:46 UTC 2023,30,148761,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:48 UTC 2023,30,148979,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:49 UTC 2023,30,148947,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:50 UTC 2023,30,148954,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:52 UTC 2023,30,148887,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:53 UTC 2023,30,148834,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:55 UTC 2023,30,148855,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:56 UTC 2023,30,148835,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:57 UTC 2023,30,148463,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:57:59 UTC 2023,30,137743,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:58:00 UTC 2023,30,137747,4.16 MB (111.86 KB is purgeable),1651200
Thu Nov 23 21:58:02 UTC 2023,30,137759,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:58:03 UTC 2023,30,137747,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 21:58:04 UTC 2023,30,137759,4.16 MB (111.86 KB is purgeable),1804800
