Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700774444015,7629,4445,9765,4169000,100
1700774444031,7629,4445,9765,4169000,100
1700774444120,7629,4445,9765,4169000,100
1700774444138,7629,4445,9765,4169000,100
1700774444236,7629,4445,9765,4169000,100
1700774444244,7629,4445,9765,4169000,100
1700774444341,7629,4445,9765,4169000,100
1700774444350,7629,4445,9765,4169000,100
1700774444445,7629,4445,9765,4169000,100
1700774444453,7629,4445,9765,4169000,100
1700774444551,7629,4445,9765,4169000,100
1700774444558,7629,4445,9765,4169000,100
1700774444655,7629,4445,9765,4169000,100
1700774444675,7629,4445,9765,4169000,100
1700774444764,7629,4445,9765,4169000,100
1700774444779,7629,4445,9765,4169000,100
1700774444867,7629,4445,9765,4169000,100
1700774444887,7629,4445,9765,4169000,100
1700774444975,7629,4445,9765,4169000,100
1700774444992,7629,4445,9765,4169000,100
1700774445085,7629,4445,9765,4169000,100
1700774445098,7629,4445,9765,4169000,100
1700774445193,7629,4445,9765,4169000,100
1700774445206,7629,4445,9765,4169000,100
1700774445297,7629,4445,9765,4169000,100
1700774445310,7629,4445,9765,4169000,100
1700774445404,7629,4445,9765,4169000,100
1700774445414,7629,4445,9765,4169000,100
1700774445509,7629,4445,9765,4169000,100
1700774445520,7629,4445,9765,4169000,100
1700774445613,7629,4445,9765,4169000,100
1700774445624,7629,4445,9765,4169000,100
1700774445723,7629,4445,9765,4169000,100
1700774445730,7629,4445,9765,4169000,100
1700774445831,7629,4445,9765,4169000,100
1700774445834,7629,4445,9765,4169000,100
1700774445935,7629,4445,9765,4169000,100
1700774445942,7629,4445,9765,4169000,100
1700774446040,7629,4445,9765,4169000,100
1700774446045,7629,4445,9765,4169000,100
1700774446144,7629,4445,9765,4169000,100
1700774446150,7629,4445,9765,4169000,100
1700774446248,7629,4445,9765,4169000,100
1700774446254,7629,4445,9765,4169000,100
1700774446311,7629,4445,9765,4169000,100
1700774446354,7629,4445,9765,4169000,100
1700774446359,7629,4445,9765,4169000,100
1700774446417,7629,4445,9765,4169000,100
1700774446461,7629,4445,9765,4169000,100
1700774446464,7629,4445,9765,4169000,100
1700774446523,7629,4445,9765,4169000,100
1700774446568,7629,4445,9765,4169000,100
1700774446568,7629,4445,9765,4169000,100
1700774446628,7629,4445,9765,4169000,100
1700774446674,7629,4445,9765,4169000,100
1700774446676,7629,4445,9765,4169000,100
1700774446733,7629,4445,9765,4169000,100
1700774446779,7629,4445,9765,4169000,100
1700774446779,7629,4445,9765,4169000,100
1700774446836,7629,4445,9765,4169000,100
1700774446883,7629,4445,9765,4169000,100
1700774446884,7629,4445,9765,4169000,100
1700774446941,7629,4445,9765,4169000,100
1700774446992,7629,4445,9765,4169000,100
1700774446992,7629,4445,9765,4169000,100
1700774447045,7629,4445,9765,4169000,100
1700774447098,7629,4445,9765,4169000,100
1700774447098,7629,4445,9765,4169000,100
1700774447150,7629,4445,9765,4169000,100
1700774447201,7629,4445,9765,4169000,100
1700774447203,7629,4445,9765,4169000,100
1700774447255,7629,4445,9765,4169000,100
1700774447307,7629,4445,9765,4169000,100
1700774447308,7629,4445,9765,4169000,100
1700774447359,7629,4445,9765,4169000,100
1700774447412,7629,4445,9765,4169000,100
1700774447414,7629,4445,9765,4169000,100
1700774447464,7629,4445,9765,4169000,100
1700774447518,7629,4445,9765,4169000,100
1700774447520,7629,4445,9765,4169000,100
1700774447569,7629,4445,9765,4169000,100
