datetime,cpu,mem,GPU_mem,cpu_clockspeed
Thu Nov 23 22:10:40 UTC 2023,30,161364,4.14 MB (94.84 KB is purgeable),1804800
Thu Nov 23 22:10:41 UTC 2023,30,158197,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 22:10:42 UTC 2023,30,156907,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 22:10:44 UTC 2023,30,153188,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 22:10:46 UTC 2023,30,152034,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 22:10:47 UTC 2023,30,151366,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 22:10:49 UTC 2023,30,152111,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 22:10:50 UTC 2023,30,152082,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 22:10:51 UTC 2023,30,151939,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 22:10:53 UTC 2023,30,151970,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 22:10:54 UTC 2023,30,153262,4.16 MB (111.86 KB is purgeable),1804800
Thu Nov 23 22:10:55 UTC 2023,30,164568,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:10:57 UTC 2023,30,163705,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:10:58 UTC 2023,30,162382,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:00 UTC 2023,30,162618,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:02 UTC 2023,30,162635,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:03 UTC 2023,30,162398,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:04 UTC 2023,30,162687,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:06 UTC 2023,30,162674,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:07 UTC 2023,30,162294,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:09 UTC 2023,30,162387,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:10 UTC 2023,30,162414,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:11 UTC 2023,30,161908,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:13 UTC 2023,30,161932,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:14 UTC 2023,30,161913,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:15 UTC 2023,30,161884,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:17 UTC 2023,30,161924,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:18 UTC 2023,30,161924,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:20 UTC 2023,30,161875,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:21 UTC 2023,30,161860,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:22 UTC 2023,30,161859,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:24 UTC 2023,30,161859,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:25 UTC 2023,30,161856,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:26 UTC 2023,30,161876,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:28 UTC 2023,30,161859,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:29 UTC 2023,30,161860,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:31 UTC 2023,30,161816,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:32 UTC 2023,30,161796,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:33 UTC 2023,30,161795,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:35 UTC 2023,30,161815,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:36 UTC 2023,30,161795,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:37 UTC 2023,30,161800,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:39 UTC 2023,30,161974,4.42 MB (383.86 KB is purgeable),1804800
Thu Nov 23 22:11:40 UTC 2023,30,162014,4.42 MB (383.86 KB is purgeable),1804800
