device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,9460.0,4444.0,11405.288432267884,7.218061175028,7.227695515681583,0.05068510179299848
pixel5g,com-chrome-canary,1,100.0,4169000.0,9460.0,4444.0,12157.855358735822,7.710223109468,7.707741725482482,0.054029509214222005
pixel5g,com-chrome-canary,2,100.0,4169000.0,9460.0,4444.0,11573.325566670888,7.333095568216001,7.345240917133434,0.05143185881828543
pixel5g,com-chrome-canary,3,100.0,4169000.0,9905.210847199289,4444.0,10542.270290867522,6.660818076022,6.670434675347791,0.04684984917261528
pixel5g,com-chrome-canary,4,100.0,4169000.0,9460.0,4444.0,10264.007105697247,6.522435842296,6.522466337375867,0.04561324757771857
pixel5g,com-chrome-canary,5,100.0,4169000.0,85515.87532934902,4444.0,85795.44656513077,106.313353041456,106.63542514699381,0.38130790628160144
pixel5g,com-chrome-canary,6,100.0,4169000.0,9460.0,4444.0,11546.647186423375,7.321025308696001,7.309476972141318,0.0513133000964655
pixel5g,com-chrome-canary,7,100.0,4169000.0,9460.0,4444.0,12213.604405398522,7.711298110846001,7.720722838280416,0.054277257977591045
pixel5g,com-chrome-canary,8,100.0,4169000.0,9460.0,4444.0,11720.63557483731,7.426677582412,7.434619305537944,0.05208650449457701
pixel5g,com-chrome-canary,9,100.0,4169000.0,9460.0,4444.0,11303.661759106486,7.160243710686,7.170426382620871,0.05023347285746922
