datetime,cpu,mem,GPU_mem,cpu_clockspeed
Fri Nov 24 06:07:48 UTC 2023,33,159181,4.14 MB (94.84 KB is purgeable),1804800
Fri Nov 24 06:07:50 UTC 2023,33,170571,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:07:51 UTC 2023,33,180485,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:07:53 UTC 2023,33,186713,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:07:54 UTC 2023,33,174805,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:07:56 UTC 2023,33,174708,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:07:57 UTC 2023,33,175302,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:07:59 UTC 2023,33,175820,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:00 UTC 2023,33,176060,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:01 UTC 2023,33,176146,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:02 UTC 2023,33,177959,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:04 UTC 2023,33,177259,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:05 UTC 2023,33,177555,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:07 UTC 2023,33,177561,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:08 UTC 2023,33,177163,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:09 UTC 2023,33,177245,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:10 UTC 2023,33,177280,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:12 UTC 2023,33,177124,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:13 UTC 2023,33,177426,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:14 UTC 2023,33,177432,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:16 UTC 2023,33,177228,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:17 UTC 2023,33,177599,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:18 UTC 2023,33,177683,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:20 UTC 2023,33,176769,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:21 UTC 2023,33,176885,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:22 UTC 2023,33,176853,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:24 UTC 2023,33,176877,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:25 UTC 2023,33,176917,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:26 UTC 2023,33,176997,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:28 UTC 2023,33,177055,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:29 UTC 2023,33,177117,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:30 UTC 2023,33,177105,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:32 UTC 2023,33,177101,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:33 UTC 2023,33,177117,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:34 UTC 2023,33,177115,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:36 UTC 2023,33,177103,4.44 MB (400.88 KB is purgeable),1804800
Fri Nov 24 06:08:37 UTC 2023,33,177131,4.44 MB (400.88 KB is purgeable),1804800
