Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700806219654,8544,4444,9460,4169000,100
1700806219656,8544,4444,9460,4169000,100
1700806219657,8544,4444,9460,4169000,100
1700806219659,8544,4444,9460,4169000,100
1700806219659,8544,4444,9460,4169000,100
1700806219762,8544,4444,9460,4169000,100
1700806219764,8544,4444,9460,4169000,100
1700806219764,8544,4444,9460,4169000,100
1700806219765,8544,4444,9460,4169000,100
1700806219765,8544,4444,9460,4169000,100
1700806219876,8544,4444,9460,4169000,100
1700806219877,8544,4444,9460,4169000,100
1700806219878,8544,4444,9460,4169000,100
1700806219878,8544,4444,9460,4169000,100
1700806219878,8544,4444,9460,4169000,100
1700806219995,8544,4444,9460,4169000,100
1700806219996,8544,4444,9460,4169000,100
1700806219996,8544,4444,9460,4169000,100
1700806219999,8544,4444,9460,4169000,100
1700806220000,8544,4444,9460,4169000,100
1700806220099,8544,4444,9460,4169000,100
1700806220101,8544,4444,9460,4169000,100
1700806220101,8544,4444,9460,4169000,100
1700806220103,8544,4444,9460,4169000,100
1700806220103,8544,4444,9460,4169000,100
1700806220205,8544,4444,9460,4169000,100
1700806220212,8544,4444,9460,4169000,100
1700806220212,8544,4444,9460,4169000,100
1700806220218,8544,4444,9460,4169000,100
1700806220218,8544,4444,9460,4169000,100
1700806220319,8544,4444,9460,4169000,100
1700806220325,8544,4444,9460,4169000,100
1700806220326,8544,4444,9460,4169000,100
1700806220330,8544,4444,9460,4169000,100
1700806220331,8544,4444,9460,4169000,100
1700806220423,8544,4444,9460,4169000,100
1700806220434,8544,4444,9460,4169000,100
1700806220437,8544,4444,9460,4169000,100
1700806220438,8544,4444,9460,4169000,100
1700806220439,8544,4444,9460,4169000,100
1700806220535,8544,4444,9460,4169000,100
1700806220545,8544,4444,9460,4169000,100
1700806220546,8544,4444,9460,4169000,100
1700806220547,8544,4444,9460,4169000,100
1700806220548,8544,4444,9460,4169000,100
1700806220662,8544,4444,9460,4169000,100
1700806220669,8544,4444,9460,4169000,100
1700806220670,8544,4444,9460,4169000,100
1700806220670,8544,4444,9460,4169000,100
1700806220673,8544,4444,9460,4169000,100
1700806220767,8544,4444,9460,4169000,100
1700806220776,8544,4444,9460,4169000,100
1700806220777,8544,4444,9460,4169000,100
1700806220778,8544,4444,9460,4169000,100
1700806220778,8544,4444,9460,4169000,100
1700806220871,8544,4444,9460,4169000,100
1700806220882,8544,4444,9460,4169000,100
1700806220883,8544,4444,9460,4169000,100
1700806220885,8544,4444,9460,4169000,100
1700806220886,8544,4444,9460,4169000,100
1700806220976,8544,4444,9460,4169000,100
1700806220987,8544,4444,9460,4169000,100
1700806220988,8544,4444,9460,4169000,100
1700806220990,8544,4444,9460,4169000,100
1700806220991,8544,4444,9460,4169000,100
1700806221079,8544,4444,9460,4169000,100
1700806221098,8544,4444,9460,4169000,100
1700806221099,8544,4444,9460,4169000,100
1700806221101,8544,4444,9460,4169000,100
1700806221101,8544,4444,9460,4169000,100
1700806221186,8544,4444,9460,4169000,100
1700806221208,8544,4444,9460,4169000,100
1700806221208,8544,4444,9460,4169000,100
1700806221209,8544,4444,9460,4169000,100
1700806221209,8544,4444,9460,4169000,100
1700806221289,8544,4444,9460,4169000,100
1700806221313,8544,4444,9460,4169000,100
1700806221313,8544,4444,9460,4169000,100
1700806221314,8544,4444,9460,4169000,100
1700806221314,8544,4444,9460,4169000,100
1700806221392,8544,4444,9460,4169000,100
1700806221417,8544,4444,9460,4169000,100
1700806221418,8544,4444,9460,4169000,100
1700806221419,8544,4444,9460,4169000,100
1700806221419,8544,4444,9460,4169000,100
1700806221499,8544,4444,9460,4169000,100
1700806221525,8544,4444,9460,4169000,100
1700806221525,8544,4444,9460,4169000,100
1700806221532,8544,4444,9460,4169000,100
1700806221535,8544,4444,9460,4169000,100
1700806221609,8544,4444,9460,4169000,100
1700806221634,8544,4444,9460,4169000,100
1700806221634,8544,4444,9460,4169000,100
1700806221641,8544,4444,9460,4169000,100
1700806221642,8544,4444,9460,4169000,100
1700806221716,8544,4444,9460,4169000,100
1700806221743,8544,4444,9460,4169000,100
1700806221746,8544,4444,9460,4169000,100
1700806221751,8544,4444,9460,4169000,100
1700806221756,8544,4444,9460,4169000,100
1700806221820,8544,4444,9460,4169000,100
1700806221848,8544,4444,9460,4169000,100
1700806221851,8544,4444,9460,4169000,100
1700806221857,8544,4444,9460,4169000,100
1700806221861,8544,4444,9460,4169000,100
1700806221924,8544,4444,9460,4169000,100
1700806221953,8544,4444,9460,4169000,100
1700806221955,8544,4444,9460,4169000,100
1700806221962,8544,4444,9460,4169000,100
1700806221966,8544,4444,9460,4169000,100
1700806222030,8544,4444,9460,4169000,100
1700806222056,8544,4444,9460,4169000,100
1700806222060,8544,4444,9460,4169000,100
1700806222068,8544,4444,9460,4169000,100
1700806222070,8544,4444,9460,4169000,100
1700806222088,8544,4444,9460,4169000,100
1700806222135,8544,4444,9460,4169000,100
1700806222166,8544,4444,9460,4169000,100
1700806222166,8544,4444,9460,4169000,100
1700806222178,8544,4444,9460,4169000,100
1700806222179,8544,4444,9460,4169000,100
1700806222196,8544,4444,9460,4169000,100
1700806222240,8544,4444,9460,4169000,100
1700806222277,8544,4444,9460,4169000,100
1700806222278,8544,4444,9460,4169000,100
1700806222287,8544,4444,9460,4169000,100
1700806222287,8544,4444,9460,4169000,100
1700806222300,8544,4444,9460,4169000,100
1700806222348,8544,4444,9460,4169000,100
1700806222388,8544,4444,9460,4169000,100
1700806222391,8544,4444,9460,4169000,100
1700806222396,8544,4444,9460,4169000,100
1700806222398,8544,4444,9460,4169000,100
1700806222409,8544,4444,9460,4169000,100
1700806222453,8544,4444,9460,4169000,100
1700806222490,8544,4444,9460,4169000,100
1700806222495,8544,4444,9460,4169000,100
1700806222500,8544,4444,9460,4169000,100
1700806222502,8544,4444,9460,4169000,100
1700806222514,8544,4444,9460,4169000,100
1700806222557,8544,4444,9460,4169000,100
1700806222594,8544,4444,9460,4169000,100
1700806222599,8544,4444,9460,4169000,100
1700806222605,8544,4444,9460,4169000,100
1700806222607,8544,4444,9460,4169000,100
