device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,9460.0,4448.0,12630.751014623462,15.748420191888,15.754888260112232,0.05618158051304517
pixel5g,com-chrome-canary,1,100.0,4169000.0,9460.0,4448.0,10850.53449592668,6.868915842304001,6.880302049189564,0.048263177437881874
pixel5g,com-chrome-canary,2,100.0,4169000.0,9460.0,4448.0,11718.96086404066,7.450509076080001,7.449005032984526,0.05212593792325285
pixel5g,com-chrome-canary,3,100.0,4169000.0,9460.0,4448.0,11914.384018469826,14.853758138816,14.860219470269522,0.05299518011415379
pixel5g,com-chrome-canary,4,100.0,4169000.0,9460.0,4448.0,11930.97089609395,7.565797054960001,7.577132832214475,0.05306895854582589
pixel5g,com-chrome-canary,5,100.0,4169000.0,9460.0,4448.0,11744.270325724545,14.627561717440003,14.638067553582683,0.052238514408822774
pixel5g,com-chrome-canary,6,100.0,4169000.0,9460.0,4448.0,10132.092131979696,6.41182921864,6.415049672242932,0.04506754580304569
pixel5g,com-chrome-canary,7,100.0,4169000.0,9460.0,4448.0,11407.014870360956,7.210655459904,7.231693719091747,0.050738402143365544
pixel5g,com-chrome-canary,8,100.0,4169000.0,9460.0,4448.0,12457.039535773498,7.889240800896,7.911561479233384,0.05540891185512053
pixel5g,com-chrome-canary,9,100.0,4169000.0,9460.0,4448.0,11526.519312475859,17.161029571600004,17.164907157163633,0.06123238522981846
