datetime,cpu,mem,GPU_mem,cpu_clockspeed
Fri Nov 24 06:53:24 UTC 2023,33,164670,4.14 MB (94.84 KB is purgeable),1804800
Fri Nov 24 06:53:25 UTC 2023,33,174344,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:27 UTC 2023,33,190025,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:28 UTC 2023,33,184848,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:30 UTC 2023,33,158963,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:32 UTC 2023,33,158896,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:33 UTC 2023,33,158094,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:34 UTC 2023,33,158090,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:36 UTC 2023,33,158254,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:37 UTC 2023,33,158258,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:39 UTC 2023,33,159659,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:40 UTC 2023,33,164789,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:42 UTC 2023,33,159330,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:43 UTC 2023,33,159238,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:45 UTC 2023,33,159206,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:47 UTC 2023,33,159206,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:48 UTC 2023,33,159334,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:50 UTC 2023,33,159310,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:51 UTC 2023,33,159298,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:52 UTC 2023,33,159238,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:54 UTC 2023,33,159354,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:55 UTC 2023,33,158962,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:56 UTC 2023,33,158994,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:58 UTC 2023,33,158968,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:53:59 UTC 2023,33,158976,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:54:01 UTC 2023,33,158960,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:54:02 UTC 2023,33,158940,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:54:03 UTC 2023,33,158936,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:54:05 UTC 2023,33,158960,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:54:06 UTC 2023,33,158932,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:54:07 UTC 2023,33,158947,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:54:09 UTC 2023,33,158940,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:54:10 UTC 2023,33,158948,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:54:11 UTC 2023,33,158956,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:54:13 UTC 2023,33,158940,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:54:14 UTC 2023,33,158940,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:54:16 UTC 2023,33,158956,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:54:17 UTC 2023,33,158932,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:54:18 UTC 2023,33,158940,4.42 MB (383.86 KB is purgeable),1651200
Fri Nov 24 06:54:20 UTC 2023,33,158948,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:54:21 UTC 2023,33,158969,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:54:22 UTC 2023,33,158321,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:54:24 UTC 2023,33,157944,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:54:25 UTC 2023,33,157904,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:54:26 UTC 2023,33,157762,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:54:28 UTC 2023,33,157755,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:54:29 UTC 2023,33,157759,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 06:54:30 UTC 2023,33,157767,4.42 MB (383.86 KB is purgeable),1804800
