Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700808496388,11596,4448,9460,4169000,100
1700808496389,11596,4448,9460,4169000,100
1700808496390,11596,4448,9460,4169000,100
1700808496390,11596,4448,9460,4169000,100
1700808496392,11596,4448,9460,4169000,100
1700808496496,11596,4448,9460,4169000,100
1700808496496,11596,4448,9460,4169000,100
1700808496496,11596,4448,9460,4169000,100
1700808496498,11596,4448,9460,4169000,100
1700808496500,11596,4448,9460,4169000,100
1700808496608,11596,4448,9460,4169000,100
1700808496609,11596,4448,9460,4169000,100
1700808496610,11596,4448,9460,4169000,100
1700808496611,11596,4448,9460,4169000,100
1700808496611,11596,4448,9460,4169000,100
1700808496718,11596,4448,9460,4169000,100
1700808496719,11596,4448,9460,4169000,100
1700808496721,11596,4448,9460,4169000,100
1700808496721,11596,4448,9460,4169000,100
1700808496722,11596,4448,9460,4169000,100
1700808496824,11596,4448,9460,4169000,100
1700808496825,11596,4448,9460,4169000,100
1700808496825,11596,4448,9460,4169000,100
1700808496826,11596,4448,9460,4169000,100
1700808496826,11596,4448,9460,4169000,100
1700808496930,11596,4448,9460,4169000,100
1700808496931,11596,4448,9460,4169000,100
1700808496932,11596,4448,9460,4169000,100
1700808496932,11596,4448,9460,4169000,100
1700808496932,11596,4448,9460,4169000,100
1700808497037,11596,4448,9460,4169000,100
1700808497041,11596,4448,9460,4169000,100
1700808497041,11596,4448,9460,4169000,100
1700808497048,11596,4448,9460,4169000,100
1700808497049,11596,4448,9460,4169000,100
1700808497151,11596,4448,9460,4169000,100
1700808497153,11596,4448,9460,4169000,100
1700808497153,11596,4448,9460,4169000,100
1700808497154,11596,4448,9460,4169000,100
1700808497155,11596,4448,9460,4169000,100
1700808497262,11596,4448,9460,4169000,100
1700808497263,11596,4448,9460,4169000,100
1700808497264,11596,4448,9460,4169000,100
