device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,11901.0,4453.0,11385.607973421927,6.6154987342725,6.611193244431869,0.05070011230564785
pixel5g,com-chrome-canary,1,100.0,4169000.0,11901.0,4453.0,11114.895353535354,13.212138085094502,13.214323526046075,0.04949462900929293
pixel5g,com-chrome-canary,2,100.0,4169000.0,11901.0,4453.0,11337.02487562189,6.5852139013110005,6.580711101683972,0.05048377177114429
pixel5g,com-chrome-canary,3,100.0,4169000.0,14102.057420137486,4453.0,11426.151233319855,13.747580970087501,13.749603317893616,0.05152906442215932
pixel5g,com-chrome-canary,4,100.0,4169000.0,86589.29156528792,4453.0,94291.70843471208,111.968654868394,111.94354124659519,0.4199074284075426
pixel5g,com-chrome-canary,5,100.0,4169000.0,11901.0,4453.0,11217.663349917082,6.5150095954510014,6.518519502807605,0.04995225489718077
pixel5g,com-chrome-canary,6,100.0,4169000.0,11901.0,4453.0,10945.40099009901,6.350889629292501,6.351877417494485,0.04873987060891089
pixel5g,com-chrome-canary,7,100.0,4169000.0,11901.0,4453.0,11989.168185584092,6.9678029012395015,6.969132189023334,0.053387765930405964
pixel5g,com-chrome-canary,8,100.0,4169000.0,11901.0,4453.0,10982.372016460906,6.380763254422,6.382575537432187,0.048904502589300416
pixel5g,com-chrome-canary,9,100.0,4169000.0,11901.0,4453.0,11302.817961165048,13.423129973013001,13.422541648608346,0.05033144838106796
