datetime,cpu,mem,GPU_mem,cpu_clockspeed
Fri Nov 24 12:29:27 UTC 2023,64,164727,4.14 MB (94.84 KB is purgeable),1804800
Fri Nov 24 12:29:28 UTC 2023,64,173133,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 12:29:30 UTC 2023,64,160453,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 12:29:31 UTC 2023,64,162952,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 12:29:33 UTC 2023,64,162632,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 12:29:34 UTC 2023,64,161156,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 12:29:36 UTC 2023,64,161877,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 12:29:37 UTC 2023,64,161913,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 12:29:39 UTC 2023,64,161141,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 12:29:40 UTC 2023,64,161097,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 12:29:41 UTC 2023,64,163174,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 12:29:43 UTC 2023,64,165981,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:29:44 UTC 2023,64,163768,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:29:46 UTC 2023,64,162344,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:29:48 UTC 2023,64,162496,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:29:49 UTC 2023,64,162472,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:29:51 UTC 2023,64,162960,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:29:52 UTC 2023,64,162556,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:29:54 UTC 2023,64,162576,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:29:55 UTC 2023,64,162220,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:29:56 UTC 2023,64,162296,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:29:58 UTC 2023,64,161799,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:29:59 UTC 2023,64,161783,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:30:00 UTC 2023,64,161783,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:30:02 UTC 2023,64,161778,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:30:03 UTC 2023,64,161758,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:30:04 UTC 2023,64,161806,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:30:06 UTC 2023,64,161754,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:30:07 UTC 2023,64,161734,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:30:09 UTC 2023,64,161738,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:30:10 UTC 2023,34,161754,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:30:11 UTC 2023,34,161738,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:30:13 UTC 2023,34,161746,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:30:14 UTC 2023,34,161758,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:30:15 UTC 2023,34,161742,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:30:16 UTC 2023,34,161742,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:30:18 UTC 2023,34,161706,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 12:30:19 UTC 2023,34,161690,4.42 MB (383.86 KB is purgeable),1804800
