Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700830594969,12207,4453,11901,4169000,100
1700830595075,12207,4453,11901,4169000,100
1700830595184,12207,4453,11901,4169000,100
1700830595294,6408,4453,11901,4169000,100
1700830595401,6408,4453,11901,4169000,100
1700830595506,6408,4453,11901,4169000,100
1700830595612,6408,4453,11901,4169000,100
1700830595719,6408,4453,11901,4169000,100
1700830595824,6408,4453,11901,4169000,100
1700830595937,6408,4453,11901,4169000,100
1700830596043,6408,4453,11901,4169000,100
1700830596150,6408,4453,11901,4169000,100
1700830596256,6408,4453,11901,4169000,100
1700830596362,6408,4453,11901,4169000,100
1700830596472,6408,4453,11901,4169000,100
1700830596578,6408,4453,11901,4169000,100
1700830596685,6408,4453,11901,4169000,100
1700830596791,6408,4453,11901,4169000,100
1700830596899,6408,4453,11901,4169000,100
1700830597009,6408,4453,11901,4169000,100
1700830597118,6408,4453,11901,4169000,100
1700830597228,6408,4453,11901,4169000,100
1700830597333,6408,4453,11901,4169000,100
1700830597438,6408,4453,11901,4169000,100
1700830597545,6408,4453,11901,4169000,100
1700830597668,6408,4453,11901,4169000,100
1700830597773,6408,4453,11901,4169000,100
1700830597880,6408,4453,11901,4169000,100
1700830597983,6408,4453,11901,4169000,100
1700830598086,6408,4453,11901,4169000,100
1700830598208,6408,4453,11901,4169000,100
1700830598327,6408,4453,11901,4169000,100
1700830598437,6408,4453,11901,4169000,100
1700830598545,6408,4453,11901,4169000,100
1700830598656,6408,4453,11901,4169000,100
1700830598803,6408,4453,11901,4169000,100
1700830598917,6408,4453,11901,4169000,100
1700830599037,6408,4453,11901,4169000,100
1700830599147,6408,4453,11901,4169000,100
1700830599276,6408,4453,11901,4169000,100
1700830599380,6408,4453,11901,4169000,100
1700830599483,6408,4453,11901,4169000,100
1700830599586,6408,4453,11901,4169000,100
1700830599692,6408,4453,11901,4169000,100
1700830599823,6408,4453,11901,4169000,100
1700830599935,6408,4453,11901,4169000,100
1700830600049,6408,4453,11901,4169000,100
1700830600159,6408,4453,11901,4169000,100
1700830600264,6408,4453,11901,4169000,100
1700830600368,6408,4453,11901,4169000,100
1700830600475,6408,4453,11901,4169000,100
1700830600606,6408,4453,11901,4169000,100
1700830600721,6408,4453,11901,4169000,100
1700830600830,6408,4453,11901,4169000,100
1700830600937,6408,4453,11901,4169000,100
1700830601045,6408,4453,11901,4169000,100
1700830601156,6408,4453,11901,4169000,100
1700830601266,6408,4453,11901,4169000,100
1700830601382,6408,4453,11901,4169000,100
1700830601498,6408,4453,11901,4169000,100
1700830601609,6408,4453,11901,4169000,100
1700830601740,6408,4453,11901,4169000,100
1700830601848,6408,4453,11901,4169000,100
1700830601958,6408,4453,11901,4169000,100
1700830602072,6408,4453,11901,4169000,100
1700830602182,6408,4453,11901,4169000,100
1700830602288,6408,4453,11901,4169000,100
1700830602399,6408,4453,11901,4169000,100
1700830602510,6408,4453,11901,4169000,100
1700830602620,6408,4453,11901,4169000,100
1700830602727,6408,4453,11901,4169000,100
1700830602835,6408,4453,11901,4169000,100
1700830602943,6408,4453,11901,4169000,100
1700830603052,6408,4453,11901,4169000,100
1700830603161,6408,4453,11901,4169000,100
1700830603267,6408,4453,11901,4169000,100
1700830603373,6408,4453,11901,4169000,100
1700830603483,6408,4453,11901,4169000,100
1700830603593,6408,4453,11901,4169000,100
1700830603702,6408,4453,11901,4169000,100
