device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,11901.0,4448.0,12173.654918032787,7.057317472016001,7.061007735050519,0.05414841707540984
pixel5g,com-chrome-canary,1,100.0,4169000.0,11901.0,4448.0,11162.911540008043,17.827495380272,17.82181492220712,0.06682220026698833
pixel5g,com-chrome-canary,2,100.0,4169000.0,11901.0,4448.0,13726.457429718876,16.277993338416003,16.28472604299439,0.061055282647389554
pixel5g,com-chrome-canary,3,100.0,4169000.0,11901.0,4448.0,15254.244947453517,18.089692623728002,18.095151594241816,0.06785088152627326
pixel5g,com-chrome-canary,4,100.0,4169000.0,11901.0,4448.0,13138.762261014132,7.627593775039999,7.630260293593138,0.05844121453699087
pixel5g,com-chrome-canary,5,100.0,4169000.0,11901.0,4448.0,13275.133716160788,7.72070408152,7.725636324254871,0.059047794769483186
pixel5g,com-chrome-canary,6,100.0,4169000.0,11901.0,4448.0,12532.601146601146,7.274140634111999,7.276619122297291,0.0557450099000819
pixel5g,com-chrome-canary,7,100.0,4169000.0,11901.0,4448.0,12177.74569319114,7.060232969216001,7.066305478474554,0.05416661284331419
pixel5g,com-chrome-canary,8,100.0,4169000.0,11901.0,4448.0,12361.088138385503,7.171492234368001,7.177420932081424,0.05498212003953872
pixel5g,com-chrome-canary,9,100.0,4169000.0,11901.0,4448.0,12786.431630971994,7.419718156368001,7.423086983102629,0.05687404789456343
