datetime,cpu,mem,GPU_mem,cpu_clockspeed
Fri Nov 24 13:07:20 UTC 2023,36,162530,4.14 MB (94.84 KB is purgeable),1804800
Fri Nov 24 13:07:21 UTC 2023,36,178138,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:23 UTC 2023,36,173547,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:24 UTC 2023,36,191670,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:26 UTC 2023,36,168245,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:28 UTC 2023,36,168121,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:29 UTC 2023,36,168602,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:30 UTC 2023,36,168748,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:32 UTC 2023,36,169270,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:33 UTC 2023,36,169716,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:35 UTC 2023,36,169924,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:36 UTC 2023,36,170164,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:37 UTC 2023,36,170863,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:39 UTC 2023,36,170427,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:40 UTC 2023,36,170519,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:41 UTC 2023,36,170531,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:43 UTC 2023,36,170475,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:44 UTC 2023,36,170727,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:46 UTC 2023,36,170708,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:47 UTC 2023,36,170396,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:48 UTC 2023,36,170692,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:50 UTC 2023,36,170408,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:51 UTC 2023,36,169416,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:52 UTC 2023,36,169436,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:54 UTC 2023,36,169456,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:55 UTC 2023,36,169323,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:57 UTC 2023,36,169328,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:58 UTC 2023,36,169475,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:07:59 UTC 2023,36,169431,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:01 UTC 2023,36,169455,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:02 UTC 2023,36,169459,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:04 UTC 2023,36,169311,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:05 UTC 2023,36,169298,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:06 UTC 2023,36,169258,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:08 UTC 2023,36,169290,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:09 UTC 2023,36,169290,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:10 UTC 2023,36,169162,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:12 UTC 2023,36,169190,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:13 UTC 2023,36,169202,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:15 UTC 2023,36,169154,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:16 UTC 2023,36,169206,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:17 UTC 2023,36,169206,4.42 MB (383.86 KB is purgeable),1516800
Fri Nov 24 13:08:19 UTC 2023,36,169355,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:20 UTC 2023,36,169403,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:21 UTC 2023,36,169406,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:23 UTC 2023,36,169073,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:24 UTC 2023,36,169081,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:26 UTC 2023,36,169077,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:27 UTC 2023,36,169053,4.42 MB (383.86 KB is purgeable),1651200
Fri Nov 24 13:08:28 UTC 2023,36,169317,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:30 UTC 2023,36,169297,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:31 UTC 2023,36,169045,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:33 UTC 2023,36,169069,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:34 UTC 2023,36,169053,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:35 UTC 2023,36,169069,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:37 UTC 2023,36,169045,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:38 UTC 2023,36,168985,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:40 UTC 2023,36,169069,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:41 UTC 2023,36,169057,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:42 UTC 2023,36,169005,4.42 MB (383.86 KB is purgeable),1516800
Fri Nov 24 13:08:44 UTC 2023,36,169057,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:45 UTC 2023,36,169053,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:47 UTC 2023,36,169005,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:48 UTC 2023,36,169045,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:49 UTC 2023,36,169061,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:51 UTC 2023,36,168997,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:52 UTC 2023,36,169065,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:53 UTC 2023,36,169072,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:55 UTC 2023,36,168941,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:56 UTC 2023,36,169005,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:58 UTC 2023,36,169025,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:08:59 UTC 2023,36,169009,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:09:00 UTC 2023,36,169012,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:09:02 UTC 2023,36,169013,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:09:03 UTC 2023,36,169001,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:09:05 UTC 2023,36,169029,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 13:09:06 UTC 2023,36,169001,4.42 MB (383.86 KB is purgeable),1804800
