Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700831088201,13732,4448,11901,4169000,100
1700831088306,13732,4448,11901,4169000,100
1700831088412,13732,4448,11901,4169000,100
1700831088519,13732,4448,11901,4169000,100
1700831088628,13732,4448,11901,4169000,100
1700831088734,13732,4448,11901,4169000,100
1700831088838,13732,4448,11901,4169000,100
1700831088943,13732,4448,11901,4169000,100
1700831089049,13732,4448,11901,4169000,100
1700831089154,13732,4448,11901,4169000,100
1700831089260,13732,4448,11901,4169000,100
1700831089365,13732,4448,11901,4169000,100
1700831089471,13732,4448,11901,4169000,100
1700831089577,13732,4448,11901,4169000,100
1700831089688,13732,4448,11901,4169000,100
1700831089793,13732,4448,11901,4169000,100
1700831089899,13732,4448,11901,4169000,100
1700831090007,13732,4448,11901,4169000,100
1700831090118,13732,4448,11901,4169000,100
1700831090227,13732,4448,11901,4169000,100
1700831090345,13732,4448,11901,4169000,100
1700831090450,13732,4448,11901,4169000,100
1700831090556,13732,4448,11901,4169000,100
1700831090673,13732,4448,11901,4169000,100
1700831090781,13732,4448,11901,4169000,100
1700831090890,1220,4448,11901,4169000,100
1700831091000,1220,4448,11901,4169000,100
1700831091113,1220,4448,11901,4169000,100
1700831091224,1220,4448,11901,4169000,100
1700831091333,1220,4448,11901,4169000,100
1700831091439,1220,4448,11901,4169000,100
1700831091553,1220,4448,11901,4169000,100
1700831091659,1220,4448,11901,4169000,100
1700831091765,1220,4448,11901,4169000,100
1700831091873,1220,4448,11901,4169000,100
1700831091991,1220,4448,11901,4169000,100
1700831092100,1220,4448,11901,4169000,100
1700831092213,1220,4448,11901,4169000,100
1700831092325,1220,4448,11901,4169000,100
1700831092437,1220,4448,11901,4169000,100
1700831092556,1220,4448,11901,4169000,100
1700831092664,1220,4448,11901,4169000,100
1700831092772,1220,4448,11901,4169000,100
1700831092889,1220,4448,11901,4169000,100
1700831092999,1220,4448,11901,4169000,100
1700831093110,1220,4448,11901,4169000,100
1700831093216,1220,4448,11901,4169000,100
1700831093319,1220,4448,11901,4169000,100
1700831093424,1220,4448,11901,4169000,100
1700831093531,1220,4448,11901,4169000,100
1700831093641,1220,4448,11901,4169000,100
1700831093750,1220,4448,11901,4169000,100
1700831093857,1220,4448,11901,4169000,100
1700831093971,1220,4448,11901,4169000,100
1700831094079,1220,4448,11901,4169000,100
1700831094189,1220,4448,11901,4169000,100
1700831094296,1220,4448,11901,4169000,100
1700831094407,1220,4448,11901,4169000,100
1700831094519,1220,4448,11901,4169000,100
1700831094629,1220,4448,11901,4169000,100
1700831094742,1220,4448,11901,4169000,100
1700831094849,1220,4448,11901,4169000,100
1700831094956,1220,4448,11901,4169000,100
1700831095063,1220,4448,11901,4169000,100
1700831095173,1220,4448,11901,4169000,100
1700831095282,1220,4448,11901,4169000,100
1700831095401,1220,4448,11901,4169000,100
1700831095507,1220,4448,11901,4169000,100
1700831095613,1220,4448,11901,4169000,100
1700831095717,1220,4448,11901,4169000,100
1700831095827,1220,4448,11901,4169000,100
1700831095937,1220,4448,11901,4169000,100
1700831096050,1220,4448,11901,4169000,100
1700831096158,1220,4448,11901,4169000,100
1700831096264,1220,4448,11901,4169000,100
1700831096373,1220,4448,11901,4169000,100
1700831096482,1220,4448,11901,4169000,100
1700831096588,1220,4448,11901,4169000,100
1700831096702,1220,4448,11901,4169000,100
1700831096808,1220,4448,11901,4169000,100
1700831096917,1220,4448,11901,4169000,100
1700831097022,1220,4448,11901,4169000,100
1700831097131,1220,4448,11901,4169000,100
1700831097238,1220,4448,11901,4169000,100
1700831097343,1220,4448,11901,4169000,100
1700831097450,1220,4448,11901,4169000,100
1700831097555,1220,4448,11901,4169000,100
1700831097663,1220,4448,11901,4169000,100
1700831097769,1220,4448,11901,4169000,100
1700831097877,1220,4448,11901,4169000,100
1700831097985,1220,4448,11901,4169000,100
1700831098096,1220,4448,11901,4169000,100
1700831098204,1220,4448,11901,4169000,100
1700831098313,1220,4448,11901,4169000,100
1700831098421,1220,4448,11901,4169000,100
1700831098528,1220,4448,11901,4169000,100
1700831098638,1220,4448,11901,4169000,100
1700831098746,1220,4448,11901,4169000,100
1700831098852,1220,4448,11901,4169000,100
1700831098959,1220,4448,11901,4169000,100
1700831099066,1220,4448,11901,4169000,100
1700831099171,1220,4448,11901,4169000,100
1700831099277,1220,4448,11901,4169000,100
1700831099381,1220,4448,11901,4169000,100
1700831099490,1220,4448,11901,4169000,100
1700831099599,1220,4448,11901,4169000,100
1700831099706,1220,4448,11901,4169000,100
1700831099814,1220,4448,11901,4169000,100
1700831099920,1220,4448,11901,4169000,100
1700831100026,1220,4448,11901,4169000,100
1700831100134,1220,4448,11901,4169000,100
1700831100239,1220,4448,11901,4169000,100
1700831100345,1220,4448,11901,4169000,100
1700831100452,1220,4448,11901,4169000,100
1700831100559,1220,4448,11901,4169000,100
1700831100664,1220,4448,11901,4169000,100
1700831100769,1220,4448,11901,4169000,100
1700831100879,1220,4448,11901,4169000,100
1700831100985,1220,4448,11901,4169000,100
1700831101094,1220,4448,11901,4169000,100
1700831101201,1220,4448,11901,4169000,100
1700831101307,1220,4448,11901,4169000,100
1700831101415,1220,4448,11901,4169000,100
1700831101523,1220,4448,11901,4169000,100
1700831101628,1220,4448,11901,4169000,100
1700831101735,1220,4448,11901,4169000,100
1700831101840,1220,4448,11901,4169000,100
1700831101948,1220,4448,11901,4169000,100
1700831102053,1220,4448,11901,4169000,100
1700831102161,1220,4448,11901,4169000,100
1700831102270,1220,4448,11901,4169000,100
1700831102375,1220,4448,11901,4169000,100
1700831102482,1220,4448,11901,4169000,100
1700831102589,1220,4448,11901,4169000,100
1700831102694,1220,4448,11901,4169000,100
1700831102799,1220,4448,11901,4169000,100
1700831102905,1220,4448,11901,4169000,100
1700831103010,1220,4448,11901,4169000,100
1700831103118,1220,4448,11901,4169000,100
1700831103223,1220,4448,11901,4169000,100
1700831103330,1220,4448,11901,4169000,100
1700831103435,1220,4448,11901,4169000,100
1700831103542,1220,4448,11901,4169000,100
1700831103651,1220,4448,11901,4169000,100
1700831103756,1220,4448,11901,4169000,100
1700831103861,1220,4448,11901,4169000,100
1700831103965,1220,4448,11901,4169000,100
1700831104070,1220,4448,11901,4169000,100
1700831104175,1220,4448,11901,4169000,100
1700831104280,1220,4448,11901,4169000,100
1700831104386,1220,4448,11901,4169000,100
1700831104492,1220,4448,11901,4169000,100
1700831104598,1220,4448,11901,4169000,100
1700831104705,1220,4448,11901,4169000,100
1700831104811,1220,4448,11901,4169000,100
1700831104918,1220,4448,11901,4169000,100
1700831105024,1220,4448,11901,4169000,100
1700831105131,1220,4448,11901,4169000,100
1700831105236,1220,4448,11901,4169000,100
1700831105343,1220,4448,11901,4169000,100
1700831105448,1220,4448,11901,4169000,100
1700831105553,1220,4448,11901,4169000,100
1700831105659,1220,4448,11901,4169000,100
1700831105764,1220,4448,11901,4169000,100
1700831105870,1220,4448,11901,4169000,100
1700831105976,1220,4448,11901,4169000,100
1700831106081,1220,4448,11901,4169000,100
1700831106189,1220,4448,11901,4169000,100
1700831106294,1220,4448,11901,4169000,100
1700831106403,1220,4448,11901,4169000,100
1700831106509,1220,4448,11901,4169000,100
1700831106615,1220,4448,11901,4169000,100
1700831106723,1220,4448,11901,4169000,100
1700831106830,14343,4448,11901,4169000,100
1700831106936,14343,4448,11901,4169000,100
1700831107043,14343,4448,11901,4169000,100
1700831107148,14343,4448,11901,4169000,100
1700831107253,14343,4448,11901,4169000,100
1700831107359,14343,4448,11901,4169000,100
1700831107468,14343,4448,11901,4169000,100
1700831107573,14343,4448,11901,4169000,100
1700831107680,14343,4448,11901,4169000,100
1700831107785,14343,4448,11901,4169000,100
