datetime,cpu,mem,GPU_mem,cpu_clockspeed
Fri Nov 24 13:38:33 UTC 2023,36,165321,4.14 MB (94.84 KB is purgeable),1363200
Fri Nov 24 13:38:35 UTC 2023,36,177799,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:38:36 UTC 2023,36,170531,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:38:38 UTC 2023,36,199657,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:38:39 UTC 2023,36,169138,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:38:40 UTC 2023,36,169035,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:38:42 UTC 2023,36,172974,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:38:44 UTC 2023,36,170454,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:38:45 UTC 2023,36,170162,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:38:47 UTC 2023,36,169918,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:38:49 UTC 2023,36,174486,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:38:50 UTC 2023,36,172690,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:38:51 UTC 2023,36,172434,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:38:53 UTC 2023,36,171134,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:38:54 UTC 2023,36,171052,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:38:56 UTC 2023,36,170732,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:38:57 UTC 2023,36,170766,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:38:59 UTC 2023,36,170985,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:39:00 UTC 2023,36,170655,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:39:01 UTC 2023,36,170659,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:39:03 UTC 2023,36,170965,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:39:04 UTC 2023,36,171968,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:39:06 UTC 2023,36,171160,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:39:07 UTC 2023,36,171196,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:39:09 UTC 2023,36,170820,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:39:10 UTC 2023,36,170773,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:39:12 UTC 2023,36,170606,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:39:13 UTC 2023,34,170654,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:39:14 UTC 2023,34,170558,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:39:16 UTC 2023,34,170112,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:39:17 UTC 2023,34,170084,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:39:19 UTC 2023,34,170078,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:39:20 UTC 2023,34,169990,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:39:22 UTC 2023,34,169992,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:39:23 UTC 2023,38,170150,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:39:24 UTC 2023,38,169958,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:39:26 UTC 2023,38,170038,4.16 MB (111.86 KB is purgeable),1363200
Fri Nov 24 13:39:27 UTC 2023,38,170717,4.16 MB (111.86 KB is purgeable),1363200
