Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700834592424,11901,4445,14953,4169000,100
1700834592529,11901,4445,14953,4169000,100
1700834592636,11901,4445,14953,4169000,100
1700834592744,11901,4445,14953,4169000,100
1700834592850,11901,4445,14953,4169000,100
1700834592956,11901,4445,14953,4169000,100
1700834593064,11901,4445,14953,4169000,100
1700834593170,11901,4445,14953,4169000,100
1700834593276,11901,4445,14953,4169000,100
1700834593381,11901,4445,14953,4169000,100
1700834593488,11901,4445,14953,4169000,100
1700834593593,11901,4445,14953,4169000,100
1700834593700,11901,4445,14953,4169000,100
1700834593806,11901,4445,14953,4169000,100
1700834593912,11901,4445,14953,4169000,100
1700834594017,11901,4445,14953,4169000,100
1700834594123,11901,4445,14953,4169000,100
1700834594229,11901,4445,14953,4169000,100
1700834594334,11901,4445,14953,4169000,100
1700834594439,11901,4445,14953,4169000,100
1700834594544,11901,4445,14953,4169000,100
1700834594651,11901,4445,14953,4169000,100
1700834594758,11901,4445,14953,4169000,100
1700834594865,11901,4445,14953,4169000,100
1700834594970,11901,4445,14953,4169000,100
1700834595077,11901,4445,14953,4169000,100
1700834595182,11901,4445,14953,4169000,100
1700834595287,11901,4445,14953,4169000,100
1700834595395,11901,4445,14953,4169000,100
1700834595500,11901,4445,14953,4169000,100
1700834595605,11901,4445,14953,4169000,100
1700834595712,11901,4445,14953,4169000,100
1700834595817,11901,4445,14953,4169000,100
1700834595923,11901,4445,14953,4169000,100
1700834596032,11901,4445,14953,4169000,100
1700834596137,11901,4445,14953,4169000,100
1700834596245,11901,4445,14953,4169000,100
1700834596351,11901,4445,14953,4169000,100
1700834596459,11901,4445,14953,4169000,100
1700834596565,11901,4445,14953,4169000,100
1700834596672,11901,4445,14953,4169000,100
1700834596777,11901,4445,14953,4169000,100
1700834596889,11901,4445,14953,4169000,100
1700834597000,11901,4445,14953,4169000,100
1700834597112,11901,4445,14953,4169000,100
1700834597223,11901,4445,14953,4169000,100
1700834597332,11901,4445,14953,4169000,100
1700834597442,11901,4445,14953,4169000,100
1700834597551,11901,4445,14953,4169000,100
1700834597672,11901,4445,14953,4169000,100
1700834597787,11901,4445,14953,4169000,100
1700834597900,11901,4445,14953,4169000,100
1700834598009,11901,4445,14953,4169000,100
1700834598139,11901,4445,14953,4169000,100
1700834598271,11901,4445,14953,4169000,100
1700834598379,11901,4445,14953,4169000,100
1700834598493,11901,4445,14953,4169000,100
1700834598609,11901,4445,14953,4169000,100
1700834598724,11901,4445,14953,4169000,100
1700834598833,11901,4445,14953,4169000,100
1700834598953,11901,4445,14953,4169000,100
1700834599071,11901,4445,14953,4169000,100
1700834599184,11901,4445,14953,4169000,100
1700834599346,11901,4445,14953,4169000,100
1700834599455,11901,4445,14953,4169000,100
1700834599570,11901,4445,14953,4169000,100
1700834599677,11901,4445,14953,4169000,100
1700834599791,11901,4445,14953,4169000,100
1700834599909,11901,4445,14953,4169000,100
1700834600028,11901,4445,14953,4169000,100
1700834600140,11901,4445,14953,4169000,100
1700834600254,11901,4445,14953,4169000,100
1700834600371,11901,4445,14953,4169000,100
1700834600499,11901,4445,14953,4169000,100
1700834600608,11901,4445,14953,4169000,100
1700834600719,11901,4445,14953,4169000,100
1700834600829,11901,4445,14953,4169000,100
1700834600936,11901,4445,14953,4169000,100
1700834601039,11901,4445,14953,4169000,100
1700834601141,11901,4445,14953,4169000,100
1700834601244,11901,4445,14953,4169000,100
1700834601352,11901,4445,14953,4169000,100
1700834601463,11901,4445,14953,4169000,100
1700834601570,11901,4445,14953,4169000,100
1700834601682,11901,4445,14953,4169000,100
1700834601796,11901,4445,14953,4169000,100
1700834601905,11901,4445,14953,4169000,100
1700834602013,11901,4445,14953,4169000,100
1700834602121,11901,4445,14953,4169000,100
1700834602230,11901,4445,14953,4169000,100
1700834602338,11901,4445,14953,4169000,100
1700834602450,11901,4445,14953,4169000,100
1700834602571,11901,4445,14953,4169000,100
1700834602684,11901,4445,14953,4169000,100
1700834602793,11901,4445,14953,4169000,100
1700834602907,11901,4445,14953,4169000,100
1700834603029,11901,4445,14953,4169000,100
1700834603137,11901,4445,14953,4169000,100
1700834603248,11901,4445,14953,4169000,100
1700834603358,11901,4445,14953,4169000,100
1700834603466,11901,4445,14953,4169000,100
1700834603575,11901,4445,14953,4169000,100
1700834603701,11901,4445,14953,4169000,100
1700834603808,11901,4445,14953,4169000,100
1700834603916,11901,4445,14953,4169000,100
1700834604028,11901,4445,14953,4169000,100
1700834604144,11901,4445,14953,4169000,100
1700834604253,11901,4445,14953,4169000,100
1700834604360,11901,4445,14953,4169000,100
1700834604469,11901,4445,14953,4169000,100
1700834604576,11901,4445,14953,4169000,100
1700834604686,11901,4445,14953,4169000,100
1700834604794,11901,4445,14953,4169000,100
1700834604899,11901,4445,14953,4169000,100
1700834605002,11901,4445,14953,4169000,100
1700834605105,11901,4445,14953,4169000,100
1700834605209,11901,4445,14953,4169000,100
1700834605318,-305,4445,14953,4169000,100
1700834605423,-305,4445,14953,4169000,100
1700834605533,-305,4445,14953,4169000,100
1700834605639,-305,4445,14953,4169000,100
1700834605745,-305,4445,14953,4169000,100
1700834605857,-305,4445,14953,4169000,100
1700834605967,-305,4445,14953,4169000,100
1700834606075,-305,4445,14953,4169000,100
1700834606183,-305,4445,14953,4169000,100
1700834606293,-305,4445,14953,4169000,100
1700834606401,-305,4445,14953,4169000,100
1700834606506,-305,4445,14953,4169000,100
1700834606612,-305,4445,14953,4169000,100
1700834606725,-305,4445,14953,4169000,100
1700834606832,-305,4445,14953,4169000,100
1700834606938,-305,4445,14953,4169000,100
1700834607047,-305,4445,14953,4169000,100
1700834607155,-305,4445,14953,4169000,100
1700834607265,-305,4445,14953,4169000,100
1700834607371,-305,4445,14953,4169000,100
1700834607478,-305,4445,14953,4169000,100
1700834607584,-305,4445,14953,4169000,100
1700834607693,-305,4445,14953,4169000,100
1700834607801,-305,4445,14953,4169000,100
1700834607908,-305,4445,14953,4169000,100
1700834608015,-305,4445,14953,4169000,100
1700834608128,-305,4445,14953,4169000,100
1700834608238,-305,4445,14953,4169000,100
1700834608348,-305,4445,14953,4169000,100
1700834608460,-305,4445,14953,4169000,100
1700834608574,-305,4445,14953,4169000,100
1700834608686,-305,4445,14953,4169000,100
1700834608795,-305,4445,14953,4169000,100
1700834608904,-305,4445,14953,4169000,100
1700834609012,-305,4445,14953,4169000,100
1700834609118,-305,4445,14953,4169000,100
1700834609229,-305,4445,14953,4169000,100
1700834609336,-305,4445,14953,4169000,100
1700834609445,-305,4445,14953,4169000,100
1700834609560,-305,4445,14953,4169000,100
1700834609667,-305,4445,14953,4169000,100
1700834609776,-305,4445,14953,4169000,100
1700834609882,-305,4445,14953,4169000,100
1700834609997,-305,4445,14953,4169000,100
1700834610119,-305,4445,14953,4169000,100
1700834610233,-305,4445,14953,4169000,100
1700834610340,-305,4445,14953,4169000,100
1700834610446,-305,4445,14953,4169000,100
1700834610552,-305,4445,14953,4169000,100
1700834610657,-305,4445,14953,4169000,100
1700834610779,-305,4445,14953,4169000,100
1700834610889,-305,4445,14953,4169000,100
1700834611000,-305,4445,14953,4169000,100
1700834611110,-305,4445,14953,4169000,100
1700834611215,-305,4445,14953,4169000,100
1700834611324,-305,4445,14953,4169000,100
1700834611433,-305,4445,14953,4169000,100
1700834611556,-305,4445,14953,4169000,100
1700834611662,-305,4445,14953,4169000,100
1700834611776,-305,4445,14953,4169000,100
1700834611883,-305,4445,14953,4169000,100
1700834611989,-305,4445,14953,4169000,100
1700834612095,-305,4445,14953,4169000,100
1700834612201,-305,4445,14953,4169000,100
1700834612306,-305,4445,14953,4169000,100
1700834612412,-305,4445,14953,4169000,100
1700834612517,-305,4445,14953,4169000,100
1700834612623,-305,4445,14953,4169000,100
1700834612729,-305,4445,14953,4169000,100
1700834612839,-305,4445,14953,4169000,100
1700834612944,-305,4445,14953,4169000,100
1700834613049,-305,4445,14953,4169000,100
1700834613158,-305,4445,14953,4169000,100
1700834613264,-305,4445,14953,4169000,100
1700834613369,-305,4445,14953,4169000,100
1700834613474,-305,4445,14953,4169000,100
1700834613582,-305,4445,14953,4169000,100
1700834613687,-305,4445,14953,4169000,100
1700834613793,-305,4445,14953,4169000,100
1700834613898,-305,4445,14953,4169000,100
1700834614004,-305,4445,14953,4169000,100
1700834614110,-305,4445,14953,4169000,100
1700834614215,-305,4445,14953,4169000,100
1700834614323,-305,4445,14953,4169000,100
1700834614430,-305,4445,14953,4169000,100
1700834614536,-305,4445,14953,4169000,100
1700834614641,-305,4445,14953,4169000,100
1700834614751,-305,4445,14953,4169000,100
1700834614857,-305,4445,14953,4169000,100
1700834614963,-305,4445,14953,4169000,100
1700834615071,-305,4445,14953,4169000,100
1700834615176,-305,4445,14953,4169000,100
1700834615281,-305,4445,14953,4169000,100
1700834615386,-305,4445,14953,4169000,100
1700834615493,-305,4445,14953,4169000,100
1700834615599,-305,4445,14953,4169000,100
1700834615704,-305,4445,14953,4169000,100
1700834615808,-305,4445,14953,4169000,100
1700834615916,-305,4445,14953,4169000,100
1700834616022,-305,4445,14953,4169000,100
1700834616127,-305,4445,14953,4169000,100
1700834616233,-305,4445,14953,4169000,100
1700834616339,-305,4445,14953,4169000,100
1700834616444,-305,4445,14953,4169000,100
1700834616549,-305,4445,14953,4169000,100
1700834616656,-305,4445,14953,4169000,100
1700834616762,-305,4445,14953,4169000,100
1700834616867,-305,4445,14953,4169000,100
1700834616972,-305,4445,14953,4169000,100
1700834617079,-305,4445,14953,4169000,100
1700834617184,-305,4445,14953,4169000,100
1700834617289,-305,4445,14953,4169000,100
1700834617395,-305,4445,14953,4169000,100
1700834617502,-305,4445,14953,4169000,100
1700834617607,-305,4445,14953,4169000,100
1700834617713,-305,4445,14953,4169000,100
1700834617819,-305,4445,14953,4169000,100
1700834617928,-305,4445,14953,4169000,100
1700834618034,-305,4445,14953,4169000,100
1700834618139,-305,4445,14953,4169000,100
1700834618247,-305,4445,14953,4169000,100
1700834618352,-305,4445,14953,4169000,100
1700834618458,-305,4445,14953,4169000,100
1700834618566,-305,4445,14953,4169000,100
1700834618674,-305,4445,14953,4169000,100
1700834618784,-305,4445,14953,4169000,100
1700834618889,-305,4445,14953,4169000,100
1700834618995,-305,4445,14953,4169000,100
1700834619101,-305,4445,14953,4169000,100
1700834619206,-305,4445,14953,4169000,100
1700834619311,-305,4445,14953,4169000,100
1700834619419,-305,4445,14953,4169000,100
1700834619524,-305,4445,14953,4169000,100
1700834619630,-305,4445,14953,4169000,100
1700834619736,-305,4445,14953,4169000,100
1700834619843,-305,4445,14953,4169000,100
1700834619948,-305,4445,14953,4169000,100
1700834620052,-305,4445,14953,4169000,100
1700834620158,-305,4445,14953,4169000,100
1700834620266,-305,4445,14953,4169000,100
1700834620372,-305,4445,14953,4169000,100
1700834620477,-305,4445,14953,4169000,100
1700834620588,-305,4445,14953,4169000,100
1700834620693,-305,4445,14953,4169000,100
1700834620799,-305,4445,14953,4169000,100
1700834620906,-305,4445,14953,4169000,100
1700834621012,-305,4445,14953,4169000,100
1700834621117,-305,4445,14953,4169000,100
1700834621223,-305,4445,14953,4169000,100
1700834621330,14953,4445,14953,4169000,100
1700834621436,14953,4445,14953,4169000,100
1700834621542,14953,4445,14953,4169000,100
1700834621650,14953,4445,14953,4169000,100
1700834621756,14953,4445,14953,4169000,100
1700834621861,14953,4445,14953,4169000,100
1700834621967,14953,4445,14953,4169000,100
1700834622075,14953,4445,14953,4169000,100
1700834622182,14953,4445,14953,4169000,100
1700834622287,14953,4445,14953,4169000,100
1700834622393,14953,4445,14953,4169000,100
1700834622498,14953,4445,14953,4169000,100
1700834622605,14953,4445,14953,4169000,100
1700834622711,14953,4445,14953,4169000,100
1700834622817,14953,4445,14953,4169000,100
1700834622922,14953,4445,14953,4169000,100
1700834623027,14953,4445,14953,4169000,100
1700834623132,14953,4445,14953,4169000,100
1700834623240,14953,4445,14953,4169000,100
1700834623345,14953,4445,14953,4169000,100
1700834623452,14953,4445,14953,4169000,100
1700834623558,14953,4445,14953,4169000,100
1700834623665,14953,4445,14953,4169000,100
1700834623772,14953,4445,14953,4169000,100
1700834623879,14953,4445,14953,4169000,100
1700834623987,14953,4445,14953,4169000,100
1700834624092,14953,4445,14953,4169000,100
1700834624199,14953,4445,14953,4169000,100
1700834624304,14953,4445,14953,4169000,100
1700834624412,14953,4445,14953,4169000,100
1700834624517,14953,4445,14953,4169000,100
1700834624622,14953,4445,14953,4169000,100
1700834624728,14953,4445,14953,4169000,100
1700834624835,14953,4445,14953,4169000,100
1700834624940,14953,4445,14953,4169000,100
1700834625046,14953,4445,14953,4169000,100
1700834625154,14953,4445,14953,4169000,100
1700834625260,14953,4445,14953,4169000,100
1700834625366,14953,4445,14953,4169000,100
1700834625472,14953,4445,14953,4169000,100
1700834625579,14953,4445,14953,4169000,100
1700834625685,14953,4445,14953,4169000,100
1700834625789,14953,4445,14953,4169000,100
1700834625894,14953,4445,14953,4169000,100
1700834626001,14953,4445,14953,4169000,100
1700834626106,14953,4445,14953,4169000,100
1700834626211,14953,4445,14953,4169000,100
1700834626317,14953,4445,14953,4169000,100
1700834626424,14953,4445,14953,4169000,100
1700834626529,14953,4445,14953,4169000,100
1700834626635,14953,4445,14953,4169000,100
1700834626741,14953,4445,14953,4169000,100
1700834626848,14953,4445,14953,4169000,100
