datetime,cpu,mem,GPU_mem,cpu_clockspeed
Fri Nov 24 14:29:35 UTC 2023,33,168461,4.14 MB (94.84 KB is purgeable),1804800
Fri Nov 24 14:29:36 UTC 2023,33,180951,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:29:38 UTC 2023,33,189304,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:29:39 UTC 2023,33,185862,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:29:41 UTC 2023,33,161126,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:29:43 UTC 2023,33,161026,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:29:44 UTC 2023,33,161051,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:29:46 UTC 2023,33,161131,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:29:47 UTC 2023,33,161275,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:29:48 UTC 2023,33,161271,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:29:50 UTC 2023,33,162424,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:29:51 UTC 2023,33,162244,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:29:52 UTC 2023,33,161948,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:29:54 UTC 2023,33,161956,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:29:55 UTC 2023,33,161864,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:29:57 UTC 2023,33,161872,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:29:58 UTC 2023,33,161848,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:29:59 UTC 2023,33,162028,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:01 UTC 2023,33,162048,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:02 UTC 2023,33,162027,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:04 UTC 2023,33,161835,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:05 UTC 2023,33,161511,4.16 MB (111.86 KB is purgeable),1516800
Fri Nov 24 14:30:06 UTC 2023,33,161127,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:08 UTC 2023,33,161151,4.16 MB (111.86 KB is purgeable),1651200
Fri Nov 24 14:30:09 UTC 2023,33,161103,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:10 UTC 2023,33,161103,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:12 UTC 2023,33,161119,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:13 UTC 2023,33,161098,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:15 UTC 2023,33,161114,4.16 MB (111.86 KB is purgeable),1651200
Fri Nov 24 14:30:16 UTC 2023,33,161098,4.16 MB (111.86 KB is purgeable),1651200
Fri Nov 24 14:30:18 UTC 2023,33,161114,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:19 UTC 2023,33,161098,4.16 MB (111.86 KB is purgeable),1651200
Fri Nov 24 14:30:20 UTC 2023,33,161098,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:22 UTC 2023,33,161114,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:23 UTC 2023,33,161098,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:25 UTC 2023,33,161046,4.16 MB (111.86 KB is purgeable),1651200
Fri Nov 24 14:30:26 UTC 2023,33,161030,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:27 UTC 2023,33,161030,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:29 UTC 2023,33,161046,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:30 UTC 2023,33,161030,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:31 UTC 2023,33,161030,4.16 MB (111.86 KB is purgeable),1651200
Fri Nov 24 14:30:33 UTC 2023,33,161046,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:34 UTC 2023,33,160005,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:36 UTC 2023,33,159993,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:37 UTC 2023,33,159957,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:38 UTC 2023,33,159808,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:40 UTC 2023,33,159828,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:41 UTC 2023,33,159808,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:43 UTC 2023,33,159820,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:44 UTC 2023,33,160084,4.16 MB (111.86 KB is purgeable),1651200
Fri Nov 24 14:30:45 UTC 2023,33,159968,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:47 UTC 2023,33,159820,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:48 UTC 2023,33,159812,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:50 UTC 2023,33,159824,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:51 UTC 2023,33,159808,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:53 UTC 2023,33,159807,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:54 UTC 2023,33,159816,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:55 UTC 2023,33,159812,4.16 MB (111.86 KB is purgeable),1804800
Fri Nov 24 14:30:57 UTC 2023,33,159832,4.16 MB (111.86 KB is purgeable),1651200
Fri Nov 24 14:30:58 UTC 2023,33,159808,4.16 MB (111.86 KB is purgeable),1804800
