Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700835886650,10070,4444,14953,4169000,100
1700835886757,10070,4444,14953,4169000,100
1700835886872,10070,4444,14953,4169000,100
1700835886984,10070,4444,14953,4169000,100
1700835887089,10070,4444,14953,4169000,100
1700835887193,10070,4444,14953,4169000,100
1700835887297,10070,4444,14953,4169000,100
1700835887402,10070,4444,14953,4169000,100
1700835887507,10070,4444,14953,4169000,100
1700835887615,10070,4444,14953,4169000,100
1700835887719,10070,4444,14953,4169000,100
1700835887823,10070,4444,14953,4169000,100
1700835887929,10070,4444,14953,4169000,100
1700835888034,10070,4444,14953,4169000,100
1700835888140,10070,4444,14953,4169000,100
1700835888244,10070,4444,14953,4169000,100
1700835888350,10070,4444,14953,4169000,100
1700835888467,10070,4444,14953,4169000,100
1700835888575,10070,4444,14953,4169000,100
1700835888679,10070,4444,14953,4169000,100
1700835888786,10070,4444,14953,4169000,100
1700835888892,10070,4444,14953,4169000,100
1700835888998,10070,4444,14953,4169000,100
1700835889102,10070,4444,14953,4169000,100
1700835889205,10070,4444,14953,4169000,100
1700835889309,10070,4444,14953,4169000,100
1700835889416,10070,4444,14953,4169000,100
1700835889520,10070,4444,14953,4169000,100
1700835889626,10070,4444,14953,4169000,100
1700835889737,10070,4444,14953,4169000,100
1700835889845,10070,4444,14953,4169000,100
1700835889962,10070,4444,14953,4169000,100
1700835890072,10070,4444,14953,4169000,100
1700835890180,10070,4444,14953,4169000,100
1700835890291,10070,4444,14953,4169000,100
1700835890398,10070,4444,14953,4169000,100
1700835890512,10070,4444,14953,4169000,100
1700835890621,10070,4444,14953,4169000,100
1700835890727,10070,4444,14953,4169000,100
1700835890849,10070,4444,14953,4169000,100
1700835890966,10070,4444,14953,4169000,100
1700835891076,10070,4444,14953,4169000,100
1700835891183,10070,4444,14953,4169000,100
1700835891299,10070,4444,14953,4169000,100
1700835891412,10070,4444,14953,4169000,100
1700835891529,10070,4444,14953,4169000,100
1700835891637,10070,4444,14953,4169000,100
1700835891748,10070,4444,14953,4169000,100
1700835891854,10070,4444,14953,4169000,100
1700835891964,10070,4444,14953,4169000,100
1700835892077,10070,4444,14953,4169000,100
1700835892189,10070,4444,14953,4169000,100
1700835892299,10070,4444,14953,4169000,100
1700835892406,10070,4444,14953,4169000,100
1700835892510,10070,4444,14953,4169000,100
1700835892624,10070,4444,14953,4169000,100
1700835892737,10070,4444,14953,4169000,100
1700835892843,10070,4444,14953,4169000,100
1700835892950,10070,4444,14953,4169000,100
1700835893055,10070,4444,14953,4169000,100
1700835893161,10070,4444,14953,4169000,100
1700835893278,10070,4444,14953,4169000,100
1700835893385,10070,4444,14953,4169000,100
1700835893489,10070,4444,14953,4169000,100
1700835893596,10070,4444,14953,4169000,100
1700835893704,10070,4444,14953,4169000,100
1700835893811,10070,4444,14953,4169000,100
1700835893918,10070,4444,14953,4169000,100
1700835894028,10070,4444,14953,4169000,100
1700835894139,10070,4444,14953,4169000,100
1700835894246,10070,4444,14953,4169000,100
1700835894353,10070,4444,14953,4169000,100
1700835894459,10070,4444,14953,4169000,100
1700835894566,10070,4444,14953,4169000,100
1700835894676,10070,4444,14953,4169000,100
1700835894786,10070,4444,14953,4169000,100
1700835894899,10070,4444,14953,4169000,100
1700835895006,10070,4444,14953,4169000,100
1700835895121,10070,4444,14953,4169000,100
1700835895228,10070,4444,14953,4169000,100
1700835895344,10070,4444,14953,4169000,100
1700835895449,10070,4444,14953,4169000,100
1700835895557,10070,4444,14953,4169000,100
1700835895666,10070,4444,14953,4169000,100
1700835895775,10070,4444,14953,4169000,100
1700835895888,10070,4444,14953,4169000,100
1700835896008,10070,4444,14953,4169000,100
1700835896115,10070,4444,14953,4169000,100
1700835896223,10070,4444,14953,4169000,100
1700835896328,10070,4444,14953,4169000,100
1700835896433,10070,4444,14953,4169000,100
1700835896538,10070,4444,14953,4169000,100
1700835896645,10070,4444,14953,4169000,100
1700835896750,10070,4444,14953,4169000,100
1700835896858,10070,4444,14953,4169000,100
1700835896969,10070,4444,14953,4169000,100
1700835897075,10070,4444,14953,4169000,100
1700835897180,10070,4444,14953,4169000,100
1700835897287,10070,4444,14953,4169000,100
1700835897393,10070,4444,14953,4169000,100
1700835897497,10070,4444,14953,4169000,100
1700835897605,10070,4444,14953,4169000,100
1700835897713,10070,4444,14953,4169000,100
1700835897820,10070,4444,14953,4169000,100
1700835897929,10070,4444,14953,4169000,100
1700835898036,10070,4444,14953,4169000,100
1700835898142,10070,4444,14953,4169000,100
1700835898246,10070,4444,14953,4169000,100
1700835898353,10070,4444,14953,4169000,100
1700835898460,10070,4444,14953,4169000,100
1700835898582,10070,4444,14953,4169000,100
1700835898688,10070,4444,14953,4169000,100
1700835898795,10070,4444,14953,4169000,100
1700835898904,10070,4444,14953,4169000,100
1700835899011,10070,4444,14953,4169000,100
1700835899120,10070,4444,14953,4169000,100
1700835899225,10070,4444,14953,4169000,100
1700835899331,10070,4444,14953,4169000,100
1700835899437,10070,4444,14953,4169000,100
1700835899544,10070,4444,14953,4169000,100
1700835899650,10070,4444,14953,4169000,100
1700835899755,10070,4444,14953,4169000,100
1700835899863,10070,4444,14953,4169000,100
1700835899969,10070,4444,14953,4169000,100
1700835900074,10070,4444,14953,4169000,100
1700835900179,10070,4444,14953,4169000,100
1700835900284,-3662,4444,14953,4169000,100
1700835900390,-3662,4444,14953,4169000,100
1700835900494,-3662,4444,14953,4169000,100
1700835900599,-3662,4444,14953,4169000,100
1700835900706,-3662,4444,14953,4169000,100
1700835900812,-3662,4444,14953,4169000,100
1700835900921,-3662,4444,14953,4169000,100
1700835901028,-3662,4444,14953,4169000,100
1700835901136,-3662,4444,14953,4169000,100
1700835901240,-3662,4444,14953,4169000,100
1700835901345,-3662,4444,14953,4169000,100
1700835901450,-3662,4444,14953,4169000,100
1700835901556,-3662,4444,14953,4169000,100
1700835901661,-3662,4444,14953,4169000,100
1700835901765,-3662,4444,14953,4169000,100
1700835901870,-3662,4444,14953,4169000,100
1700835901975,-3662,4444,14953,4169000,100
1700835902081,-3662,4444,14953,4169000,100
1700835902186,-3662,4444,14953,4169000,100
1700835902294,-3662,4444,14953,4169000,100
1700835902401,-3662,4444,14953,4169000,100
1700835902506,-3662,4444,14953,4169000,100
1700835902612,-3662,4444,14953,4169000,100
1700835902718,-3662,4444,14953,4169000,100
1700835902826,-3662,4444,14953,4169000,100
1700835902940,-3662,4444,14953,4169000,100
1700835903051,-3662,4444,14953,4169000,100
1700835903159,-3662,4444,14953,4169000,100
1700835903267,-3662,4444,14953,4169000,100
1700835903372,-3662,4444,14953,4169000,100
1700835903476,-3662,4444,14953,4169000,100
1700835903587,-3662,4444,14953,4169000,100
1700835903693,-3662,4444,14953,4169000,100
1700835903798,-3662,4444,14953,4169000,100
1700835903902,-3662,4444,14953,4169000,100
1700835904007,-3662,4444,14953,4169000,100
1700835904112,-3662,4444,14953,4169000,100
1700835904217,-3662,4444,14953,4169000,100
1700835904329,-3662,4444,14953,4169000,100
1700835904439,-3662,4444,14953,4169000,100
1700835904546,-3662,4444,14953,4169000,100
1700835904654,-3662,4444,14953,4169000,100
1700835904756,-3662,4444,14953,4169000,100
1700835904862,-3662,4444,14953,4169000,100
1700835904974,-3662,4444,14953,4169000,100
1700835905081,-3662,4444,14953,4169000,100
1700835905188,-3662,4444,14953,4169000,100
1700835905293,-3662,4444,14953,4169000,100
1700835905398,-3662,4444,14953,4169000,100
1700835905505,-3662,4444,14953,4169000,100
1700835905609,-3662,4444,14953,4169000,100
1700835905714,-3662,4444,14953,4169000,100
1700835905821,-3662,4444,14953,4169000,100
1700835905938,-3662,4444,14953,4169000,100
1700835906043,-3662,4444,14953,4169000,100
1700835906149,-3662,4444,14953,4169000,100
1700835906255,-3662,4444,14953,4169000,100
1700835906372,-3662,4444,14953,4169000,100
1700835906483,-3662,4444,14953,4169000,100
1700835906590,-3662,4444,14953,4169000,100
1700835906703,-3662,4444,14953,4169000,100
1700835906812,-3662,4444,14953,4169000,100
1700835906934,-3662,4444,14953,4169000,100
1700835907046,-3662,4444,14953,4169000,100
1700835907156,-3662,4444,14953,4169000,100
1700835907272,-3662,4444,14953,4169000,100
1700835907397,-3662,4444,14953,4169000,100
1700835907504,-3662,4444,14953,4169000,100
1700835907611,-3662,4444,14953,4169000,100
1700835907716,-3662,4444,14953,4169000,100
1700835907841,-3662,4444,14953,4169000,100
1700835907951,-3662,4444,14953,4169000,100
1700835908066,-3662,4444,14953,4169000,100
1700835908173,-3662,4444,14953,4169000,100
1700835908279,-3662,4444,14953,4169000,100
1700835908388,-3662,4444,14953,4169000,100
1700835908495,-3662,4444,14953,4169000,100
1700835908605,-3662,4444,14953,4169000,100
1700835908710,-3662,4444,14953,4169000,100
1700835908815,-3662,4444,14953,4169000,100
1700835908934,-3662,4444,14953,4169000,100
1700835909042,-3662,4444,14953,4169000,100
1700835909149,-3662,4444,14953,4169000,100
1700835909256,-3662,4444,14953,4169000,100
1700835909363,-3662,4444,14953,4169000,100
1700835909474,-3662,4444,14953,4169000,100
1700835909587,-3662,4444,14953,4169000,100
1700835909697,-3662,4444,14953,4169000,100
1700835909803,-3662,4444,14953,4169000,100
1700835909911,-3662,4444,14953,4169000,100
1700835910018,-3662,4444,14953,4169000,100
1700835910124,-3662,4444,14953,4169000,100
1700835910236,-3662,4444,14953,4169000,100
1700835910358,-3662,4444,14953,4169000,100
1700835910468,-3662,4444,14953,4169000,100
1700835910574,-3662,4444,14953,4169000,100
1700835910682,-3662,4444,14953,4169000,100
1700835910792,-3662,4444,14953,4169000,100
1700835910897,-3662,4444,14953,4169000,100
1700835911005,-3662,4444,14953,4169000,100
1700835911110,-3662,4444,14953,4169000,100
1700835911216,-3662,4444,14953,4169000,100
1700835911323,-3662,4444,14953,4169000,100
1700835911430,-3662,4444,14953,4169000,100
1700835911538,-3662,4444,14953,4169000,100
1700835911646,-3662,4444,14953,4169000,100
1700835911752,-3662,4444,14953,4169000,100
1700835911856,-3662,4444,14953,4169000,100
1700835911970,-3662,4444,14953,4169000,100
1700835912077,-3662,4444,14953,4169000,100
1700835912183,-3662,4444,14953,4169000,100
1700835912290,-3662,4444,14953,4169000,100
1700835912396,-3662,4444,14953,4169000,100
1700835912505,-3662,4444,14953,4169000,100
1700835912612,-3662,4444,14953,4169000,100
1700835912719,-3662,4444,14953,4169000,100
1700835912829,-3662,4444,14953,4169000,100
1700835912936,-3662,4444,14953,4169000,100
1700835913042,-3662,4444,14953,4169000,100
1700835913148,-3662,4444,14953,4169000,100
1700835913254,-3662,4444,14953,4169000,100
1700835913359,-3662,4444,14953,4169000,100
1700835913465,-3662,4444,14953,4169000,100
1700835913569,-3662,4444,14953,4169000,100
1700835913676,-3662,4444,14953,4169000,100
1700835913782,-3662,4444,14953,4169000,100
1700835913888,-3662,4444,14953,4169000,100
1700835913993,-3662,4444,14953,4169000,100
1700835914099,-3662,4444,14953,4169000,100
1700835914205,-3662,4444,14953,4169000,100
1700835914311,-3662,4444,14953,4169000,100
1700835914416,-3662,4444,14953,4169000,100
1700835914523,-3662,4444,14953,4169000,100
1700835914629,-3662,4444,14953,4169000,100
1700835914734,-3662,4444,14953,4169000,100
1700835914838,-3662,4444,14953,4169000,100
1700835914946,-3662,4444,14953,4169000,100
1700835915052,-3662,4444,14953,4169000,100
1700835915157,-3662,4444,14953,4169000,100
1700835915264,-3662,4444,14953,4169000,100
1700835915371,-3662,4444,14953,4169000,100
1700835915477,-3662,4444,14953,4169000,100
1700835915581,-3662,4444,14953,4169000,100
1700835915686,-3662,4444,14953,4169000,100
1700835915792,-3662,4444,14953,4169000,100
1700835915898,-3662,4444,14953,4169000,100
1700835916004,-3662,4444,14953,4169000,100
1700835916108,-3662,4444,14953,4169000,100
1700835916214,-3662,4444,14953,4169000,100
1700835916318,14648,4444,14953,4169000,100
1700835916422,14648,4444,14953,4169000,100
1700835916531,14648,4444,14953,4169000,100
1700835916638,14648,4444,14953,4169000,100
1700835916742,14648,4444,14953,4169000,100
1700835916850,14648,4444,14953,4169000,100
1700835916958,14648,4444,14953,4169000,100
1700835917064,14648,4444,14953,4169000,100
1700835917172,14648,4444,14953,4169000,100
1700835917278,14648,4444,14953,4169000,100
1700835917385,14648,4444,14953,4169000,100
1700835917490,14648,4444,14953,4169000,100
1700835917596,14648,4444,14953,4169000,100
1700835917701,14648,4444,14953,4169000,100
1700835917808,14648,4444,14953,4169000,100
1700835917913,14648,4444,14953,4169000,100
1700835918019,14648,4444,14953,4169000,100
1700835918123,14648,4444,14953,4169000,100
1700835918229,14648,4444,14953,4169000,100
1700835918335,14648,4444,14953,4169000,100
1700835918441,14648,4444,14953,4169000,100
1700835918547,14648,4444,14953,4169000,100
1700835918654,14648,4444,14953,4169000,100
1700835918759,14648,4444,14953,4169000,100
1700835918865,14648,4444,14953,4169000,100
1700835918970,14648,4444,14953,4169000,100
1700835919077,14648,4444,14953,4169000,100
1700835919182,14648,4444,14953,4169000,100
1700835919288,14648,4444,14953,4169000,100
1700835919392,14648,4444,14953,4169000,100
1700835919499,14648,4444,14953,4169000,100
1700835919605,14648,4444,14953,4169000,100
1700835919712,14648,4444,14953,4169000,100
1700835919819,14648,4444,14953,4169000,100
1700835919925,14648,4444,14953,4169000,100
1700835920032,14648,4444,14953,4169000,100
1700835920137,14648,4444,14953,4169000,100
1700835920244,14648,4444,14953,4169000,100
1700835920349,14648,4444,14953,4169000,100
1700835920454,14648,4444,14953,4169000,100
