Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1700922979592,8544,4442,13427,4169000,100
1700922979700,8544,4442,13427,4169000,100
1700922979812,8544,4442,13427,4169000,100
1700922979918,8544,4442,13427,4169000,100
1700922980029,8544,4442,13427,4169000,100
1700922980137,8544,4442,13427,4169000,100
1700922980243,8544,4442,13427,4169000,100
1700922980348,8544,4442,13427,4169000,100
1700922980454,8544,4442,13427,4169000,100
1700922980560,8544,4442,13427,4169000,100
1700922980666,8544,4442,13427,4169000,100
1700922980773,8544,4442,13427,4169000,100
1700922980879,8544,4442,13427,4169000,100
1700922980988,7934,4442,13427,4169000,100
1700922981095,7934,4442,13427,4169000,100
1700922981202,7934,4442,13427,4169000,100
1700922981307,7934,4442,13427,4169000,100
1700922981413,7934,4442,13427,4169000,100
1700922981524,7934,4442,13427,4169000,100
1700922981634,7934,4442,13427,4169000,100
1700922981743,7934,4442,13427,4169000,100
1700922981852,7934,4442,13427,4169000,100
1700922981959,7934,4442,13427,4169000,100
1700922982068,7934,4442,13427,4169000,100
1700922982177,7934,4442,13427,4169000,100
1700922982288,7934,4442,13427,4169000,100
1700922982402,7934,4442,13427,4169000,100
1700922982518,7934,4442,13427,4169000,100
1700922982631,7934,4442,13427,4169000,100
1700922982747,7934,4442,13427,4169000,100
1700922982860,7934,4442,13427,4169000,100
1700922982971,7934,4442,13427,4169000,100
1700922983079,7934,4442,13427,4169000,100
1700922983186,7934,4442,13427,4169000,100
1700922983294,7934,4442,13427,4169000,100
1700922983404,7934,4442,13427,4169000,100
1700922983529,7934,4442,13427,4169000,100
1700922983636,7934,4442,13427,4169000,100
1700922983747,7934,4442,13427,4169000,100
1700922983854,7934,4442,13427,4169000,100
1700922983965,7934,4442,13427,4169000,100
1700922984082,7934,4442,13427,4169000,100
1700922984196,7934,4442,13427,4169000,100
1700922984306,7934,4442,13427,4169000,100
1700922984421,7934,4442,13427,4169000,100
1700922984551,7934,4442,13427,4169000,100
1700922984669,7934,4442,13427,4169000,100
1700922984780,7934,4442,13427,4169000,100
1700922984883,7934,4442,13427,4169000,100
1700922984986,7934,4442,13427,4169000,100
1700922985109,7934,4442,13427,4169000,100
1700922985217,7934,4442,13427,4169000,100
1700922985330,7934,4442,13427,4169000,100
1700922985446,7934,4442,13427,4169000,100
1700922985560,7934,4442,13427,4169000,100
1700922985667,7934,4442,13427,4169000,100
1700922985780,7934,4442,13427,4169000,100
1700922985893,7934,4442,13427,4169000,100
1700922986008,7934,4442,13427,4169000,100
1700922986119,7934,4442,13427,4169000,100
1700922986231,7934,4442,13427,4169000,100
1700922986345,7934,4442,13427,4169000,100
1700922986457,7934,4442,13427,4169000,100
1700922986571,7934,4442,13427,4169000,100
1700922986678,7934,4442,13427,4169000,100
1700922986785,7934,4442,13427,4169000,100
1700922986892,7934,4442,13427,4169000,100
1700922987002,7934,4442,13427,4169000,100
1700922987108,7934,4442,13427,4169000,100
1700922987222,7934,4442,13427,4169000,100
1700922987337,7934,4442,13427,4169000,100
1700922987447,7934,4442,13427,4169000,100
1700922987559,7934,4442,13427,4169000,100
1700922987668,7934,4442,13427,4169000,100
1700922987783,7934,4442,13427,4169000,100
1700922987906,7934,4442,13427,4169000,100
1700922988013,7934,4442,13427,4169000,100
1700922988119,7934,4442,13427,4169000,100
1700922988226,7934,4442,13427,4169000,100
1700922988334,7934,4442,13427,4169000,100
1700922988442,7934,4442,13427,4169000,100
1700922988551,7934,4442,13427,4169000,100
1700922988661,7934,4442,13427,4169000,100
1700922988772,7934,4442,13427,4169000,100
1700922988882,7934,4442,13427,4169000,100
1700922988991,7934,4442,13427,4169000,100
1700922989100,7934,4442,13427,4169000,100
1700922989207,7934,4442,13427,4169000,100
1700922989314,7934,4442,13427,4169000,100
1700922989424,7934,4442,13427,4169000,100
1700922989533,7934,4442,13427,4169000,100
1700922989641,7934,4442,13427,4169000,100
1700922989759,7934,4442,13427,4169000,100
1700922989868,7934,4442,13427,4169000,100
1700922989975,7934,4442,13427,4169000,100
1700922990081,7934,4442,13427,4169000,100
1700922990190,7934,4442,13427,4169000,100
1700922990297,7934,4442,13427,4169000,100
1700922990405,7934,4442,13427,4169000,100
1700922990513,7934,4442,13427,4169000,100
1700922990620,7934,4442,13427,4169000,100
1700922990728,7934,4442,13427,4169000,100
1700922990836,7934,4442,13427,4169000,100
1700922990945,7934,4442,13427,4169000,100
1700922991053,7934,4442,13427,4169000,100
1700922991162,7934,4442,13427,4169000,100
1700922991268,7934,4442,13427,4169000,100
1700922991375,7934,4442,13427,4169000,100
1700922991481,7934,4442,13427,4169000,100
1700922991591,7934,4442,13427,4169000,100
1700922991701,7934,4442,13427,4169000,100
1700922991807,7934,4442,13427,4169000,100
1700922991915,7934,4442,13427,4169000,100
1700922992021,7934,4442,13427,4169000,100
1700922992127,7934,4442,13427,4169000,100
1700922992233,7934,4442,13427,4169000,100
1700922992339,7934,4442,13427,4169000,100
1700922992446,7934,4442,13427,4169000,100
1700922992553,7934,4442,13427,4169000,100
1700922992659,7934,4442,13427,4169000,100
1700922992766,7934,4442,13427,4169000,100
1700922992873,7934,4442,13427,4169000,100
1700922992983,7934,4442,13427,4169000,100
1700922993090,7934,4442,13427,4169000,100
1700922993199,7934,4442,13427,4169000,100
1700922993306,7934,4442,13427,4169000,100
1700922993413,7934,4442,13427,4169000,100
1700922993521,7934,4442,13427,4169000,100
1700922993625,7934,4442,13427,4169000,100
1700922993730,7934,4442,13427,4169000,100
1700922993835,7934,4442,13427,4169000,100
1700922993941,7934,4442,13427,4169000,100
1700922994048,7934,4442,13427,4169000,100
1700922994156,7934,4442,13427,4169000,100
1700922994263,7934,4442,13427,4169000,100
1700922994370,7934,4442,13427,4169000,100
1700922994480,7934,4442,13427,4169000,100
1700922994590,7934,4442,13427,4169000,100
1700922994698,7934,4442,13427,4169000,100
1700922994804,7934,4442,13427,4169000,100
1700922994911,7934,4442,13427,4169000,100
1700922995017,7934,4442,13427,4169000,100
1700922995126,7934,4442,13427,4169000,100
1700922995232,7934,4442,13427,4169000,100
1700922995338,7934,4442,13427,4169000,100
1700922995445,7934,4442,13427,4169000,100
1700922995551,7934,4442,13427,4169000,100
1700922995659,7934,4442,13427,4169000,100
1700922995766,7934,4442,13427,4169000,100
1700922995874,7934,4442,13427,4169000,100
1700922995985,7934,4442,13427,4169000,100
1700922996097,7934,4442,13427,4169000,100
1700922996207,7934,4442,13427,4169000,100
1700922996314,7934,4442,13427,4169000,100
1700922996421,7934,4442,13427,4169000,100
1700922996529,7934,4442,13427,4169000,100
1700922996636,7934,4442,13427,4169000,100
1700922996743,7934,4442,13427,4169000,100
1700922996851,7934,4442,13427,4169000,100
1700922996957,7934,4442,13427,4169000,100
1700922997064,12817,4442,13427,4169000,100
1700922997173,12817,4442,13427,4169000,100
1700922997283,12817,4442,13427,4169000,100
1700922997393,12817,4442,13427,4169000,100
1700922997500,12817,4442,13427,4169000,100
1700922997608,12817,4442,13427,4169000,100
1700922997717,12817,4442,13427,4169000,100
1700922997822,12817,4442,13427,4169000,100
1700922997928,12817,4442,13427,4169000,100
1700922998034,12817,4442,13427,4169000,100
1700922998140,12817,4442,13427,4169000,100
1700922998248,12817,4442,13427,4169000,100
1700922998354,12817,4442,13427,4169000,100
1700922998460,12817,4442,13427,4169000,100
1700922998566,12817,4442,13427,4169000,100
1700922998673,12817,4442,13427,4169000,100
1700922998780,12817,4442,13427,4169000,100
1700922998886,12817,4442,13427,4169000,100
1700922998992,12817,4442,13427,4169000,100
1700922999099,12817,4442,13427,4169000,100
1700922999207,12817,4442,13427,4169000,100
1700922999313,12817,4442,13427,4169000,100
1700922999419,12817,4442,13427,4169000,100
1700922999524,12817,4442,13427,4169000,100
1700922999631,12817,4442,13427,4169000,100
1700922999737,12817,4442,13427,4169000,100
1700922999844,12817,4442,13427,4169000,100
1700922999950,12817,4442,13427,4169000,100
1700923000056,12817,4442,13427,4169000,100
1700923000166,12817,4442,13427,4169000,100
1700923000274,12817,4442,13427,4169000,100
1700923000381,12817,4442,13427,4169000,100
1700923000487,12817,4442,13427,4169000,100
1700923000593,12817,4442,13427,4169000,100
1700923000699,12817,4442,13427,4169000,100
1700923000804,12817,4442,13427,4169000,100
1700923000912,12817,4442,13427,4169000,100
1700923001017,12817,4442,13427,4169000,100
1700923001124,12817,4442,13427,4169000,100
1700923001231,12817,4442,13427,4169000,100
1700923001337,12817,4442,13427,4169000,100
1700923001443,12817,4442,13427,4169000,100
1700923001550,12817,4442,13427,4169000,100
1700923001657,12817,4442,13427,4169000,100
1700923001768,12817,4442,13427,4169000,100
1700923001873,12817,4442,13427,4169000,100
1700923001979,12817,4442,13427,4169000,100
1700923002085,12817,4442,13427,4169000,100
1700923002192,12817,4442,13427,4169000,100
1700923002298,12817,4442,13427,4169000,100
1700923002405,12817,4442,13427,4169000,100
1700923002511,12817,4442,13427,4169000,100
1700923002617,12817,4442,13427,4169000,100
1700923002722,12817,4442,13427,4169000,100
1700923002829,12817,4442,13427,4169000,100
1700923002935,12817,4442,13427,4169000,100
1700923003041,12817,4442,13427,4169000,100
1700923003149,12817,4442,13427,4169000,100
1700923003254,12817,4442,13427,4169000,100
1700923003361,12817,4442,13427,4169000,100
1700923003467,12817,4442,13427,4169000,100
1700923003575,12817,4442,13427,4169000,100
1700923003682,12817,4442,13427,4169000,100
1700923003789,12817,4442,13427,4169000,100
1700923003896,12817,4442,13427,4169000,100
1700923004002,12817,4442,13427,4169000,100
1700923004109,12817,4442,13427,4169000,100
1700923004215,12817,4442,13427,4169000,100
1700923004321,12817,4442,13427,4169000,100
1700923004428,12817,4442,13427,4169000,100
1700923004535,12817,4442,13427,4169000,100
1700923004640,12817,4442,13427,4169000,100
1700923004746,12817,4442,13427,4169000,100
1700923004851,12817,4442,13427,4169000,100
1700923004957,12817,4442,13427,4169000,100
1700923005062,12817,4442,13427,4169000,100
1700923005167,12817,4442,13427,4169000,100
1700923005274,12817,4442,13427,4169000,100
1700923005380,12817,4442,13427,4169000,100
1700923005486,12817,4442,13427,4169000,100
1700923005592,12817,4442,13427,4169000,100
1700923005698,12817,4442,13427,4169000,100
1700923005803,12817,4442,13427,4169000,100
1700923005910,12817,4442,13427,4169000,100
1700923006018,12817,4442,13427,4169000,100
1700923006125,12817,4442,13427,4169000,100
1700923006232,12817,4442,13427,4169000,100
1700923006337,12817,4442,13427,4169000,100
1700923006444,12817,4442,13427,4169000,100
1700923006551,12817,4442,13427,4169000,100
1700923006657,12817,4442,13427,4169000,100
1700923006763,12817,4442,13427,4169000,100
1700923006869,12817,4442,13427,4169000,100
1700923006975,12817,4442,13427,4169000,100
1700923007081,12817,4442,13427,4169000,100
1700923007192,12817,4442,13427,4169000,100
1700923007297,12817,4442,13427,4169000,100
1700923007404,12817,4442,13427,4169000,100
