device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,-2746.0,4445.0,14532.354943273906,8.424394724392501,8.430594618644927,0.06459631772285251
pixel5g,com-chrome-canary,1,100.0,4169000.0,-2746.0,4445.0,14451.7371007371,8.377036887625,8.3804215125394,0.06423797141277643
pixel5g,com-chrome-canary,2,100.0,4169000.0,-2746.0,4445.0,14433.58498349835,8.3755691908525,8.37971134128853,0.06415728525165015
pixel5g,com-chrome-canary,3,100.0,4169000.0,-2746.0,4445.0,14282.239374498797,16.94445955272,16.968659474803445,0.06348455401964714
pixel5g,com-chrome-canary,4,100.0,4168617.169451074,-1470.5210819411298,4445.0,12820.134844868735,17.767271766947502,17.77327577481601,0.0665780463106603
pixel5g,com-chrome-canary,5,100.0,4169000.0,-2746.0,4445.0,13792.015663643859,7.9995912394825,8.00484430825167,0.061305509624896955
pixel5g,com-chrome-canary,6,100.0,4168996.270731707,-2746.0,4445.0,14191.882926829268,8.2215109137525,8.228409868057366,0.06308291960975611
pixel5g,com-chrome-canary,7,100.0,4169000.0,-2746.0,4445.0,14315.064437194127,8.3034432829075,8.305556868664144,0.0636304614233279
pixel5g,com-chrome-canary,8,100.0,4169000.0,-2746.0,4445.0,9704.429731925264,9.404792914404998,9.398046873042386,0.07203334820064987
pixel5g,com-chrome-canary,9,100.0,4169000.0,-2746.0,4445.0,14156.636889991729,8.2006113016275,8.206652873538719,0.06292625097601325
