datetime,cpu,mem,GPU_mem,cpu_clockspeed
Fri Nov 24 14:52:52 UTC 2023,37,171675,4.14 MB (94.84 KB is purgeable),1804800
Fri Nov 24 14:52:53 UTC 2023,37,177249,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:52:55 UTC 2023,37,218102,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:52:56 UTC 2023,37,258088,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:52:58 UTC 2023,37,240951,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:52:59 UTC 2023,37,226527,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:01 UTC 2023,37,217548,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:02 UTC 2023,37,199132,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:04 UTC 2023,37,195938,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:06 UTC 2023,37,187653,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:07 UTC 2023,37,187910,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:08 UTC 2023,37,188367,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:10 UTC 2023,37,188461,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:11 UTC 2023,37,188025,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:13 UTC 2023,37,188109,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:14 UTC 2023,37,188128,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:15 UTC 2023,37,188242,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:17 UTC 2023,37,188366,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:18 UTC 2023,37,188390,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:20 UTC 2023,37,188074,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:21 UTC 2023,37,188449,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:22 UTC 2023,37,188065,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:24 UTC 2023,37,187775,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:25 UTC 2023,37,187813,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:27 UTC 2023,37,187743,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:28 UTC 2023,37,187819,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:30 UTC 2023,37,187883,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:31 UTC 2023,37,187853,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:32 UTC 2023,37,171347,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:34 UTC 2023,37,171393,4.42 MB (383.86 KB is purgeable),1804800
Fri Nov 24 14:53:35 UTC 2023,37,169857,4.42 MB (383.86 KB is purgeable),1804800
